,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Florida State,ACC (Atlantic),13,1,.929,8,0,1.000,33.7,25.6,14.48,5.13,1,1,5,
2,Clemson,ACC (Atlantic),10,3,.769,6,2,.750,30.8,16.7,11.63,2.86,16,15,15,
3,Louisville,ACC (Atlantic),9,4,.692,5,3,.625,31.2,21.8,10.52,3.22,,20,24,
4,Boston College,ACC (Atlantic),7,6,.538,4,4,.500,26.2,21.3,6.04,2.35,,,,
5,North Carolina State,ACC (Atlantic),8,5,.615,3,5,.375,30.2,27.0,4.17,1.25,,,,
6,Syracuse,ACC (Atlantic),3,9,.250,1,7,.125,17.1,24.3,-4.84,3.00,,,,
7,Wake Forest,ACC (Atlantic),3,9,.250,1,7,.125,14.8,26.4,-7.64,1.61,,,,
8,Georgia Tech,ACC (Coastal),11,3,.786,6,2,.750,37.9,25.7,15.92,4.78,,8,8,
9,Duke,ACC (Coastal),9,4,.692,5,3,.625,32.4,21.8,6.64,-0.82,,19,,
10,North Carolina,ACC (Coastal),6,7,.462,4,4,.500,33.2,39.0,0.14,4.29,23,21,,
11,Pitt,ACC (Coastal),6,7,.462,4,4,.500,31.8,26.3,2.74,0.97,,,,
12,Virginia Tech,ACC (Coastal),7,6,.538,3,5,.375,24.1,20.2,6.71,3.32,,17,,
13,Miami (FL),ACC (Coastal),6,7,.462,3,5,.375,29.2,24.3,8.04,4.65,,,,
14,Virginia,ACC (Coastal),5,7,.417,3,5,.375,25.8,24.1,4.83,4.50,,,,
15,Memphis,American,10,3,.769,7,1,.875,36.2,19.5,7.22,-4.25,,25,25,
16,Cincinnati,American,9,4,.692,7,1,.875,34.0,27.2,2.42,-2.20,,,,
17,UCF,American,9,4,.692,7,1,.875,28.1,19.2,1.98,-4.95,,,,
18,East Carolina,American,8,5,.615,5,3,.625,35.8,25.8,2.35,-4.96,,18,,
19,Houston,American,8,5,.615,5,3,.625,29.8,20.6,0.85,-6.22,,,,
20,Temple,American,6,6,.500,4,4,.500,23.1,17.5,-2.23,-3.90,,,,
21,South Florida,American,4,8,.333,3,5,.375,17.2,27.0,-10.90,-2.73,,,,
22,Tulane,American,3,9,.250,2,6,.250,16.0,28.4,-11.38,-0.80,,,,
23,Tulsa,American,2,10,.167,2,6,.250,24.7,39.3,-15.23,-2.56,,,,
24,Connecticut,American,2,10,.167,1,7,.125,15.5,29.8,-15.72,-3.64,,,,
25,SMU,American,1,11,.083,1,7,.125,11.1,41.3,-18.17,0.41,,,,
26,Texas Christian,Big 12,12,1,.923,8,1,.889,46.5,19.0,18.96,1.57,,3,3,
27,Baylor,Big 12,11,2,.846,8,1,.889,48.2,25.5,14.97,0.59,10,4,7,
28,Kansas State,Big 12,9,4,.692,7,2,.778,35.8,23.2,12.73,3.66,20,9,18,
29,Oklahoma,Big 12,8,5,.615,5,4,.556,36.4,25.9,10.21,3.90,4,4,,
30,West Virginia,Big 12,7,6,.538,5,4,.556,33.5,27.6,8.07,4.45,,20,,
31,Texas,Big 12,6,7,.462,5,4,.556,21.4,23.8,3.98,5.29,,,,
32,Oklahoma State,Big 12,7,6,.538,4,5,.444,27.6,31.2,1.10,3.49,,15,,
33,Texas Tech,Big 12,4,8,.333,2,7,.222,30.5,41.3,-3.56,4.11,,,,
34,Kansas,Big 12,3,9,.250,1,8,.111,17.8,33.3,-6.86,3.48,,,,
35,Iowa State,Big 12,2,10,.167,0,9,.000,23.2,38.8,-8.64,3.52,,,,
36,Ohio State,Big Ten (East),14,1,.933,8,0,1.000,44.8,22.0,20.44,5.17,5,1,1,
37,Michigan State,Big Ten (East),11,2,.846,7,1,.875,43.0,21.5,16.07,1.68,8,5,5,
38,Maryland,Big Ten (East),7,6,.538,4,4,.500,28.5,30.2,1.58,3.12,,,,
39,Rutgers,Big Ten (East),8,5,.615,3,5,.375,26.7,30.2,3.19,2.50,,,,
40,Michigan,Big Ten (East),5,7,.417,3,5,.375,20.9,22.4,1.82,3.65,,,,
41,Penn State,Big Ten (East),7,6,.538,2,6,.250,20.6,18.6,2.46,1.54,,,,
42,Indiana,Big Ten (East),4,8,.333,1,7,.125,25.1,32.8,-5.32,1.43,,,,
43,Wisconsin,Big Ten (West),11,3,.786,7,1,.875,34.6,20.8,12.70,1.91,14,11,13,
44,Minnesota,Big Ten (West),8,5,.615,5,3,.625,28.4,24.2,6.74,3.04,,22,,
45,Nebraska,Big Ten (West),9,4,.692,5,3,.625,37.8,26.4,10.26,1.72,22,11,,
46,Iowa,Big Ten (West),7,6,.538,4,4,.500,28.2,25.6,1.37,-0.40,,,,
47,Illinois,Big Ten (West),6,7,.462,3,5,.375,25.9,34.0,-2.53,3.00,,,,
48,Northwestern,Big Ten (West),5,7,.417,3,5,.375,23.0,25.2,0.80,1.63,,,,
49,Purdue,Big Ten (West),3,9,.250,1,7,.125,23.8,31.7,-6.33,2.01,,,,
50,Marshall,CUSA (East),13,1,.929,7,1,.875,45.6,21.0,12.55,-5.81,,18,23,
51,Middle Tennessee State,CUSA (East),6,6,.500,5,3,.625,31.6,31.5,-3.52,-1.77,,,,
52,Western Kentucky,CUSA (East),8,5,.615,4,4,.500,44.4,39.9,1.99,-3.01,,,,
53,Old Dominion,CUSA (East),6,6,.500,4,4,.500,32.7,38.0,-6.10,-3.60,,,,
54,UAB,CUSA (East),6,6,.500,4,4,.500,33.2,29.9,-0.30,-2.05,,,,
55,Florida International,CUSA (East),4,8,.333,3,5,.375,23.0,24.8,-6.95,-4.04,,,,
56,Florida Atlantic,CUSA (East),3,9,.250,2,6,.250,24.0,34.4,-9.68,-1.18,,,,
57,Louisiana Tech,CUSA (West),9,5,.643,7,1,.875,37.4,24.7,5.46,-1.61,,,,
58,Rice,CUSA (West),8,5,.615,5,3,.625,28.8,28.5,-0.28,-2.98,,,,
59,UTEP,CUSA (West),7,6,.538,5,3,.625,26.6,28.1,-3.18,-3.64,,,,
60,UTSA,CUSA (West),4,8,.333,3,5,.375,17.1,25.9,-8.62,-2.45,,,,
61,North Texas,CUSA (West),4,8,.333,2,6,.250,27.2,29.8,-11.91,-5.91,,,,
62,Southern Mississippi,CUSA (West),3,9,.250,1,7,.125,19.0,35.4,-10.91,0.17,,,,
63,Notre Dame,Ind,8,5,.615,1,0,1.000,32.8,29.2,8.56,5.33,17,5,,
64,Navy,Ind,8,5,.615,1,1,.500,31.8,27.3,2.19,-1.50,,,,
65,Army,Ind,4,8,.333,0,1,.000,24.9,32.9,-12.95,-5.78,,,,
66,Brigham Young,Ind,8,5,.615,0,0,,37.1,27.5,4.38,-1.32,,18,,
67,Bowling Green State,MAC (East),8,6,.571,5,4,.556,30.0,33.5,-6.66,-5.87,,,,
68,Ohio,MAC (East),6,6,.500,4,4,.500,20.5,24.8,-9.79,-6.95,,,,
69,Buffalo,MAC (East),5,6,.455,3,4,.429,32.3,31.5,-9.34,-9.98,,,,
70,Akron,MAC (East),5,7,.417,3,5,.375,22.6,23.1,-9.23,-7.73,,,,
71,Massachusetts,MAC (East),3,9,.250,3,5,.375,27.3,33.0,-12.61,-7.03,,,,
72,Miami (OH),MAC (East),2,10,.167,2,6,.250,22.3,31.8,-13.99,-5.24,,,,
73,Kent State,MAC (East),2,9,.182,1,6,.143,16.4,29.0,-13.04,-4.58,,,,
74,Northern Illinois,MAC (West),11,3,.786,8,1,.889,31.5,25.6,-1.06,-6.14,,,,
75,Toledo,MAC (West),9,4,.692,7,1,.875,36.6,30.5,-1.79,-6.48,,,,
76,Western Michigan,MAC (West),8,5,.615,6,2,.750,33.8,24.9,-1.79,-7.79,,,,
77,Central Michigan,MAC (West),7,6,.538,5,3,.625,26.9,25.2,-5.84,-7.61,,,,
78,Ball State,MAC (West),5,7,.417,4,4,.500,27.7,27.2,-8.35,-8.68,,,,
79,Eastern Michigan,MAC (West),2,10,.167,1,7,.125,15.2,40.9,-19.82,-4.07,,,,
80,Boise State,MWC (Mountain),12,2,.857,7,1,.875,39.7,26.8,10.58,-0.07,,16,16,
81,Colorado State,MWC (Mountain),10,3,.769,6,2,.750,33.9,25.1,5.47,-2.84,,21,,
82,Utah State,MWC (Mountain),10,4,.714,6,2,.750,26.9,19.7,3.63,-3.59,,,,
83,Air Force,MWC (Mountain),10,3,.769,5,3,.625,31.5,24.2,2.20,-4.88,,,,
84,New Mexico,MWC (Mountain),4,8,.333,2,6,.250,27.7,35.9,-7.80,-2.14,,,,
85,Wyoming,MWC (Mountain),4,8,.333,2,6,.250,21.1,32.8,-6.69,0.14,,,,
86,San Diego State,MWC (West),7,6,.538,5,3,.625,25.0,19.8,-2.10,-5.49,,,,
87,Fresno State,MWC (West),6,8,.429,5,3,.625,26.5,32.4,-5.52,-0.95,,,,
88,Nevada,MWC (West),7,6,.538,4,4,.500,29.2,27.2,-0.38,-2.14,,,,
89,Hawaii,MWC (West),4,9,.308,3,5,.375,20.9,26.8,-9.08,-3.62,,,,
90,San Jose State,MWC (West),3,9,.250,2,6,.250,19.3,29.4,-9.49,-1.99,,,,
91,Nevada-Las Vegas,MWC (West),2,11,.154,1,7,.125,21.9,38.5,-16.18,-2.26,,,,
92,Oregon,Pac-12 (North),13,2,.867,8,1,.889,45.4,23.6,22.22,6.02,3,2,2,
93,Stanford,Pac-12 (North),8,5,.615,5,4,.556,27.2,16.4,12.42,4.65,11,11,,
94,Washington,Pac-12 (North),8,6,.571,4,5,.444,30.2,24.8,6.52,1.60,25,25,,
95,California,Pac-12 (North),5,7,.417,3,6,.333,38.3,39.8,2.55,5.30,,,,
96,Oregon State,Pac-12 (North),5,7,.417,2,7,.222,25.7,31.6,-1.42,4.00,,,,
97,Washington State,Pac-12 (North),3,9,.250,2,7,.222,31.8,38.6,-1.54,6.47,,,,
98,Arizona,Pac-12 (South),10,4,.714,7,2,.778,34.5,28.2,11.90,6.12,,8,19,
99,Arizona State,Pac-12 (South),10,3,.769,6,3,.667,36.9,27.9,13.26,4.11,19,7,12,
100,UCLA,Pac-12 (South),10,3,.769,6,3,.667,33.5,28.1,14.40,9.10,7,7,10,
101,USC,Pac-12 (South),9,4,.692,6,3,.667,35.8,25.2,14.39,5.93,15,9,20,
102,Utah,Pac-12 (South),9,4,.692,5,4,.556,31.3,24.9,9.84,5.14,,18,21,
103,Colorado,Pac-12 (South),2,10,.167,0,9,.000,28.5,39.0,-3.63,6.45,,,,
104,Missouri,SEC (East),11,3,.786,7,1,.875,27.8,21.1,12.02,4.73,24,14,14,
105,Georgia,SEC (East),10,3,.769,6,2,.750,41.3,20.7,18.84,5.07,12,6,9,
106,Florida,SEC (East),7,5,.583,4,4,.500,30.3,21.1,8.12,4.29,,,,
107,South Carolina,SEC (East),7,6,.538,3,5,.375,32.6,30.4,6.70,4.93,9,9,,
108,Tennessee,SEC (East),7,6,.538,3,5,.375,28.9,24.2,8.13,5.52,,,,
109,Kentucky,SEC (East),5,7,.417,2,6,.250,29.2,31.3,1.55,3.89,,,,
110,Vanderbilt,SEC (East),3,9,.250,0,8,.000,17.2,33.3,-6.97,4.11,,,,
111,Alabama,SEC (West),12,2,.857,7,1,.875,36.9,18.4,20.34,7.27,2,1,4,
112,Mississippi State,SEC (West),10,3,.769,6,2,.750,36.9,21.7,15.04,4.81,,1,11,
113,Ole Miss,SEC (West),9,4,.692,5,3,.625,28.3,16.0,16.80,8.11,18,3,17,record adjusted to 1-4-0 by NCAA
114,Auburn,SEC (West),8,5,.615,4,4,.500,35.5,26.7,14.99,9.06,6,2,22,
115,LSU,SEC (West),8,5,.615,4,4,.500,27.6,17.5,10.75,5.98,13,8,,
116,Texas A&M,SEC (West),8,5,.615,3,5,.375,35.2,28.1,9.96,5.72,21,6,,
117,Arkansas,SEC (West),7,6,.538,2,6,.250,31.9,19.2,14.91,7.76,,,,
118,Georgia Southern,Sun Belt,9,3,.750,8,0,1.000,39.1,23.4,1.89,-8.19,,,,
119,Appalachian State,Sun Belt,7,5,.583,6,2,.750,35.7,27.3,-6.56,-9.90,,,,
120,Louisiana,Sun Belt,9,4,.692,7,1,.875,29.5,26.0,-1.57,-5.57,,,,record adjusted to 7-4-0 by NCAA
121,Arkansas State,Sun Belt,7,6,.538,5,3,.625,36.7,30.5,-3.96,-6.88,,,,
122,Texas State,Sun Belt,7,5,.583,5,3,.625,33.8,27.7,-6.43,-9.34,,,,
123,South Alabama,Sun Belt,6,7,.462,5,3,.625,22.5,26.4,-7.63,-5.16,,,,
124,Louisiana-Monroe,Sun Belt,4,8,.333,3,5,.375,20.1,26.3,-9.82,-4.57,,,,
125,Troy,Sun Belt,3,9,.250,3,5,.375,21.8,36.2,-14.67,-6.17,,,,
126,New Mexico State,Sun Belt,2,10,.167,1,7,.125,24.5,39.1,-18.48,-7.65,,,,
127,Idaho,Sun Belt,1,10,.091,1,7,.125,25.0,37.3,-19.67,-7.21,,,,
128,Georgia State,Sun Belt,1,11,.083,0,8,.000,22.7,43.3,-20.41,-4.50,,,,
