,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Clemson,ACC (Atlantic),10,4,.714,6,2,.750,33.6,29.3,6.54,1.18,,6,22,
2,Florida State,ACC (Atlantic),9,4,.692,5,3,.625,30.6,15.1,11.22,0.38,6,5,23,
3,Wake Forest,ACC (Atlantic),6,7,.462,5,3,.625,26.0,27.4,-0.66,1.11,,,,
4,North Carolina State,ACC (Atlantic),8,5,.615,4,4,.500,28.2,24.7,2.57,-1.97,,,,
5,Boston College,ACC (Atlantic),4,8,.333,3,5,.375,18.2,23.5,-4.61,0.89,,,,
6,Maryland,ACC (Atlantic),2,10,.167,1,7,.125,23.1,34.3,-8.22,2.62,,,,
7,Virginia Tech,ACC (Coastal),11,3,.786,7,1,.875,27.9,17.6,8.21,0.21,13,5,21,
8,Georgia Tech,ACC (Coastal),8,5,.615,5,3,.625,34.3,26.1,3.40,-1.29,,12,,
9,Virginia,ACC (Coastal),8,5,.615,5,3,.625,23.2,23.8,0.14,-0.79,,24,,
10,Miami (FL),ACC (Coastal),6,6,.500,3,5,.375,26.5,20.1,5.17,0.67,,,,
11,North Carolina,ACC (Coastal),7,6,.538,3,5,.375,28.0,24.8,3.63,1.17,,,,
12,Duke,ACC (Coastal),3,9,.250,1,7,.125,22.5,31.2,-7.34,0.24,,,,
13,Oklahoma State,Big 12,12,1,.923,8,1,.889,48.7,26.8,24.14,7.67,9,2,3,
14,Kansas State,Big 12,10,3,.769,7,2,.778,31.8,27.9,11.45,6.84,,10,15,
15,Baylor,Big 12,10,3,.769,6,3,.667,45.3,37.2,13.83,5.91,,13,13,
16,Oklahoma,Big 12,10,3,.769,6,3,.667,39.5,22.1,19.75,7.82,1,1,16,
17,Missouri,Big 12,8,5,.615,5,4,.556,32.8,23.5,11.08,6.16,21,21,,
18,Texas,Big 12,8,5,.615,4,5,.444,28.1,22.2,12.16,7.16,,11,,
19,Texas A&M,Big 12,7,6,.538,4,5,.444,39.1,28.2,13.36,7.29,8,7,,
20,Iowa State,Big 12,6,7,.462,3,6,.333,22.7,29.4,2.12,7.35,,,,
21,Texas Tech,Big 12,5,7,.417,2,7,.222,33.8,39.3,1.88,5.55,,19,,
22,Kansas,Big 12,2,10,.167,0,9,.000,22.3,43.8,-4.75,8.42,,,,
23,Cincinnati,Big East,10,3,.769,5,2,.714,33.3,20.3,7.34,-0.74,,23,25,
24,West Virginia,Big East,10,3,.769,5,2,.714,37.6,26.8,8.65,0.96,24,11,17,
25,Louisville,Big East,7,6,.538,5,2,.714,21.9,20.1,2.38,0.07,,,,
26,Rutgers,Big East,9,4,.692,4,3,.571,26.4,18.3,6.42,-0.12,,,,
27,Pitt,Big East,6,7,.462,4,3,.571,24.2,22.8,1.09,1.17,,,,
28,Connecticut,Big East,5,7,.417,3,4,.429,24.3,24.3,-0.42,0.58,,,,
29,South Florida,Big East,5,7,.417,1,6,.143,29.3,22.7,3.21,0.71,,16,,
30,Syracuse,Big East,5,7,.417,1,6,.143,24.2,28.5,-3.15,1.02,,,,
31,Wisconsin,Big Ten (Leaders),11,3,.786,6,2,.750,44.1,19.0,15.89,0.68,11,4,10,
32,Penn State,Big Ten (Leaders),9,4,.692,6,2,.750,19.3,16.8,6.47,3.39,,12,,
33,Purdue,Big Ten (Leaders),7,6,.538,4,4,.500,26.9,26.8,-0.76,0.01,,,,
34,Ohio State,Big Ten (Leaders),6,7,.462,3,5,.375,24.5,21.0,4.66,2.97,18,15,,
35,Illinois,Big Ten (Leaders),7,6,.538,2,6,.250,22.6,19.6,2.63,1.17,,16,,
36,Indiana,Big Ten (Leaders),1,11,.083,0,8,.000,21.4,37.3,-10.91,1.09,,,,
37,Michigan State,Big Ten (Legends),11,3,.786,7,1,.875,31.0,18.4,10.05,1.48,17,9,11,
38,Michigan,Big Ten (Legends),11,2,.846,6,2,.750,33.3,17.4,16.27,2.96,,11,12,
39,Nebraska,Big Ten (Legends),9,4,.692,5,3,.625,29.2,23.4,8.76,3.07,10,8,24,
40,Iowa,Big Ten (Legends),7,6,.538,4,4,.500,27.5,23.8,4.38,1.77,,,,
41,Northwestern,Big Ten (Legends),6,7,.462,3,5,.375,28.9,27.7,1.66,0.43,,,,
42,Minnesota,Big Ten (Legends),3,9,.250,2,6,.250,18.4,31.7,-6.04,3.21,,,,
43,Southern Mississippi,CUSA (East),12,2,.857,6,2,.750,36.9,20.8,9.18,-4.60,,20,20,
44,Marshall,CUSA (East),7,6,.538,5,3,.625,21.8,28.6,-4.59,-0.43,,,,
45,East Carolina,CUSA (East),5,7,.417,4,4,.500,26.3,32.3,-5.04,-1.79,,,,
46,UCF,CUSA (East),5,7,.417,3,5,.375,27.1,18.3,-1.80,-4.80,,,,
47,UAB,CUSA (East),3,9,.250,3,5,.375,20.2,36.8,-15.03,-4.12,,,,
48,Memphis,CUSA (East),2,10,.167,1,7,.125,16.3,35.1,-18.17,-6.17,,,,
49,Houston,CUSA (West),13,1,.929,8,0,1.000,49.3,22.4,11.94,-4.63,,7,18,
50,Tulsa,CUSA (West),8,5,.615,7,1,.875,33.1,27.3,5.20,0.89,,,,
51,SMU,CUSA (West),8,5,.615,5,3,.625,25.8,23.1,0.78,-1.83,,,,
52,Rice,CUSA (West),4,8,.333,3,5,.375,23.3,33.3,-8.15,0.35,,,,
53,UTEP,CUSA (West),5,7,.417,2,6,.250,26.6,30.3,-7.93,-3.85,,,,
54,Tulane,CUSA (West),2,11,.154,1,7,.125,21.1,37.5,-19.11,-6.18,,,,
55,Brigham Young,Ind,10,3,.769,0,0,,30.1,20.4,4.80,-3.13,,,,
56,Notre Dame,Ind,8,5,.615,0,0,,29.2,20.7,11.06,4.44,16,16,,
57,Navy,Ind,5,7,.417,0,0,,29.7,28.9,-1.39,-1.56,,,,
58,Army,Ind,3,9,.250,0,0,,24.8,28.3,-8.88,-1.80,,,,
59,Ohio,MAC (East),10,4,.714,6,2,.750,30.5,22.1,1.56,-5.73,,,,
60,Temple,MAC (East),9,4,.692,5,3,.625,30.6,13.9,5.63,-5.68,,,,
61,Kent State,MAC (East),5,7,.417,4,4,.500,17.1,24.3,-6.03,-1.53,,,,
62,Bowling Green State,MAC (East),5,7,.417,3,5,.375,26.5,28.8,-4.75,-2.33,,,,
63,Miami (OH),MAC (East),4,8,.333,3,5,.375,21.3,22.9,-4.90,-1.90,,,,
64,Buffalo,MAC (East),3,9,.250,2,6,.250,22.2,29.4,-10.89,-3.31,,,,
65,Akron,MAC (East),1,11,.083,0,8,.000,14.2,38.5,-19.11,-3.52,,,,
66,Northern Illinois,MAC (West),11,3,.786,7,1,.875,38.3,30.3,5.55,-3.52,,,,
67,Toledo,MAC (West),9,4,.692,7,1,.875,42.2,31.7,6.84,-1.55,,,,
68,Western Michigan,MAC (West),7,6,.538,5,3,.625,35.3,28.7,0.42,-2.97,,,,
69,Ball State,MAC (West),6,6,.500,4,4,.500,25.3,34.7,-4.38,-0.46,,,,
70,Eastern Michigan,MAC (West),6,6,.500,4,4,.500,21.3,24.3,-6.55,-4.30,,,,
71,Central Michigan,MAC (West),3,9,.250,2,6,.250,22.6,33.3,-11.28,-2.37,,,,
72,Texas Christian,MWC,11,2,.846,7,0,1.000,40.8,21.5,9.67,-3.17,14,14,14,
73,Boise State,MWC,12,1,.923,6,1,.857,44.2,18.7,16.75,-1.79,5,4,8,
74,Wyoming,MWC,8,5,.615,5,2,.714,26.1,27.8,-3.82,-3.98,,,,
75,San Diego State,MWC,8,5,.615,4,3,.571,29.8,25.0,-0.02,-4.10,,,,
76,Air Force,MWC,7,6,.538,3,4,.429,34.9,28.4,-0.38,-4.23,,,,
77,Colorado State,MWC,3,9,.250,1,6,.143,21.4,31.3,-12.69,-4.78,,,,
78,Nevada-Las Vegas,MWC,2,10,.167,1,6,.143,17.3,40.4,-17.72,-1.97,,,,
79,New Mexico,MWC,1,11,.083,1,6,.143,12.0,41.7,-19.31,-1.81,,,,
80,Oregon,Pac-12 (North),12,2,.857,8,1,.889,46.1,24.6,18.80,3.23,3,3,4,
81,Stanford,Pac-12 (North),11,2,.846,8,1,.889,43.2,21.9,17.78,3.09,7,3,7,
82,Washington,Pac-12 (North),7,6,.538,5,4,.556,33.4,35.9,1.80,2.80,,22,,
83,California,Pac-12 (North),7,6,.538,4,5,.444,28.3,24.2,4.57,2.18,,,,
