,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Florida State,ACC (Atlantic),14,0,1.000,8,0,1.000,51.6,12.1,23.36,1.29,11,1,1,
2,Clemson,ACC (Atlantic),11,2,.846,7,1,.875,40.2,22.2,14.98,3.06,8,3,8,
3,Boston College,ACC (Atlantic),7,6,.538,4,4,.500,27.7,28.9,1.28,2.20,,,,
4,Syracuse,ACC (Atlantic),7,6,.538,4,4,.500,22.7,25.4,2.81,2.88,,,,
5,Maryland,ACC (Atlantic),7,6,.538,3,5,.375,26.2,25.3,0.64,-0.97,,25,,
6,Wake Forest,ACC (Atlantic),4,8,.333,2,6,.250,18.3,24.1,0.00,2.17,,,,
7,North Carolina State,ACC (Atlantic),3,9,.250,0,8,.000,22.8,30.2,-5.66,1.59,,,,
8,Duke,ACC (Coastal),10,4,.714,6,2,.750,32.8,26.6,7.86,2.36,,20,23,
9,Miami (FL),ACC (Coastal),9,4,.692,5,3,.625,33.8,26.8,6.59,2.51,,7,,
10,Virginia Tech,ACC (Coastal),8,5,.615,5,3,.625,22.5,19.3,6.41,4.49,,16,,
11,Georgia Tech,ACC (Coastal),7,6,.538,5,3,.625,35.1,22.8,7.21,3.67,,,,
12,North Carolina,ACC (Coastal),7,6,.538,4,4,.500,32.7,24.5,6.22,1.91,,,,
13,Pitt,ACC (Coastal),7,6,.538,3,5,.375,26.3,27.2,3.72,3.49,,,,
14,Virginia,ACC (Coastal),2,10,.167,0,8,.000,19.8,33.3,-4.94,6.06,,,,
15,UCF,American,12,1,.923,8,0,1.000,34.6,21.3,8.42,-2.96,,10,10,
16,Louisville,American,12,1,.923,7,1,.875,35.2,12.2,9.99,-5.85,9,7,15,
17,Cincinnati,American,9,4,.692,6,2,.750,32.1,21.0,0.41,-6.90,,,,
18,Houston,American,8,5,.615,5,3,.625,33.2,21.8,4.93,-1.92,,,,
19,SMU,American,5,7,.417,4,4,.500,26.8,33.3,-7.44,-2.44,,,,
20,Rutgers,American,6,7,.462,3,5,.375,26.5,29.8,-5.68,-3.37,,,,
21,Connecticut,American,3,9,.250,3,5,.375,20.6,30.3,-11.97,-2.97,,,,
22,South Florida,American,2,10,.167,2,6,.250,13.8,28.6,-13.56,-0.47,,,,
23,Memphis,American,3,9,.250,1,7,.125,19.5,24.6,-7.41,-2.66,,,,
24,Temple,American,2,10,.167,1,7,.125,24.9,29.8,-10.30,-3.80,,,,
25,Baylor,Big 12,11,2,.846,8,1,.889,52.4,23.5,16.87,1.87,,3,13,
26,Oklahoma,Big 12,11,2,.846,7,2,.778,32.8,22.1,13.19,4.12,16,6,6,
27,Oklahoma State,Big 12,10,3,.769,7,2,.778,39.1,21.6,16.83,3.76,13,6,17,
28,Texas,Big 12,8,5,.615,7,2,.778,29.3,25.8,7.45,5.45,15,15,,
29,Kansas State,Big 12,8,5,.615,5,4,.556,33.2,22.9,10.01,1.09,,,,
30,Texas Tech,Big 12,8,5,.615,4,5,.444,35.8,30.5,5.32,2.71,,10,,
31,Texas Christian,Big 12,4,8,.333,2,7,.222,25.1,25.3,1.94,3.85,20,20,,
32,West Virginia,Big 12,4,8,.333,2,7,.222,26.3,33.3,-3.74,2.10,,,,
33,Iowa State,Big 12,3,9,.250,2,7,.222,24.8,36.0,-3.57,3.34,,,,
34,Kansas,Big 12,3,9,.250,1,8,.111,15.3,31.8,-8.58,2.84,,,,
35,Ohio State,Big Ten (Leaders),12,2,.857,8,0,1.000,45.5,22.6,15.65,1.43,2,2,12,
36,Wisconsin,Big Ten (Leaders),9,4,.692,6,2,.750,34.8,16.3,14.20,2.28,23,14,22,
37,Penn State,Big Ten (Leaders),7,5,.583,4,4,.500,28.7,26.2,3.40,1.07,,,,
38,Indiana,Big Ten (Leaders),5,7,.417,3,5,.375,38.4,38.8,4.41,4.74,,,,
39,Illinois,Big Ten (Leaders),4,8,.333,1,7,.125,29.7,35.4,-3.86,1.98,,,,
40,Purdue,Big Ten (Leaders),1,11,.083,0,8,.000,14.9,38.0,-12.43,4.98,,,,
41,Michigan State,Big Ten (Legends),13,1,.929,8,0,1.000,29.4,13.2,14.74,0.67,,3,3,
42,Iowa,Big Ten (Legends),8,5,.615,5,3,.625,26.3,18.9,7.31,2.31,,,,
43,Nebraska,Big Ten (Legends),9,4,.692,5,3,.625,31.9,24.8,5.22,0.45,18,18,,
44,Minnesota,Big Ten (Legends),8,5,.615,4,4,.500,25.7,22.2,5.27,1.35,,,,
45,Michigan,Big Ten (Legends),7,6,.538,3,5,.375,32.2,26.8,5.53,3.30,17,11,,
46,Northwestern,Big Ten (Legends),5,7,.417,1,7,.125,26.2,27.1,1.20,2.03,22,16,,
47,Marshall,CUSA (East),10,4,.714,7,1,.875,42.1,22.9,3.07,-8.21,,,,
