,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Post,Notes
1,Clemson,ACC (Atlantic),15,0,1.000,8,0,1.000,44.3,13.1,26.45,5.19,2,1,1,
2,Syracuse,ACC (Atlantic),10,3,.769,6,2,.750,40.2,27.0,12.14,1.30,,12,15,
3,North Carolina State,ACC (Atlantic),9,4,.692,5,3,.625,33.8,24.9,6.80,0.49,,16,,
4,Boston College,ACC (Atlantic),7,5,.583,4,4,.500,32.0,25.7,4.61,1.78,,17,,
5,Wake Forest,ACC (Atlantic),7,6,.538,3,5,.375,32.8,33.3,2.41,2.41,,,,
6,Florida State,ACC (Atlantic),5,7,.417,3,5,.375,21.9,31.5,-1.67,4.92,19,19,,
7,Louisville,ACC (Atlantic),2,10,.167,0,8,.000,19.8,44.1,-9.84,5.41,,,,
8,Pitt,ACC (Coastal),7,7,.500,6,2,.750,25.6,27.8,5.70,6.55,,24,,
9,Georgia Tech,ACC (Coastal),7,6,.538,5,3,.625,33.6,29.3,2.76,1.76,,,,
10,Virginia,ACC (Coastal),8,5,.615,4,4,.500,28.5,20.1,7.11,-0.04,,23,,
11,Miami (FL),ACC (Coastal),7,6,.538,4,4,.500,28.8,19.5,6.58,1.73,8,8,,
12,Virginia Tech,ACC (Coastal),6,7,.462,4,4,.500,29.8,31.0,-0.37,1.55,20,12,,
13,Duke,ACC (Coastal),8,5,.615,3,5,.375,29.4,27.4,6.37,3.60,,22,,
14,North Carolina,ACC (Coastal),2,9,.182,1,7,.125,27.4,34.5,-4.75,1.70,,,,
15,UCF,American (East),12,1,.923,8,0,1.000,43.2,22.7,14.53,-2.78,21,7,11,
16,Temple,American (East),8,5,.615,7,1,.875,34.9,27.1,1.78,-2.60,,,,
17,Cincinnati,American (East),11,2,.846,6,2,.750,34.9,17.2,7.15,-3.93,,19,24,
18,South Florida,American (East),7,6,.538,3,5,.375,28.5,32.0,-6.28,-3.74,,21,,
19,East Carolina,American (East),3,9,.250,1,7,.125,22.8,37.3,-11.08,-2.41,,,,
20,Connecticut,American (East),1,11,.083,0,8,.000,22.2,50.4,-18.99,-1.32,,,,
21,Houston,American (West),8,5,.615,5,3,.625,43.9,37.2,1.18,-4.82,,17,,
22,Memphis,American (West),8,6,.571,5,3,.625,42.9,31.9,2.27,-3.88,,,,
23,Tulane,American (West),7,6,.538,5,3,.625,26.8,27.5,-0.86,-2.17,,,,
24,SMU,American (West),5,7,.417,4,4,.500,30.4,35.3,-5.38,-0.80,,,,
25,Navy,American (West),3,10,.231,2,6,.250,25.0,33.5,-7.09,0.68,,,,
26,Tulsa,American (West),3,9,.250,2,6,.250,24.1,29.6,-9.74,-3.74,,,,
27,Oklahoma,Big 12,12,2,.857,9,1,.900,48.4,33.3,18.06,6.14,7,4,4,
28,Texas,Big 12,10,4,.714,7,3,.700,31.1,25.9,11.15,6.30,23,6,9,
29,Iowa State,Big 12,8,5,.615,6,3,.667,26.8,22.9,7.78,4.01,,18,,
30,West Virginia,Big 12,8,4,.667,6,3,.667,40.3,27.2,12.60,3.85,17,6,20,
31,Baylor,Big 12,7,6,.538,4,5,.444,29.5,31.7,3.25,3.02,,,,
32,Texas Christian,Big 12,7,6,.538,4,5,.444,23.5,23.1,3.88,4.34,16,15,,
33,Oklahoma State,Big 12,7,6,.538,3,6,.333,38.4,32.5,6.82,3.67,,15,,
34,Kansas State,Big 12,5,7,.417,3,6,.333,22.5,25.4,1.39,3.47,,,,
35,Texas Tech,Big 12,5,7,.417,3,6,.333,37.3,31.1,5.09,3.76,,25,,
36,Kansas,Big 12,3,9,.250,1,8,.111,23.8,30.0,-4.86,2.14,,,,
37,Ohio State,Big Ten (East),13,1,.929,8,1,.889,42.4,25.5,17.74,4.10,5,2,3,
38,Michigan,Big Ten (East),10,3,.769,8,1,.889,35.2,19.4,16.47,5.47,14,4,14,
39,Penn State,Big Ten (East),9,4,.692,6,3,.667,33.8,20.5,12.32,4.86,10,8,17,
40,Michigan State,Big Ten (East),7,6,.538,5,4,.556,18.7,17.2,6.01,5.08,11,11,,
41,Maryland,Big Ten (East),5,7,.417,3,6,.333,28.5,28.7,2.88,4.63,,,,
42,Indiana,Big Ten (East),5,7,.417,2,7,.222,26.4,29.9,2.44,5.61,,,,
43,Rutgers,Big Ten (East),1,11,.083,0,9,.000,13.5,31.4,-9.65,4.10,,,,
44,Northwestern,Big Ten (West),9,5,.643,8,1,.889,24.2,23.2,7.51,5.94,,20,21,
45,Iowa,Big Ten (West),9,4,.692,5,4,.556,31.2,17.8,13.14,3.29,,18,25,
46,Wisconsin,Big Ten (West),8,5,.615,5,4,.556,29.7,22.6,7.68,2.60,4,4,,
47,Purdue,Big Ten (West),6,7,.462,5,4,.556,30.5,30.0,7.04,6.51,,,,
48,Minnesota,Big Ten (West),7,6,.538,3,6,.333,28.9,26.5,5.28,4.05,,,,
49,Nebraska,Big Ten (West),4,8,.333,3,6,.333,30.0,31.3,3.48,4.82,,,,
50,Illinois,Big Ten (West),4,8,.333,2,7,.222,26.0,39.4,-6.05,0.79,,,,
51,Middle Tennessee State,CUSA (East),8,6,.571,7,1,.875,28.0,26.7,0.65,-1.85,,,,
52,Florida International,CUSA (East),9,4,.692,6,2,.750,34.6,25.2,-0.53,-7.15,,,,
53,Marshall,CUSA (East),9,4,.692,6,2,.750,28.2,21.8,0.69,-5.92,,,,
54,Charlotte,CUSA (East),5,7,.417,4,4,.500,21.7,26.6,-7.33,-4.24,,,,
55,Florida Atlantic,CUSA (East),5,7,.417,3,5,.375,31.1,31.8,-2.73,-2.15,,,,
56,Old Dominion,CUSA (East),4,8,.333,2,6,.250,30.8,35.9,-12.87,-6.79,,,,
57,Western Kentucky,CUSA (East),3,9,.250,2,6,.250,21.1,27.8,-14.11,-6.78,,,,
58,UAB,CUSA (West),11,3,.786,7,1,.875,29.9,17.0,1.99,-6.44,,,,
59,Louisiana Tech,CUSA (West),8,5,.615,5,3,.625,24.7,23.0,-4.78,-6.70,,,,
60,North Texas,CUSA (West),9,4,.692,5,3,.625,34.6,24.2,0.58,-8.42,,,,
61,Southern Mississippi,CUSA (West),6,5,.545,5,3,.625,26.2,19.8,-4.18,-7.36,,,,
62,UTSA,CUSA (West),3,9,.250,2,6,.250,14.2,31.2,-16.40,-4.40,,,,
63,Rice,CUSA (West),2,11,.154,1,7,.125,18.9,36.0,-19.18,-5.03,,,,
64,UTEP,CUSA (West),1,11,.083,1,7,.125,17.7,32.8,-22.88,-8.46,,,,
65,Massachusetts,Ind,4,8,.333,1,1,.500,32.8,42.9,-11.06,-2.81,,,,
66,New Mexico State,Ind,3,9,.250,1,2,.333,25.3,41.3,-17.59,-5.84,,,,
67,Liberty,Ind,6,6,.500,1,3,.250,33.3,36.8,-9.12,-6.62,,,,
68,Army,Ind,11,2,.846,1,0,1.000,32.8,17.7,7.27,-3.81,,19,19,
69,Brigham Young,Ind,7,6,.538,2,0,1.000,27.2,21.4,3.07,-0.94,,20,,
70,Notre Dame,Ind,12,1,.923,0,0,,31.4,18.2,17.40,5.17,12,3,5,
71,Buffalo,MAC (East),10,4,.714,7,1,.875,34.6,25.9,1.57,-5.29,,,,
72,Ohio,MAC (East),9,4,.692,6,2,.750,40.1,24.6,4.51,-5.95,,,,
73,Miami (OH),MAC (East),6,6,.500,6,2,.750,28.1,25.5,-0.73,-2.73,,,,
74,Akron,MAC (East),4,8,.333,2,6,.250,18.9,27.2,-11.66,-3.33,,,,
75,Bowling Green State,MAC (East),3,9,.250,2,6,.250,24.3,40.0,-15.11,-4.11,,,,
76,Kent State,MAC (East),2,10,.167,1,7,.125,23.9,36.7,-15.05,-3.64,,,,
77,Northern Illinois,MAC (West),8,6,.571,6,2,.750,20.1,22.6,-1.92,-0.92,,,,
78,Eastern Michigan,MAC (West),7,6,.538,5,3,.625,27.0,22.1,-1.16,-4.85,,,,
79,Toledo,MAC (West),7,6,.538,5,3,.625,40.4,30.5,-0.70,-5.00,,,,
80,Western Michigan,MAC (West),7,6,.538,5,3,.625,32.0,34.5,-4.92,-3.31,,,,
81,Ball State,MAC (West),4,8,.333,3,5,.375,24.2,32.4,-10.49,-4.08,,,,
82,Central Michigan,MAC (West),1,11,.083,0,8,.000,15.0,27.3,-15.76,-4.18,,,,
83,Utah State,MWC (Mountain),11,2,.846,7,1,.875,47.5,22.2,9.58,-5.88,,14,22,
84,Boise State,MWC (Mountain),10,3,.769,7,1,.875,35.4,22.1,8.69,-0.46,22,17,23,
85,Wyoming,MWC (Mountain),6,6,.500,4,4,.500,20.7,22.0,-3.45,-2.12,,,,
86,Air Force,MWC (Mountain),5,7,.417,3,5,.375,30.3,25.8,-1.72,-3.80,,,,
87,Colorado State,MWC (Mountain),3,9,.250,2,6,.250,22.8,36.8,-12.74,-2.49,,,,
88,New Mexico,MWC (Mountain),3,9,.250,1,7,.125,26.6,36.2,-11.30,-3.21,,,,
89,Fresno State,MWC (West),12,2,.857,7,1,.875,34.6,14.1,12.32,-3.04,,16,18,
90,Nevada,MWC (West),8,5,.615,5,3,.625,31.1,26.9,-1.62,-3.78,,,,
91,Hawaii,MWC (West),8,6,.571,5,3,.625,30.8,35.1,-6.13,-4.41,,,,
92,San Diego State,MWC (West),7,6,.538,4,4,.500,20.6,22.2,-3.32,-1.94,,,,
93,Nevada-Las Vegas,MWC (West),4,8,.333,2,6,.250,28.8,37.3,-9.98,-4.48,,,,
94,San Jose State,MWC (West),1,11,.083,1,7,.125,21.3,36.6,-12.93,-0.68,,,,
95,Washington State,Pac-12 (North),11,2,.846,7,2,.778,37.5,23.3,12.19,-0.04,,7,10,
96,Washington,Pac-12 (North),10,4,.714,7,2,.778,26.4,16.4,11.42,3.70,6,6,13,
97,Stanford,Pac-12 (North),9,4,.692,6,3,.667,28.4,22.9,7.71,2.87,13,7,,
98,Oregon,Pac-12 (North),9,4,.692,5,4,.556,34.8,25.4,6.67,-0.49,24,12,,
99,California,Pac-12 (North),7,6,.538,4,5,.444,21.5,20.4,1.67,0.67,,24,,
100,Oregon State,Pac-12 (North),2,10,.167,1,8,.111,26.1,45.7,-10.86,3.56,,,,
101,Utah,Pac-12 (South),9,5,.643,6,3,.667,28.1,19.4,9.91,3.06,,16,,
102,Arizona State,Pac-12 (South),7,6,.538,5,4,.556,29.9,25.5,5.37,1.67,,23,,
103,Arizona,Pac-12 (South),5,7,.417,4,5,.444,31.3,32.6,-0.57,0.76,,,,
104,USC,Pac-12 (South),5,7,.417,4,5,.444,26.1,27.0,2.22,3.39,15,15,,
105,UCLA,Pac-12 (South),3,9,.250,3,6,.333,24.6,34.1,-2.19,6.73,,,,
106,Colorado,Pac-12 (South),5,7,.417,2,7,.222,27.1,27.3,-1.17,0.08,,19,,
107,Georgia,SEC (East),11,3,.786,7,1,.875,37.9,19.2,20.69,6.33,3,2,7,
108,Florida,SEC (East),10,3,.769,5,3,.625,35.0,20.0,13.66,4.04,,7,7,
109,Kentucky,SEC (East),10,3,.769,5,3,.625,26.6,16.8,12.06,4.37,,11,12,
110,Missouri,SEC (East),8,5,.615,4,4,.500,36.6,25.5,13.14,5.75,,24,,
111,South Carolina,SEC (East),7,6,.538,4,4,.500,30.1,27.2,7.34,5.88,,24,,
112,Vanderbilt,SEC (East),6,7,.462,3,5,.375,28.5,26.6,6.25,5.09,,,,
113,Tennessee,SEC (East),5,7,.417,2,6,.250,22.8,27.9,0.39,6.05,,,,
114,Alabama,SEC (West),14,1,.933,8,0,1.000,45.6,18.1,25.29,6.63,1,1,2,
115,LSU,SEC (West),10,3,.769,5,3,.625,32.4,21.8,15.20,5.67,25,4,6,
116,Texas A&M,SEC (West),9,4,.692,5,3,.625,36.0,25.3,13.61,7.15,,16,16,
117,Mississippi State,SEC (West),8,5,.615,4,4,.500,28.5,13.2,13.24,5.93,18,14,,
118,Auburn,SEC (West),8,5,.615,3,5,.375,30.9,19.2,10.76,5.60,9,7,,
119,Ole Miss,SEC (West),5,7,.417,1,7,.125,33.9,36.2,2.81,4.39,,,,
120,Arkansas,SEC (West),2,10,.167,0,8,.000,21.7,34.8,-4.63,4.96,,,,
121,Appalachian State,Sun Belt (East),11,2,.846,7,1,.875,37.3,15.5,9.76,-4.78,,25,,
