Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 2 2010,Thu,Ball State,27,,Southeast Missouri State,10,
2,1,Sep 2 2010,Thu,Buffalo,31,,Rhode Island,0,
3,1,Sep 2 2010,Thu,Central Michigan,33,,Hampton,0,
4,1,Sep 2 2010,Thu,Florida Atlantic,32,@,Alabama-Birmingham,31,
5,1,Sep 2 2010,Thu,Idaho,45,,North Dakota,0,
6,1,Sep 2 2010,Thu,Indiana,51,,Towson,17,
7,1,Sep 2 2010,Thu,Iowa State,27,,Northern Illinois,10,
8,1,Sep 2 2010,Thu,Kent State,41,,Murray State,10,
9,1,Sep 2 2010,Thu,(13) Miami (FL),45,,Florida A&M,0,
10,1,Sep 2 2010,Thu,Minnesota,24,@,Middle Tennessee State,17,
11,1,Sep 2 2010,Thu,Nevada,49,,Eastern Washington,24,
12,1,Sep 2 2010,Thu,(2) Ohio State,45,,Marshall,7,
13,1,Sep 2 2010,Thu,Rutgers,31,,Norfolk State,0,
14,1,Sep 2 2010,Thu,South Carolina,41,,Southern Mississippi,13,
15,1,Sep 2 2010,Thu,(14) Southern California,49,@,Hawaii,36,
16,1,Sep 2 2010,Thu,Tulane,27,,Southeastern Louisiana,21,
17,1,Sep 2 2010,Thu,Utah,27,,(15) Pittsburgh,24,
18,1,Sep 2 2010,Thu,Wake Forest,53,,Presbyterian,13,
19,1,Sep 3 2010,Fri,Arizona,41,@,Toledo,2,
20,1,Sep 3 2010,Fri,Temple,31,,Villanova,24,
21,1,Sep 4 2010,Sat,Air Force,65,,Northwestern State,21,
22,1,Sep 4 2010,Sat,(1) Alabama,48,,San Jose State,3,
23,1,Sep 4 2010,Sat,Arizona State,54,,Portland State,9,
24,1,Sep 4 2010,Sat,(17) Arkansas,44,,Tennessee Tech,3,
25,1,Sep 4 2010,Sat,Army,31,@,Eastern Michigan,27,
26,1,Sep 4 2010,Sat,(22) Auburn,52,,Arkansas State,26,
27,1,Sep 4 2010,Sat,Baylor,34,,Sam Houston State,3,
28,1,Sep 4 2010,Sat,Boston College,38,,Weber State,20,
29,1,Sep 4 2010,Sat,Brigham Young,23,,Washington,17,
30,1,Sep 4 2010,Sat,California,52,,California-Davis,3,
31,1,Sep 4 2010,Sat,Central Florida,38,,South Dakota,7,
32,1,Sep 4 2010,Sat,Clemson,35,,North Texas,10,
33,1,Sep 4 2010,Sat,Colorado,24,,Colorado State,3,Broncos Stadium at Mile High - Denver Colorado
34,1,Sep 4 2010,Sat,Duke,41,,Elon,27,
35,1,Sep 4 2010,Sat,(4) Florida,34,,Miami (OH),12,
36,1,Sep 4 2010,Sat,(20) Florida State,59,,Samford,6,
37,1,Sep 4 2010,Sat,Fresno State,28,,Cincinnati,14,
