Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Sep 3 2009,Thu,(14) Boise State,19,,(16) Oregon,8,
2,1,Sep 3 2009,Thu,Bowling Green State,31,,Troy,14,
3,1,Sep 3 2009,Thu,Indiana,19,,Eastern Kentucky,13,
4,1,Sep 3 2009,Thu,Iowa State,34,,North Dakota State,17,
5,1,Sep 3 2009,Thu,Kent State,18,,Coastal Carolina,0,
6,1,Sep 3 2009,Thu,North Texas,20,@,Ball State,10,
7,1,Sep 3 2009,Thu,South Carolina,7,@,North Carolina State,3,
8,1,Sep 3 2009,Thu,(19) Utah,35,,Utah State,17,
9,1,Sep 3 2009,Thu,Villanova,27,@,Temple,24,
10,1,Sep 4 2009,Fri,Hawaii,25,,Central Arkansas,20,
11,1,Sep 4 2009,Fri,Tulsa,37,@,Tulane,13,
12,1,Sep 5 2009,Sat,Air Force,72,,Nicholls State,0,
13,1,Sep 5 2009,Sat,(5) Alabama,34,,(7) Virginia Tech,24,
14,1,Sep 5 2009,Sat,Alabama-Birmingham,44,,Rice,24,
15,1,Sep 5 2009,Sat,Arizona,19,,Central Michigan,6,
16,1,Sep 5 2009,Sat,Arizona State,50,,Idaho State,3,
17,1,Sep 5 2009,Sat,Arkansas,48,,Missouri State,10,
18,1,Sep 5 2009,Sat,Arkansas State,61,,Mississippi Valley State,0,
19,1,Sep 5 2009,Sat,Army,27,@,Eastern Michigan,14,
20,1,Sep 5 2009,Sat,Auburn,37,,Louisiana Tech,13,
21,1,Sep 5 2009,Sat,Baylor,24,@,Wake Forest,21,
22,1,Sep 5 2009,Sat,Boston College,54,,Northeastern,0,
23,1,Sep 5 2009,Sat,(20) Brigham Young,14,,(3) Oklahoma,13,
24,1,Sep 5 2009,Sat,(20) Brigham Young,14,,(3) Oklahoma,13,AT&T Stadium - Arlington Texas
25,1,Sep 5 2009,Sat,Buffalo,23,@,Texas-El Paso,17,
26,1,Sep 5 2009,Sat,(12) California,52,,Maryland,13,
27,1,Sep 5 2009,Sat,Central Florida,28,,Samford,24,
28,1,Sep 5 2009,Sat,Clemson,37,,Middle Tennessee State,14,
29,1,Sep 5 2009,Sat,Connecticut,23,@,Ohio,16,
30,1,Sep 5 2009,Sat,East Carolina,29,,Appalachian State,24,
31,1,Sep 5 2009,Sat,(1) Florida,62,,Charleston Southern,3,
32,1,Sep 5 2009,Sat,Fresno State,51,,California-Davis,0,
33,1,Sep 5 2009,Sat,(15) Georgia Tech,37,,Jacksonville State,17,
34,1,Sep 5 2009,Sat,Houston,55,,Northwestern State,7,
35,1,Sep 5 2009,Sat,Idaho,21,@,New Mexico State,6,
36,1,Sep 5 2009,Sat,(22) Iowa,17,,Northern Iowa,16,
37,1,Sep 5 2009,Sat,(25) Kansas,49,,Northern Colorado,3,
