,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Post,Notes
1,Florida State,ACC (Atlantic),10,4,.714,6,2,.750,31.4,19.6,14.20,5.06,20,16,17,
2,Maryland,ACC (Atlantic),9,4,.692,5,3,.625,32.2,22.2,7.02,1.33,,23,23,
3,North Carolina State,ACC (Atlantic),9,4,.692,5,3,.625,31.8,21.3,11.00,2.92,,21,25,
4,Boston College,ACC (Atlantic),7,6,.538,4,4,.500,18.5,19.5,2.15,3.00,,,,
5,Clemson,ACC (Atlantic),6,7,.462,4,4,.500,24.0,18.8,7.35,3.74,,,,
6,Wake Forest,ACC (Atlantic),3,9,.250,1,7,.125,22.8,35.8,-5.07,4.26,,,,
7,Virginia Tech,ACC (Coastal),11,3,.786,8,0,1.000,33.9,20.6,14.03,2.74,10,10,16,
8,Miami (FL),ACC (Coastal),7,6,.538,5,3,.625,26.3,20.7,8.26,4.72,13,12,,
9,North Carolina,ACC (Coastal),8,5,.615,4,4,.500,25.3,23.2,5.15,2.84,18,18,,
10,Georgia Tech,ACC (Coastal),6,7,.462,4,4,.500,26.0,25.2,0.80,0.80,16,15,,
11,Virginia,ACC (Coastal),4,8,.333,1,7,.125,25.3,28.3,-3.29,0.37,,,,
12,Duke,ACC (Coastal),3,9,.250,1,7,.125,25.3,35.4,-4.59,2.66,,,,
13,Missouri,Big 12 (North),10,3,.769,6,2,.750,29.8,16.1,13.98,3.29,,7,18,
14,Nebraska,Big 12 (North),10,4,.714,6,2,.750,30.9,17.4,12.85,2.42,8,5,20,
15,Kansas State,Big 12 (North),7,6,.538,3,5,.375,33.6,29.1,4.11,1.26,,,,
16,Iowa State,Big 12 (North),5,7,.417,3,5,.375,21.7,28.8,0.43,4.27,,,,
17,Colorado,Big 12 (North),5,7,.417,2,6,.250,24.2,30.8,0.75,4.33,,,,
18,Kansas,Big 12 (North),3,9,.250,1,7,.125,17.1,34.4,-8.61,2.47,,,,
19,Oklahoma,Big 12 (South),12,2,.857,6,2,.750,37.2,21.8,17.11,5.40,7,3,6,
20,Oklahoma State,Big 12 (South),11,2,.846,6,2,.750,44.2,26.4,16.62,2.39,,10,13,
21,Texas A&M,Big 12 (South),9,4,.692,6,2,.750,31.2,21.9,11.39,4.85,,17,19,
22,Baylor,Big 12 (South),7,6,.538,4,4,.500,31.2,30.5,1.62,1.93,,22,,
23,Texas Tech,Big 12 (South),8,5,.615,3,5,.375,33.1,30.9,3.06,1.83,,,,
24,Texas,Big 12 (South),5,7,.417,2,6,.250,23.8,23.7,1.71,2.63,5,5,,
25,Connecticut,Big East,8,5,.615,5,2,.714,26.4,22.0,1.63,-1.21,,25,,
26,Pitt,Big East,8,5,.615,5,2,.714,26.3,19.0,7.40,1.25,15,15,,
27,West Virginia,Big East,9,4,.692,5,2,.714,25.2,13.5,9.51,0.12,25,20,,
28,Syracuse,Big East,8,5,.615,4,3,.571,22.2,19.3,1.30,-2.16,,,,
29,South Florida,Big East,8,5,.615,3,4,.429,24.1,20.0,2.15,-0.69,,,,
30,Louisville,Big East,7,6,.538,3,4,.429,26.4,19.4,2.71,-1.45,,,,
31,Cincinnati,Big East,4,8,.333,2,5,.286,27.1,28.0,-1.93,1.99,,,,
32,Rutgers,Big East,4,8,.333,1,6,.143,20.8,26.5,-6.76,-0.76,,,,
33,Ohio State,Big Ten,12,1,.923,7,1,.875,38.8,14.3,17.37,0.75,2,1,5,record adjusted to 0-0-0 by NCAA
34,Michigan State,Big Ten,11,2,.846,7,1,.875,29.5,22.3,9.91,1.29,,5,14,
35,Wisconsin,Big Ten,11,2,.846,7,1,.875,41.5,20.5,14.02,0.64,12,4,7,
36,Iowa,Big Ten,8,5,.615,4,4,.500,28.9,17.0,10.15,1.99,9,9,,
37,Illinois,Big Ten,7,6,.538,4,4,.500,32.5,23.5,7.77,1.47,,,,
38,Penn State,Big Ten,7,6,.538,4,4,.500,24.5,23.7,2.96,2.65,19,18,,
39,Michigan,Big Ten,7,6,.538,3,5,.375,32.8,35.2,1.41,3.10,,18,,
40,Northwestern,Big Ten,7,6,.538,3,5,.375,26.4,29.0,-1.44,-1.06,,,,
41,Purdue,Big Ten,4,8,.333,2,6,.250,19.7,28.8,-5.18,1.23,,,,
42,Minnesota,Big Ten,3,9,.250,2,6,.250,23.2,33.0,-5.06,3.53,,,,
43,Indiana,Big Ten,5,7,.417,1,7,.125,27.2,34.0,-4.49,-1.15,,,,
44,UCF,CUSA (East),11,3,.786,7,1,.875,32.1,17.1,5.79,-6.00,,21,21,
45,Southern Mississippi,CUSA (East),8,5,.615,5,3,.625,36.8,29.5,1.79,-4.68,,,,
46,East Carolina,CUSA (East),6,7,.462,5,3,.625,36.8,44.0,-4.48,0.13,,,,
47,Marshall,CUSA (East),5,7,.417,4,4,.500,20.8,28.8,-9.73,-3.73,,,,
48,UAB,CUSA (East),4,8,.333,3,5,.375,26.3,31.6,-9.20,-4.70,,,,
49,Memphis,CUSA (East),1,11,.083,0,8,.000,14.4,39.8,-19.43,-1.51,,,,
50,Tulsa,CUSA (West),10,3,.769,6,2,.750,41.4,30.3,4.95,-4.51,,24,24,
51,SMU,CUSA (West),7,7,.500,6,2,.750,25.7,25.6,-2.04,-2.11,,,,
52,Houston,CUSA (West),5,7,.417,4,4,.500,37.7,32.2,-2.11,-3.77,,23,,
53,UTEP,CUSA (West),6,7,.462,3,5,.375,26.0,27.5,-8.13,-7.59,,,,
54,Rice,CUSA (West),4,8,.333,3,5,.375,28.7,38.5,-11.08,-3.41,,,,
55,Tulane,CUSA (West),4,8,.333,2,6,.250,24.9,37.2,-13.42,-4.01,,,,
56,Navy,Ind,9,4,.692,0,0,,29.7,23.3,3.49,-1.98,,,,
57,Notre Dame,Ind,8,5,.615,0,0,,26.3,20.2,10.35,5.04,,,,
58,Army,Ind,7,6,.538,0,0,,26.6,24.3,-2.43,-4.73,,,,
59,Miami (OH),MAC (East),10,4,.714,7,1,.875,21.6,23.2,-5.86,-7.15,,,,
60,Ohio,MAC (East),8,5,.615,6,2,.750,27.5,23.8,-5.79,-9.86,,,,
61,Temple,MAC (East),8,4,.667,5,3,.625,25.0,19.1,-3.39,-8.14,,,,
62,Kent State,MAC (East),5,7,.417,4,4,.500,21.3,22.9,-8.82,-7.48,,,,
63,Bowling Green State,MAC (East),2,10,.167,1,7,.125,21.3,33.6,-16.76,-5.67,,,,
64,Buffalo,MAC (East),2,10,.167,1,7,.125,14.2,27.8,-19.20,-7.53,,,,
65,Akron,MAC (East),1,11,.083,1,7,.125,15.6,35.1,-21.54,-6.29,,,,
66,Northern Illinois,MAC (West),11,3,.786,8,0,1.000,38.0,18.9,4.32,-8.19,,24,,
67,Toledo,MAC (West),8,5,.615,7,1,.875,27.9,28.5,-3.70,-5.17,,,,
68,Western Michigan,MAC (West),6,6,.500,5,3,.625,32.3,23.8,-4.10,-7.43,,,,
69,Ball State,MAC (West),4,8,.333,3,5,.375,22.0,30.4,-14.83,-9.16,,,,
70,Central Michigan,MAC (West),3,9,.250,2,6,.250,24.4,26.0,-9.74,-5.32,,,,
71,Eastern Michigan,MAC (West),2,10,.167,2,6,.250,19.0,43.9,-19.07,-4.74,,,,
72,Texas Christian,MWC,13,0,1.000,8,0,1.000,41.6,12.0,17.96,-1.73,6,2,2,
73,Utah,MWC,10,3,.769,7,1,.875,33.1,20.3,8.30,0.53,,6,,
74,Air Force,MWC,9,4,.692,5,3,.625,30.8,21.1,6.87,-1.05,,23,,
75,San Diego State,MWC,9,4,.692,5,3,.625,35.0,22.1,6.07,-3.09,,,,
76,Brigham Young,MWC,7,6,.538,5,3,.625,26.2,21.6,1.33,0.41,,,,
77,Colorado State,MWC,3,9,.250,2,6,.250,16.5,34.7,-10.86,0.47,,,,
78,Nevada-Las Vegas,MWC,2,11,.154,2,6,.250,18.4,39.7,-11.86,3.22,,,,
79,Wyoming,MWC,3,9,.250,1,7,.125,19.2,30.3,-9.31,0.02,,,,
80,New Mexico,MWC,1,11,.083,1,7,.125,15.8,44.3,-17.76,0.57,,,,
81,Oregon,Pac-10,12,1,.923,9,0,1.000,47.0,18.7,21.54,3.92,11,1,3,
82,Stanford,Pac-10,12,1,.923,8,1,.889,40.3,17.4,21.80,5.03,,4,4,
83,USC,Pac-10,8,5,.615,5,4,.556,31.0,26.7,9.57,6.41,14,14,,
84,Washington,Pac-10,7,6,.538,5,4,.556,21.8,29.3,5.55,8.24,,,,
85,Arizona,Pac-10,7,6,.538,4,5,.444,28.2,22.7,8.14,6.37,,9,,
86,Arizona State,Pac-10,6,6,.500,4,5,.444,32.3,25.0,8.42,4.75,,,,
87,Oregon State,Pac-10,5,7,.417,4,5,.444,24.4,26.8,7.60,9.68,24,24,,
88,California,Pac-10,5,7,.417,3,6,.333,25.8,22.6,5.35,6.27,,,,
89,UCLA,Pac-10,4,8,.333,2,7,.222,20.2,30.3,0.62,7.29,,,,
90,Washington State,Pac-10,2,10,.167,1,8,.111,19.6,35.8,-4.20,7.22,,,,
91,South Carolina,SEC (East),9,5,.643,5,3,.625,30.9,23.1,12.97,6.18,,10,22,
92,Florida,SEC (East),8,5,.615,4,4,.500,29.8,21.3,9.30,4.07,4,4,,
93,Georgia,SEC (East),6,7,.462,3,5,.375,32.1,22.1,6.35,2.65,23,22,,
94,Tennessee,SEC (East),6,7,.462,3,5,.375,27.0,25.1,1.78,2.62,,,,
95,Kentucky,SEC (East),6,7,.462,2,6,.250,31.2,28.4,1.88,0.42,,,,
96,Vanderbilt,SEC (East),2,10,.167,1,7,.125,16.9,31.2,-9.57,3.01,,,,
97,Auburn,SEC (West),14,0,1.000,8,0,1.000,41.2,24.1,20.66,5.95,22,1,1,
98,LSU,SEC (West),11,2,.846,6,2,.750,29.7,18.2,15.13,4.67,21,5,8,
99,Arkansas,SEC (West),10,3,.769,6,2,.750,36.5,23.4,14.48,4.94,17,8,12,
100,Alabama,SEC (West),10,3,.769,5,3,.625,35.7,13.5,18.31,4.69,1,1,10,
101,Mississippi State,SEC (West),9,4,.692,4,4,.500,29.0,19.8,9.11,2.96,,15,15,
102,Ole Miss,SEC (West),4,8,.333,1,7,.125,30.6,35.2,-1.83,2.09,,,,record adjusted to 0-8-0 by NCAA
103,Troy,Sun Belt,8,5,.615,6,2,.750,34.1,30.2,-4.10,-7.56,,,,
104,Florida International,Sun Belt,7,6,.538,6,2,.750,28.8,27.3,-4.71,-6.17,,,,
105,Middle Tennessee State,Sun Belt,6,7,.462,5,3,.625,26.5,28.1,-10.59,-10.44,,,,
106,Louisiana-Monroe,Sun Belt,5,7,.417,4,4,.500,20.8,32.4,-11.04,-4.62,,,,
107,Arkansas State,Sun Belt,4,8,.333,4,4,.500,30.0,30.8,-7.45,-5.87,,,,
108,Florida Atlantic,Sun Belt,4,8,.333,3,5,.375,16.8,29.3,-15.90,-6.65,,,,
109,Louisiana,Sun Belt,3,9,.250,3,5,.375,22.3,37.0,-16.92,-5.67,,,,
110,North Texas,Sun Belt,3,9,.250,3,5,.375,23.9,29.7,-14.18,-7.34,,,,
111,Western Kentucky,Sun Belt,2,10,.167,2,6,.250,22.8,33.2,-15.37,-6.04,,,,
112,Boise State,WAC,12,1,.923,7,1,.875,45.1,12.8,18.69,-0.70,3,2,9,
113,Nevada,WAC,13,1,.929,7,1,.875,41.0,21.4,11.96,-3.54,,11,11,
114,Hawaii,WAC,10,4,.714,7,1,.875,39.6,25.5,6.55,-2.10,,24,,
115,Fresno State,WAC,8,5,.615,5,3,.625,29.0,30.0,0.18,-1.20,,,,
116,Louisiana Tech,WAC,5,7,.417,4,4,.500,26.8,30.7,-3.70,-0.28,,,,
117,Idaho,WAC,6,7,.462,3,5,.375,26.6,28.3,-2.77,-2.69,,,,
118,Utah State,WAC,4,8,.333,2,6,.250,22.0,33.8,-7.64,0.70,,,,
119,New Mexico State,WAC,2,10,.167,1,7,.125,15.7,39.5,-18.13,-1.46,,,,
120,San Jose State,WAC,1,12,.077,0,8,.000,16.1,34.7,-12.40,0.98,,,,
