Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 28 2004,Sat,Miami (OH),49,,Indiana State,0,
2,1,Aug 28 2004,Sat,(1) Southern California,24,,Virginia Tech,13,
3,2,Sep 2 2004,Thu,Arizona State,41,,Texas-El Paso,9,
4,2,Sep 2 2004,Thu,Boston College,19,@,Ball State,11,
5,2,Sep 2 2004,Thu,Eastern Michigan,37,,Buffalo,34,
6,2,Sep 2 2004,Thu,Texas Christian,48,,Northwestern,45,
7,2,Sep 2 2004,Thu,(20) Utah,41,,Texas A&M,21,
8,2,Sep 2 2004,Thu,Western Michigan,42,,Tennessee-Martin,0,
9,2,Sep 3 2004,Fri,Washington State,21,@,New Mexico,17,
10,2,Sep 4 2004,Sat,Alabama,48,,Utah State,17,
11,2,Sep 4 2004,Sat,Alabama-Birmingham,56,,Baylor,14,
12,2,Sep 4 2004,Sat,Arizona,21,,Northern Arizona,3,
13,2,Sep 4 2004,Sat,Arkansas,63,,New Mexico State,13,
14,2,Sep 4 2004,Sat,(17) Auburn,31,,Louisiana-Monroe,0,
15,2,Sep 4 2004,Sat,Boise State,65,,Idaho,7,
16,2,Sep 4 2004,Sat,Brigham Young,20,,Notre Dame,17,
17,2,Sep 4 2004,Sat,(12) California,56,@,Air Force,14,
18,2,Sep 4 2004,Sat,(15) Clemson,37,,Wake Forest,30,
19,2,Sep 4 2004,Sat,Colorado,27,,Colorado State,24,
20,2,Sep 4 2004,Sat,Connecticut,52,,Murray State,14,
21,2,Sep 4 2004,Sat,Florida Atlantic,35,@,Hawaii,28,
22,2,Sep 4 2004,Sat,(3) Georgia,48,,Georgia Southern,28,
23,2,Sep 4 2004,Sat,Georgia Tech,28,,Samford,7,
24,2,Sep 4 2004,Sat,Illinois,52,,Florida A&M,13,
25,2,Sep 4 2004,Sat,Indiana,41,,Central Michigan,10,
26,2,Sep 4 2004,Sat,(19) Iowa,39,,Kent State,7,
27,2,Sep 4 2004,Sat,Iowa State,23,,Northern Iowa,0,
28,2,Sep 4 2004,Sat,Kansas,21,,Tulsa,3,
29,2,Sep 4 2004,Sat,(13) Kansas State,27,,Western Kentucky,13,
30,2,Sep 4 2004,Sat,Louisiana,14,,Northwestern State,7,
31,2,Sep 4 2004,Sat,(4) Louisiana State,22,,Oregon State,21,
32,2,Sep 4 2004,Sat,(22) Maryland,23,,Northern Illinois,20,
33,2,Sep 4 2004,Sat,Memphis,20,@,Mississippi,13,
34,2,Sep 4 2004,Sat,(8) Michigan,43,,Miami (OH),10,
35,2,Sep 4 2004,Sat,(25) Minnesota,63,,Toledo,21,
36,2,Sep 4 2004,Sat,Mississippi State,28,,Tulane,7,
37,2,Sep 4 2004,Sat,(18) Missouri,52,,Arkansas State,20,
38,2,Sep 4 2004,Sat,Navy,27,,Duke,12,
39,2,Sep 4 2004,Sat,Nebraska,56,,Western Illinois,17,
40,2,Sep 4 2004,Sat,North Carolina,49,,William & Mary,38,
41,2,Sep 4 2004,Sat,North Carolina State,42,,Richmond,0,
42,2,Sep 4 2004,Sat,Ohio,42,,Virginia Military Institute,14,
43,2,Sep 4 2004,Sat,(9) Ohio State,27,,Cincinnati,6,
44,2,Sep 4 2004,Sat,(2) Oklahoma,40,,Bowling Green State,24,
45,2,Sep 4 2004,Sat,Oklahoma State,31,@,UCLA,20,
46,2,Sep 4 2004,Sat,Penn State,48,,Akron,10,
47,2,Sep 4 2004,Sat,Rutgers,19,,Michigan State,14,
48,2,Sep 4 2004,Sat,San Diego State,38,,Idaho State,21,
49,2,Sep 4 2004,Sat,South Carolina,31,@,Vanderbilt,6,
50,2,Sep 4 2004,Sat,Stanford,43,,San Jose State,3,
51,2,Sep 4 2004,Sat,(7) Texas,65,,North Texas,0,
52,2,Sep 4 2004,Sat,Texas Tech,27,@,Southern Methodist,13,
53,2,Sep 4 2004,Sat,Troy,17,@,Marshall,15,
54,2,Sep 4 2004,Sat,(16) Virginia,44,@,Temple,14,
55,2,Sep 4 2004,Sat,(10) West Virginia,56,,East Carolina,23,
56,2,Sep 4 2004,Sat,(21) Wisconsin,34,,Central Florida,6,
57,2,Sep 4 2004,Sat,Wyoming,53,,Appalachian State,7,
58,2,Sep 5 2004,Sun,Fresno State,35,@,Washington,16,
59,2,Sep 5 2004,Sun,Louisville,28,,Kentucky,0,
60,2,Sep 5 2004,Sun,(24) Purdue,51,,Syracuse,0,
61,2,Sep 5 2004,Sun,Rice,10,,Houston,7,
62,2,Sep 5 2004,Sun,(14) Tennessee,42,,Nevada-Las Vegas,17,
63,2,Sep 6 2004,Mon,Louisiana Tech,38,,Nevada,21,
64,3,Sep 9 2004,Thu,Troy,24,,(19) Missouri,14,
65,3,Sep 10 2004,Fri,Boise State,53,,Oregon State,34,
66,3,Sep 10 2004,Fri,(5) Miami (FL),16,,(4) Florida State,10,
67,3,Sep 11 2004,Sat,Air Force,42,,Eastern Washington,20,
68,3,Sep 11 2004,Sat,Alabama,28,,Mississippi,7,
69,3,Sep 11 2004,Sat,Arizona State,30,@,Northwestern,21,
70,3,Sep 11 2004,Sat,(18) Auburn,43,@,Mississippi State,14,
71,3,Sep 11 2004,Sat,Baylor,24,,Texas State,17,
72,3,Sep 11 2004,Sat,Boston College,21,,Penn State,7,
73,3,Sep 11 2004,Sat,Bowling Green State,49,,Southeast Missouri State,10,
74,3,Sep 11 2004,Sat,(12) California,41,,New Mexico State,14,
75,3,Sep 11 2004,Sat,Cincinnati,45,,Miami (OH),26,
76,3,Sep 11 2004,Sat,Colorado,20,@,Washington State,12,
77,3,Sep 11 2004,Sat,Connecticut,22,,Duke,20,
78,3,Sep 11 2004,Sat,(11) Florida,49,,Eastern Michigan,10,
79,3,Sep 11 2004,Sat,Florida Atlantic,20,@,North Texas,13,
80,3,Sep 11 2004,Sat,Florida International,22,@,Youngstown State,16,
81,3,Sep 11 2004,Sat,Fresno State,45,@,(13) Kansas State,21,
82,3,Sep 11 2004,Sat,(3) Georgia,20,@,South Carolina,16,
83,3,Sep 11 2004,Sat,Georgia Tech,28,@,(20) Clemson,24,
84,3,Sep 11 2004,Sat,Indiana,30,@,(24) Oregon,24,
85,3,Sep 11 2004,Sat,(16) Iowa,17,,Iowa State,10,
86,3,Sep 11 2004,Sat,Kansas,63,,Toledo,14,
87,3,Sep 11 2004,Sat,Kent State,38,,Liberty,10,
88,3,Sep 11 2004,Sat,(6) Louisiana State,53,,Arkansas State,3,
89,3,Sep 11 2004,Sat,Louisiana Tech,24,,Louisiana,20,
90,3,Sep 11 2004,Sat,Louisville,52,@,Army,21,
91,3,Sep 11 2004,Sat,(23) Maryland,45,,Temple,22,
92,3,Sep 11 2004,Sat,Memphis,52,,Chattanooga,21,
93,3,Sep 11 2004,Sat,Michigan State,24,,Central Michigan,7,
94,3,Sep 11 2004,Sat,Middle Tennessee State,31,@,Akron,24,
95,3,Sep 11 2004,Sat,(22) Minnesota,37,,Illinois State,21,
96,3,Sep 11 2004,Sat,Navy,28,,Northeastern,24,
97,3,Sep 11 2004,Sat,Nevada,59,,Sacramento State,7,
98,3,Sep 11 2004,Sat,New Hampshire,35,@,Rutgers,24,
99,3,Sep 11 2004,Sat,New Mexico,27,,Texas Tech,24,
100,3,Sep 11 2004,Sat,Northern Illinois,23,,Southern Illinois,22,
101,3,Sep 11 2004,Sat,Notre Dame,28,,(8) Michigan,20,
102,3,Sep 11 2004,Sat,(9) Ohio State,24,,Marshall,21,
103,3,Sep 11 2004,Sat,(2) Oklahoma,63,,Houston,13,
104,3,Sep 11 2004,Sat,Oklahoma State,38,,Tulsa,21,
105,3,Sep 11 2004,Sat,Pittsburgh,24,,Ohio,3,
106,3,Sep 11 2004,Sat,(25) Purdue,59,,Ball State,7,
107,3,Sep 11 2004,Sat,South Florida,21,,Tennessee Tech,7,
108,3,Sep 11 2004,Sat,(1) Southern California,49,,Colorado State,0,
109,3,Sep 11 2004,Sat,Southern Mississippi,21,@,Nebraska,17,
