,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Wake Forest,ACC (Atlantic),11,3,.786,6,2,.750,21.6,15.4,7.95,1.10,,14,18,
2,Boston College,ACC (Atlantic),10,3,.769,5,3,.625,26.0,15.7,9.96,0.58,,16,20,
3,Clemson,ACC (Atlantic),8,5,.615,5,3,.625,32.7,16.2,8.19,0.65,18,10,,
4,Maryland,ACC (Atlantic),9,4,.692,5,3,.625,21.8,21.8,2.70,1.01,,21,,
5,Florida State,ACC (Atlantic),7,6,.538,3,5,.375,26.5,19.8,6.19,2.19,11,9,,record adjusted to 2-6-0 by NCAA
6,North Carolina State,ACC (Atlantic),3,9,.250,2,6,.250,17.5,21.8,-4.11,0.64,,,,
7,Georgia Tech,ACC (Coastal),9,5,.643,7,1,.875,24.9,18.4,6.50,1.64,,13,,
8,Virginia Tech,ACC (Coastal),10,3,.769,6,2,.750,25.8,11.0,12.47,0.16,17,11,19,
9,Virginia,ACC (Coastal),5,7,.417,4,4,.500,15.1,17.8,-2.50,0.42,,,,
10,Miami (FL),ACC (Coastal),7,6,.538,3,5,.375,19.6,15.5,3.02,0.40,12,12,,
11,North Carolina,ACC (Coastal),3,9,.250,2,6,.250,18.0,30.5,-7.54,2.46,,,,
12,Duke,ACC (Coastal),0,12,.000,0,8,.000,14.9,33.8,-14.98,2.36,,,,
13,Nebraska,Big 12 (North),9,5,.643,6,2,.750,30.6,18.3,8.92,1.99,20,17,,
14,Missouri,Big 12 (North),8,5,.615,4,4,.500,30.1,19.5,8.15,-0.09,,19,,
15,Kansas State,Big 12 (North),7,6,.538,4,4,.500,22.8,23.8,-0.07,1.32,,,,
16,Kansas,Big 12 (North),6,6,.500,3,5,.375,29.0,25.5,0.53,-1.64,,,,
17,Colorado,Big 12 (North),2,10,.167,2,6,.250,16.3,22.3,-6.18,0.99,,,,
18,Iowa State,Big 12 (North),4,8,.333,1,7,.125,18.8,30.8,-9.91,0.17,,,,
