,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Maryland,ACC,10,2,.833,7,1,.875,34.4,22.2,10.78,1.36,,6,11,
2,Florida State,ACC,8,4,.667,6,2,.750,33.6,25.3,12.79,6.45,6,6,15,
3,North Carolina,ACC,8,5,.615,5,3,.625,25.9,20.8,7.52,4.29,,22,,
4,Georgia Tech,ACC,8,5,.615,4,4,.500,31.2,21.6,7.10,1.95,10,9,24,
5,Clemson,ACC,7,5,.583,4,4,.500,30.8,28.3,4.34,1.59,19,13,,
6,North Carolina State,ACC,7,5,.583,4,4,.500,26.6,21.4,6.38,1.05,,,,
7,Wake Forest,ACC,6,5,.545,3,5,.375,26.5,28.3,0.24,0.87,,,,
8,Virginia,ACC,5,7,.417,3,5,.375,20.8,27.6,-1.91,2.76,,,,
9,Duke,ACC,0,11,.000,0,8,.000,19.3,44.6,-16.57,3.16,,,,
10,Colorado,Big 12 (North),10,3,.769,7,1,.875,31.7,24.5,13.44,6.44,,3,9,
11,Nebraska,Big 12 (North),11,2,.846,7,1,.875,35.6,17.4,16.48,4.33,4,2,8,
12,Iowa State,Big 12 (North),7,5,.583,4,4,.500,25.8,20.4,4.12,1.45,,,,
13,Kansas State,Big 12 (North),6,6,.500,3,5,.375,27.5,17.1,9.63,5.63,13,11,,
14,Missouri,Big 12 (North),4,7,.364,3,5,.375,21.8,30.0,-1.86,3.69,,,,
15,Kansas,Big 12 (North),3,8,.273,1,7,.125,16.5,36.2,-5.89,5.75,,,,
16,Texas,Big 12 (South),11,2,.846,7,1,.875,39.8,15.9,18.67,2.21,5,3,5,
17,Oklahoma,Big 12 (South),11,2,.846,6,2,.750,30.5,13.0,15.39,2.16,3,2,6,
18,Texas A&M,Big 12 (South),8,4,.667,4,4,.500,20.7,17.8,5.96,2.63,,24,,
19,Texas Tech,Big 12 (South),7,5,.583,4,4,.500,33.5,23.4,8.56,2.81,,,,
20,Oklahoma State,Big 12 (South),4,7,.364,2,6,.250,22.0,25.5,-0.13,3.41,,,,
21,Baylor,Big 12 (South),3,8,.273,0,8,.000,18.6,32.5,-6.84,2.25,,,,
22,Miami (FL),Big East,12,0,1.000,7,0,1.000,42.7,9.8,26.17,5.09,2,1,1,
23,Syracuse,Big East,10,3,.769,6,1,.857,25.7,19.0,13.54,6.23,,14,14,
24,Boston College,Big East,8,4,.667,4,3,.571,27.3,18.9,10.27,3.19,,21,21,
25,Virginia Tech,Big East,8,4,.667,4,3,.571,31.3,14.8,12.16,2.16,9,5,18,
26,Pitt,Big East,7,5,.583,4,3,.571,24.7,20.4,6.31,2.97,,,,
27,Temple,Big East,4,7,.364,2,5,.286,18.0,27.4,-4.63,2.46,,,,
28,West Virginia,Big East,3,8,.273,1,6,.143,21.4,24.4,-0.82,4.45,,,,
29,Rutgers,Big East,2,9,.182,0,7,.000,10.8,36.1,-13.02,0.16,,,,
30,Illinois,Big Ten,10,2,.833,7,1,.875,32.5,23.8,12.71,3.79,,7,12,
31,Michigan,Big Ten,8,4,.667,6,2,.750,26.7,19.8,12.65,5.73,12,6,20,
32,Ohio State,Big Ten,7,5,.583,5,3,.625,26.0,20.3,8.56,3.73,23,21,,
33,Iowa,Big Ten,7,5,.583,4,4,.500,32.6,21.5,9.96,3.21,,,,
34,Purdue,Big Ten,6,6,.500,4,4,.500,20.8,23.2,2.95,4.95,,17,,
35,Indiana,Big Ten,5,6,.455,4,4,.500,27.7,27.1,4.15,5.51,,,,
36,Penn State,Big Ten,5,6,.455,4,4,.500,22.5,25.5,5.21,7.39,,,,
37,Michigan State,Big Ten,7,5,.583,3,5,.375,31.2,25.9,6.26,2.93,,22,,
38,Wisconsin,Big Ten,5,7,.417,3,5,.375,26.1,28.8,2.91,5.33,22,22,,
39,Minnesota,Big Ten,4,7,.364,2,6,.250,28.0,27.2,-0.70,1.76,,,,
40,Northwestern,Big Ten,4,7,.364,2,6,.250,29.1,34.4,-1.01,3.26,16,14,,
41,Louisville,CUSA,11,2,.846,6,1,.857,30.3,17.2,8.49,-3.21,,17,17,
42,Cincinnati,CUSA,7,5,.583,5,2,.714,28.0,24.2,-2.24,-6.07,,,,
