,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Florida State,ACC (Atlantic),8,5,.615,5,3,.625,28.9,22.0,9.36,5.05,14,4,23,
2,Boston College,ACC (Atlantic),9,3,.750,5,3,.625,25.8,15.9,12.01,4.17,22,13,18,
3,Clemson,ACC (Atlantic),8,4,.667,4,4,.500,26.3,17.6,11.09,3.42,,20,21,
4,North Carolina State,ACC (Atlantic),7,5,.583,3,5,.375,20.8,17.7,5.73,3.73,,,,
5,Maryland,ACC (Atlantic),5,6,.455,3,5,.375,24.5,25.0,5.11,5.83,,,,
6,Wake Forest,ACC (Atlantic),4,7,.364,3,5,.375,24.5,28.7,0.21,5.03,,,,
7,Virginia Tech,ACC (Coastal),11,2,.846,7,1,.875,33.8,12.9,18.96,4.27,8,3,7,
8,Miami (FL),ACC (Coastal),9,3,.750,6,2,.750,27.1,14.3,15.09,4.50,9,3,17,
9,Georgia Tech,ACC (Coastal),7,5,.583,5,3,.625,18.5,20.1,7.31,6.48,,15,,
10,North Carolina,ACC (Coastal),5,6,.455,4,4,.500,18.0,26.2,3.44,7.71,,,,
11,Virginia,ACC (Coastal),7,5,.583,3,5,.375,26.7,23.3,5.61,3.19,25,19,,
12,Duke,ACC (Coastal),1,10,.091,0,8,.000,16.1,37.1,-10.71,4.29,,,,
13,Colorado,Big 12 (North),7,6,.538,5,3,.625,23.5,23.6,6.60,5.37,,22,,
14,Nebraska,Big 12 (North),8,4,.667,4,4,.500,24.7,21.0,7.57,3.57,,24,24,
15,Iowa State,Big 12 (North),7,5,.583,4,4,.500,28.3,19.2,8.48,1.32,,22,,
16,Missouri,Big 12 (North),7,5,.583,4,4,.500,30.8,29.2,3.68,1.59,,,,
17,Kansas,Big 12 (North),7,5,.583,3,5,.375,22.4,22.0,5.22,2.39,,,,
18,Kansas State,Big 12 (North),5,6,.455,2,6,.250,26.3,27.7,-1.42,1.22,,,,
19,Texas,Big 12 (South),13,0,1.000,8,0,1.000,50.2,16.4,24.98,4.98,2,1,1,
20,Texas Tech,Big 12 (South),9,3,.750,6,2,.750,39.4,18.8,11.40,0.32,21,10,20,
21,Oklahoma,Big 12 (South),8,4,.667,6,2,.750,26.9,23.1,11.24,6.99,7,7,22,
22,Texas A&M,Big 12 (South),5,6,.455,3,5,.375,32.0,31.2,2.16,3.89,17,17,,
23,Baylor,Big 12 (South),5,6,.455,2,6,.250,21.5,26.5,0.76,3.03,,,,
24,Oklahoma State,Big 12 (South),4,7,.364,1,7,.125,20.2,31.3,-6.28,1.72,,,,
25,West Virginia,Big East,11,1,.917,7,0,1.000,32.1,17.8,13.05,0.71,,5,5,
26,Louisville,Big East,9,3,.750,5,2,.714,43.4,23.8,11.12,-0.63,12,9,19,
27,Rutgers,Big East,7,5,.583,4,3,.571,28.7,25.6,1.30,-2.37,,,,
28,South Florida,Big East,6,6,.500,4,3,.571,23.0,18.0,5.07,1.90,,,,
29,Pitt,Big East,5,6,.455,4,3,.571,24.3,22.1,0.97,0.24,23,23,,
30,Connecticut,Big East,5,6,.455,2,5,.286,24.7,19.2,-1.88,-2.51,,,,
