,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Clemson,ACC (Atlantic),14,1,.933,8,0,1.000,38.5,21.7,18.88,5.21,12,1,2,
2,Florida State,ACC (Atlantic),10,3,.769,6,2,.750,31.7,17.5,13.59,1.97,10,9,14,
3,Louisville,ACC (Atlantic),8,5,.615,5,3,.625,28.7,24.1,6.69,3.23,,,,
4,North Carolina State,ACC (Atlantic),7,6,.538,3,5,.375,33.2,25.8,5.06,0.83,,,,
5,Syracuse,ACC (Atlantic),4,8,.333,2,6,.250,27.3,31.0,-1.51,3.91,,,,
6,Wake Forest,ACC (Atlantic),3,9,.250,1,7,.125,17.4,24.6,-3.70,3.55,,,,
7,Boston College,ACC (Atlantic),3,9,.250,0,8,.000,17.2,15.3,-1.73,2.11,,,,
8,North Carolina,ACC (Coastal),11,3,.786,8,0,1.000,40.7,24.5,12.73,1.09,,8,15,
9,Pitt,ACC (Coastal),8,5,.615,6,2,.750,28.2,26.1,6.32,3.78,,23,,
10,Miami (FL),ACC (Coastal),8,5,.615,5,3,.625,27.8,28.2,5.69,3.38,,,,
11,Duke,ACC (Coastal),8,5,.615,4,4,.500,31.5,25.4,2.94,-0.75,,22,,
12,Virginia Tech,ACC (Coastal),7,6,.538,4,4,.500,31.0,26.3,5.04,1.65,,,,
13,Virginia,ACC (Coastal),4,8,.333,3,5,.375,25.8,32.2,-0.95,4.14,,,,
14,Georgia Tech,ACC (Coastal),3,9,.250,1,7,.125,29.3,25.8,1.43,4.60,16,14,,
15,Temple,American (East),10,4,.714,7,1,.875,29.8,20.1,6.45,-1.63,,20,,
16,South Florida,American (East),8,5,.615,6,2,.750,33.6,22.9,5.88,-0.74,,,,
17,Cincinnati,American (East),7,6,.538,4,4,.500,33.8,31.2,1.19,-0.65,,,,
18,Connecticut,American (East),6,7,.462,4,4,.500,17.2,19.5,-3.45,-1.37,,,,
19,East Carolina,American (East),5,7,.417,3,5,.375,27.4,26.0,-1.27,-0.93,,,,
20,UCF,American (East),0,12,.000,0,8,.000,13.9,37.7,-18.85,-0.68,,,,
21,Houston,American (West),13,1,.929,7,1,.875,40.4,20.7,12.32,-3.04,,8,8,
22,Navy,American (West),11,2,.846,7,1,.875,36.8,21.8,11.14,-1.55,,16,18,
23,Memphis,American (West),9,4,.692,5,3,.625,40.2,27.3,6.55,0.16,,15,,
24,Tulsa,American (West),6,7,.462,3,5,.375,37.2,39.8,-4.74,-2.05,,,,
25,Tulane,American (West),3,9,.250,1,7,.125,19.7,36.3,-13.59,-2.42,,,,
26,SMU,American (West),2,10,.167,1,7,.125,27.8,45.7,-12.22,0.62,,,,
27,Oklahoma,Big 12,11,2,.846,8,1,.889,43.5,22.0,17.84,4.38,19,3,5,
28,Texas Christian,Big 12,11,2,.846,7,2,.778,42.1,27.2,11.39,1.39,2,2,7,
29,Oklahoma State,Big 12,10,3,.769,7,2,.778,39.5,30.5,8.50,1.57,,4,20,
30,Baylor,Big 12,10,3,.769,6,3,.667,48.1,28.3,13.08,0.31,4,2,13,
31,West Virginia,Big 12,8,5,.615,4,5,.444,34.0,24.6,7.59,2.21,,23,,
32,Texas Tech,Big 12,7,6,.538,4,5,.444,45.1,43.6,3.04,2.89,,,,
33,Texas,Big 12,5,7,.417,4,5,.444,26.4,30.3,1.09,4.84,,,,
34,Kansas State,Big 12,6,7,.462,3,6,.333,29.9,31.5,1.83,2.06,,,,
35,Iowa State,Big 12,3,9,.250,2,7,.222,25.0,32.7,-2.14,4.28,,,,
36,Kansas,Big 12,0,12,.000,0,9,.000,15.3,46.1,-15.22,3.87,,,,
37,Michigan State,Big Ten (East),12,2,.857,7,1,.875,29.8,21.7,15.36,6.58,5,2,6,
38,Ohio State,Big Ten (East),12,1,.923,7,1,.875,35.7,15.1,20.73,3.81,1,1,4,
39,Michigan,Big Ten (East),10,3,.769,6,2,.750,31.4,16.4,16.34,4.57,,12,12,
40,Penn State,Big Ten (East),7,6,.538,4,4,.500,23.2,21.8,6.46,4.77,,,,
41,Indiana,Big Ten (East),6,7,.462,2,6,.250,36.5,37.6,2.26,3.03,,,,
42,Rutgers,Big Ten (East),4,8,.333,1,7,.125,27.1,34.9,-3.57,3.10,,,,
43,Maryland,Big Ten (East),3,9,.250,1,7,.125,24.7,34.4,-2.08,6.83,,,,
44,Iowa,Big Ten (West),12,2,.857,8,0,1.000,30.9,20.4,10.80,1.51,,3,9,
45,Northwestern,Big Ten (West),10,3,.769,6,2,.750,19.5,18.6,7.30,4.23,,12,23,
46,Wisconsin,Big Ten (West),10,3,.769,6,2,.750,26.8,13.7,10.85,1.39,20,19,21,
47,Nebraska,Big Ten (West),6,7,.462,3,5,.375,32.8,27.8,6.56,3.94,,,,
48,Illinois,Big Ten (West),5,7,.417,2,6,.250,22.7,23.3,1.18,3.26,,,,
49,Minnesota,Big Ten (West),6,7,.462,2,6,.250,22.5,25.2,2.46,4.84,,,,
50,Purdue,Big Ten (West),2,10,.167,1,7,.125,25.1,36.5,-5.92,4.41,,,,
51,Western Kentucky,CUSA (East),12,2,.857,8,0,1.000,44.3,25.9,9.62,-4.02,,24,24,
52,Marshall,CUSA (East),10,3,.769,6,2,.750,31.3,17.8,1.84,-8.24,,,,
53,Middle Tennessee State,CUSA (East),7,6,.538,6,2,.750,34.0,26.6,-2.71,-4.09,,,,
54,Florida International,CUSA (East),5,7,.417,3,5,.375,25.5,29.8,-8.79,-8.12,,,,
55,Old Dominion,CUSA (East),5,7,.417,3,5,.375,24.3,35.8,-15.40,-6.90,,,,
56,Florida Atlantic,CUSA (East),3,9,.250,3,5,.375,22.5,28.8,-11.49,-4.74,,,,
