,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Virginia Tech,ACC,10,3,.769,7,1,.875,30.8,12.8,14.10,4.33,,9,10,
2,Florida State,ACC,9,3,.750,6,2,.750,25.2,14.1,15.00,4.75,5,4,15,
3,Miami (FL),ACC,9,3,.750,5,3,.625,31.7,17.0,18.03,7.20,6,3,11,
4,Virginia,ACC,8,4,.667,5,3,.625,30.3,17.7,13.57,3.99,16,6,23,
5,North Carolina,ACC,6,6,.500,5,3,.625,26.6,31.8,4.47,7.63,,,,
6,Clemson,ACC,6,5,.545,4,4,.500,21.5,20.8,5.23,5.23,15,15,,
7,Georgia Tech,ACC,7,5,.583,4,4,.500,22.0,18.9,6.41,4.25,,,,
8,Maryland,ACC,5,6,.455,3,5,.375,17.7,20.0,3.54,4.35,22,21,,
9,North Carolina State,ACC,5,6,.455,3,5,.375,24.0,19.8,6.04,4.31,,,,
10,Wake Forest,ACC,4,7,.364,1,7,.125,20.9,23.0,1.58,2.85,,,,
11,Duke,ACC,2,9,.182,1,7,.125,16.6,29.3,-8.04,4.23,,,,
12,Colorado,Big 12 (North),8,5,.615,4,4,.500,23.4,25.5,4.96,5.81,,,,
13,Iowa State,Big 12 (North),7,5,.583,4,4,.500,20.5,21.6,2.08,1.83,,,,
14,Missouri,Big 12 (North),5,6,.455,3,5,.375,23.3,19.5,1.27,0.46,18,18,,
15,Nebraska,Big 12 (North),5,6,.455,3,5,.375,25.0,27.1,1.32,2.23,,,,
16,Kansas,Big 12 (North),4,7,.364,2,6,.250,23.8,21.4,5.05,5.23,,,,
17,Kansas State,Big 12 (North),4,7,.364,2,6,.250,29.6,30.6,2.04,3.40,13,13,,
18,Oklahoma,Big 12 (South),12,1,.923,8,0,1.000,34.8,16.8,21.23,6.85,2,2,3,
19,Texas,Big 12 (South),11,1,.917,7,1,.875,35.3,17.9,19.27,5.18,7,5,5,
20,Texas Tech,Big 12 (South),8,4,.667,5,3,.625,36.2,26.2,12.88,6.22,,18,18,
21,Texas A&M,Big 12 (South),7,5,.583,5,3,.625,28.4,24.3,12.07,8.74,,16,,
22,Oklahoma State,Big 12 (South),7,5,.583,4,4,.500,32.3,25.1,9.64,5.72,,16,,
23,Baylor,Big 12 (South),3,8,.273,1,7,.125,20.4,36.9,-7.51,4.67,,,,
24,Boston College,Big East,9,3,.750,4,2,.667,24.7,16.9,5.28,-2.47,,17,21,
25,Pitt,Big East,8,4,.667,4,2,.667,27.1,24.0,2.96,-1.54,,19,25,
26,West Virginia,Big East,8,4,.667,4,2,.667,30.1,20.5,5.27,-2.65,10,6,,
27,Syracuse,Big East,6,6,.500,4,2,.667,23.9,28.7,-0.07,1.76,,,,record adjusted to 0-6-0 by NCAA
28,Connecticut,Big East,8,4,.667,3,3,.500,30.3,21.7,0.83,-5.17,,,,
29,Rutgers,Big East,4,7,.364,1,5,.167,24.5,31.2,-8.16,-2.52,,,,
30,Temple,Big East,2,9,.182,1,5,.167,21.6,36.3,-11.33,0.49,,,,
31,Iowa,Big Ten,10,2,.833,7,1,.875,24.3,17.6,14.39,5.97,19,8,8,
32,Michigan,Big Ten,9,3,.750,7,1,.875,30.8,23.3,12.24,4.82,8,7,14,
33,Wisconsin,Big Ten,9,3,.750,6,2,.750,20.8,15.4,8.69,2.35,21,4,17,
34,Northwestern,Big Ten,6,6,.500,5,3,.625,24.6,28.5,1.71,5.04,,,,
35,Ohio State,Big Ten,8,4,.667,4,4,.500,24.2,18.3,11.31,5.14,9,7,20,
36,Purdue,Big Ten,7,5,.583,4,4,.500,31.8,17.2,10.93,4.02,24,5,,
37,Michigan State,Big Ten,5,7,.417,4,4,.500,29.4,27.2,2.30,2.30,,,,
38,Minnesota,Big Ten,7,5,.583,3,5,.375,30.1,22.8,5.74,1.49,25,13,,
39,Penn State,Big Ten,4,7,.364,2,6,.250,17.7,15.3,3.24,2.24,,,,
40,Illinois,Big Ten,3,8,.273,1,7,.125,21.8,29.4,-4.53,1.83,,,,
41,Indiana,Big Ten,3,8,.273,1,7,.125,23.8,31.2,-4.98,2.11,,,,
42,Louisville,CUSA,11,1,.917,8,0,1.000,49.8,19.7,17.21,-1.37,,6,6,
43,Memphis,CUSA,8,4,.667,5,3,.625,35.8,31.3,1.28,-4.22,,25,,
44,Cincinnati,CUSA,7,5,.583,5,3,.625,28.7,26.7,2.29,-1.21,,,,
45,Southern Mississippi,CUSA,7,5,.583,5,3,.625,25.8,24.8,-1.09,-1.25,,21,,
