Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 31 2006,Thu,(24) Arizona State,35,,Northern Arizona,14,
2,1,Aug 31 2006,Thu,Ball State,38,,Eastern Michigan,20,
3,1,Aug 31 2006,Thu,Boise State,45,,Sacramento State,0,
4,1,Aug 31 2006,Thu,Boston College,31,@,Central Michigan,24,
5,1,Aug 31 2006,Thu,Buffalo,9,,Temple,3,
6,1,Aug 31 2006,Thu,Connecticut,52,,Rhode Island,7,
7,1,Aug 31 2006,Thu,Iowa State,45,,Toledo,43,
8,1,Aug 31 2006,Thu,Louisiana-Monroe,24,,Alcorn State,6,
9,1,Aug 31 2006,Thu,Middle Tennessee State,7,,Florida International,6,
10,1,Aug 31 2006,Thu,Minnesota,44,@,Kent State,0,
11,1,Aug 31 2006,Thu,New Mexico State,30,,Southeastern Louisiana,15,
12,1,Aug 31 2006,Thu,Northwestern,21,@,Miami (OH),3,
13,1,Aug 31 2006,Thu,Oregon State,56,,Eastern Washington,17,
14,1,Aug 31 2006,Thu,South Carolina,15,@,Mississippi State,0,
15,1,Aug 31 2006,Thu,Texas-El Paso,34,@,San Diego State,27,
16,1,Aug 31 2006,Thu,Tulsa,45,,Stephen F. Austin,7,
17,1,Sep 1 2006,Fri,Fresno State,28,,Nevada,19,
18,1,Sep 2 2006,Sat,Alabama,25,,Hawaii,17,
19,1,Sep 2 2006,Sat,Arizona,16,,Brigham Young,13,
20,1,Sep 2 2006,Sat,Arkansas State,14,,Army,6,
21,1,Sep 2 2006,Sat,(4) Auburn,40,,Washington State,14,
22,1,Sep 2 2006,Sat,Central Florida,35,,Villanova,16,
23,1,Sep 2 2006,Sat,Cincinnati,31,,Eastern Kentucky,0,
24,1,Sep 2 2006,Sat,(18) Clemson,54,,Florida Atlantic,6,
25,1,Sep 2 2006,Sat,Colorado State,30,,Weber State,6,
26,1,Sep 2 2006,Sat,(7) Florida,34,,Southern Mississippi,7,
27,1,Sep 2 2006,Sat,(15) Georgia,48,,Western Kentucky,12,
28,1,Sep 2 2006,Sat,Houston,31,@,Rice,30,
29,1,Sep 2 2006,Sat,Illinois,42,,Eastern Illinois,17,
30,1,Sep 2 2006,Sat,Indiana,39,,Western Michigan,20,
31,1,Sep 2 2006,Sat,(16) Iowa,41,,Montana,7,
32,1,Sep 2 2006,Sat,Kansas,49,,Northwestern State,18,
33,1,Sep 2 2006,Sat,Kansas State,24,,Illinois State,23,
34,1,Sep 2 2006,Sat,(8) Louisiana State,45,,Louisiana,3,
35,1,Sep 2 2006,Sat,Maryland,27,,William & Mary,14,
36,1,Sep 2 2006,Sat,(14) Michigan,27,,Vanderbilt,7,
37,1,Sep 2 2006,Sat,Michigan State,27,,Idaho,17,
38,1,Sep 2 2006,Sat,Missouri,47,,Murray State,7,
39,1,Sep 2 2006,Sat,Montana State,19,@,Colorado,10,
40,1,Sep 2 2006,Sat,Navy,28,,East Carolina,23,
41,1,Sep 2 2006,Sat,(20) Nebraska,49,,Louisiana Tech,10,
42,1,Sep 2 2006,Sat,Nevada-Las Vegas,54,,Idaho State,10,
43,1,Sep 2 2006,Sat,North Carolina State,23,,Appalachian State,10,
44,1,Sep 2 2006,Sat,(2) Notre Dame,14,@,Georgia Tech,10,
45,1,Sep 2 2006,Sat,Ohio,29,,Tennessee-Martin,3,
46,1,Sep 2 2006,Sat,(1) Ohio State,35,,Northern Illinois,12,
47,1,Sep 2 2006,Sat,(10) Oklahoma,24,,Alabama-Birmingham,17,
48,1,Sep 2 2006,Sat,Oklahoma State,52,,Missouri State,10,
49,1,Sep 2 2006,Sat,(21) Oregon,48,,Stanford,10,
50,1,Sep 2 2006,Sat,(19) Penn State,34,,Akron,16,
51,1,Sep 2 2006,Sat,Pittsburgh,38,,Virginia,13,
52,1,Sep 2 2006,Sat,Portland State,17,@,New Mexico,6,
53,1,Sep 2 2006,Sat,Purdue,60,,Indiana State,35,
54,1,Sep 2 2006,Sat,Richmond,13,@,Duke,0,
55,1,Sep 2 2006,Sat,Rutgers,21,@,North Carolina,16,
56,1,Sep 2 2006,Sat,South Florida,41,,McNeese State,10,
57,1,Sep 2 2006,Sat,(6) Southern California,50,@,Arkansas,14,
58,1,Sep 2 2006,Sat,(23) Tennessee,35,,(9) California,18,
59,1,Sep 2 2006,Sat,(3) Texas,56,,North Texas,7,
60,1,Sep 2 2006,Sat,Texas A&M,35,,Citadel,3,
61,1,Sep 2 2006,Sat,(25) Texas Tech,35,,Southern Methodist,3,
62,1,Sep 2 2006,Sat,Troy,38,,Alabama State,0,
63,1,Sep 2 2006,Sat,UCLA,31,,Utah,10,
64,1,Sep 2 2006,Sat,(17) Virginia Tech,38,,Northeastern,0,
65,1,Sep 2 2006,Sat,Wake Forest,20,,Syracuse,10,
66,1,Sep 2 2006,Sat,Washington,35,,San Jose State,29,
67,1,Sep 2 2006,Sat,(5) West Virginia,42,,Marshall,10,
68,1,Sep 2 2006,Sat,Wisconsin,35,@,Bowling Green State,14,
69,1,Sep 2 2006,Sat,Wyoming,38,,Utah State,7,
70,1,Sep 3 2006,Sun,(13) Louisville,59,,Kentucky,28,
71,1,Sep 3 2006,Sun,Mississippi,28,,Memphis,25,
72,1,Sep 3 2006,Sun,(22) Texas Christian,17,@,Baylor,7,
73,1,Sep 4 2006,Mon,(11) Florida State,13,@,(12) Miami (FL),10,
74,2,Sep 7 2006,Thu,Boise State,42,,Oregon State,14,
75,2,Sep 8 2006,Fri,Pittsburgh,33,@,Cincinnati,15,
76,2,Sep 9 2006,Sat,Akron,20,@,North Carolina State,17,
77,2,Sep 9 2006,Sat,Alabama,13,,Vanderbilt,10,
78,2,Sep 9 2006,Sat,Alabama-Birmingham,17,,East Carolina,12,
79,2,Sep 9 2006,Sat,(25) Arizona State,52,,Nevada,21,
80,2,Sep 9 2006,Sat,Arkansas,20,,Utah State,0,
81,2,Sep 9 2006,Sat,Army,17,,Kent State,14,
82,2,Sep 9 2006,Sat,(4) Auburn,34,@,Mississippi State,0,
83,2,Sep 9 2006,Sat,Baylor,47,,Northwestern State,10,
84,2,Sep 9 2006,Sat,Boston College,34,,(18) Clemson,33,
85,2,Sep 9 2006,Sat,Bowling Green State,48,,Buffalo,40,
86,2,Sep 9 2006,Sat,Brigham Young,49,,Tulsa,24,
87,2,Sep 9 2006,Sat,(22) California,42,,Minnesota,17,
88,2,Sep 9 2006,Sat,Colorado State,14,,Colorado,10,
89,2,Sep 9 2006,Sat,(7) Florida,42,,Central Florida,0,
90,2,Sep 9 2006,Sat,(9) Florida State,24,,Troy,17,
91,2,Sep 9 2006,Sat,(12) Georgia,18,@,South Carolina,0,
92,2,Sep 9 2006,Sat,Georgia Tech,38,,Samford,6,
93,2,Sep 9 2006,Sat,Houston,45,,Tulane,7,
94,2,Sep 9 2006,Sat,Indiana,24,@,Ball State,23,
95,2,Sep 9 2006,Sat,(14) Iowa,20,@,Syracuse,13,
96,2,Sep 9 2006,Sat,Iowa State,16,,Nevada-Las Vegas,10,
97,2,Sep 9 2006,Sat,Kansas,21,,Louisiana-Monroe,19,
98,2,Sep 9 2006,Sat,Kansas State,45,,Florida Atlantic,0,
99,2,Sep 9 2006,Sat,Kentucky,41,,Texas State,7,
100,2,Sep 9 2006,Sat,(8) Louisiana State,45,,Arizona,3,
101,2,Sep 9 2006,Sat,(13) Louisville,62,@,Temple,0,
102,2,Sep 9 2006,Sat,Marshall,54,,Hofstra,31,
103,2,Sep 9 2006,Sat,Maryland,24,,Middle Tennessee State,10,
104,2,Sep 9 2006,Sat,Memphis,33,,Chattanooga,14,
105,2,Sep 9 2006,Sat,(17) Miami (FL),51,,Florida A&M,10,
106,2,Sep 9 2006,Sat,(10) Michigan,41,,Central Michigan,17,
107,2,Sep 9 2006,Sat,Michigan State,52,,Eastern Michigan,20,
108,2,Sep 9 2006,Sat,Missouri,34,,Mississippi,7,
