,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Florida State,ACC (Atlantic),12,2,.857,7,1,.875,39.3,14.7,13.56,-0.66,7,3,10,
2,Clemson,ACC (Atlantic),11,2,.846,7,1,.875,41.0,24.8,14.75,1.14,14,10,11,
3,North Carolina State,ACC (Atlantic),7,6,.538,4,4,.500,28.1,25.6,1.46,-0.77,,,,
4,Wake Forest,ACC (Atlantic),5,7,.417,3,5,.375,18.5,31.8,-6.20,1.05,,,,
5,Maryland,ACC (Atlantic),4,8,.333,2,6,.250,20.1,27.2,-6.59,-0.26,,,,
6,Boston College,ACC (Atlantic),2,10,.167,1,7,.125,19.8,29.7,-6.74,2.01,,,,
7,North Carolina,ACC (Coastal),8,4,.667,5,3,.625,40.6,25.7,4.52,-2.98,,,,
8,Georgia Tech,ACC (Coastal),7,7,.500,5,3,.625,33.6,28.3,5.18,2.89,,,,
9,Miami (FL),ACC (Coastal),7,5,.583,5,3,.625,31.4,30.5,4.07,2.32,,,,
10,Virginia Tech,ACC (Coastal),7,6,.538,4,4,.500,25.1,22.8,3.13,2.21,16,13,,
11,Duke,ACC (Coastal),6,7,.462,3,5,.375,31.5,36.0,-0.28,1.72,,,,
12,Virginia,ACC (Coastal),4,8,.333,2,6,.250,22.8,28.9,-3.84,0.99,,,,
13,Kansas State,Big 12,11,2,.846,8,1,.889,38.8,22.2,16.92,5.30,22,2,12,
14,Oklahoma,Big 12,10,3,.769,8,1,.889,38.2,25.5,14.32,6.17,4,4,15,
15,Oklahoma State,Big 12,8,5,.615,5,4,.556,45.7,28.2,13.50,4.96,19,18,,
16,Texas,Big 12,9,4,.692,5,4,.556,35.7,29.2,11.18,5.57,15,11,19,
17,Baylor,Big 12,8,5,.615,4,5,.444,44.5,37.2,11.22,5.07,,25,,
18,Texas Tech,Big 12,8,5,.615,4,5,.444,37.5,31.8,6.33,3.02,,15,,
19,Texas Christian,Big 12,7,6,.538,4,5,.444,28.3,22.6,7.49,4.87,20,15,,
20,West Virginia,Big 12,7,6,.538,4,5,.444,39.5,38.1,4.03,4.34,11,5,,
21,Iowa State,Big 12,6,7,.462,3,6,.333,24.5,23.9,5.40,5.48,,,,
22,Kansas,Big 12,1,11,.083,0,9,.000,18.3,36.1,-6.70,6.22,,,,
23,Louisville,Big East,11,2,.846,5,2,.714,31.2,23.8,5.88,-1.96,25,11,13,
24,Cincinnati,Big East,10,3,.769,5,2,.714,32.3,18.5,8.71,-3.37,,21,,
25,Rutgers,Big East,9,4,.692,5,2,.714,21.5,14.2,3.91,-2.55,,18,,
26,Syracuse,Big East,8,5,.615,5,2,.714,30.0,24.8,6.27,0.81,,,,
27,Pitt,Big East,6,7,.462,3,4,.429,26.6,21.1,2.05,-0.64,,,,
28,Connecticut,Big East,5,7,.417,2,5,.286,17.8,19.8,-5.35,-2.60,,,,
29,Temple,Big East,4,7,.364,2,5,.286,24.7,31.2,-7.52,-1.15,,,,
30,South Florida,Big East,3,9,.250,1,6,.143,20.6,27.4,-6.13,0.79,,,,
31,Wisconsin,Big Ten (Leaders),8,6,.571,4,4,.500,29.6,19.1,9.77,2.91,12,12,,
32,Ohio State,Big Ten (Leaders),12,0,1.000,8,0,1.000,37.2,22.8,13.81,0.89,18,3,3,
33,Penn State,Big Ten (Leaders),8,4,.667,6,2,.750,29.1,19.1,9.70,0.53,,,,
34,Purdue,Big Ten (Leaders),6,7,.462,3,5,.375,28.7,31.2,-1.58,0.96,,,,
35,Indiana,Big Ten (Leaders),4,8,.333,2,6,.250,30.8,35.3,-5.53,-0.61,,,,
36,Illinois,Big Ten (Leaders),2,10,.167,0,8,.000,16.7,32.1,-10.35,2.56,,,,
37,Nebraska,Big Ten (Legends),10,4,.714,7,1,.875,34.8,27.6,9.79,4.22,17,14,25,
38,Michigan,Big Ten (Legends),8,5,.615,6,2,.750,29.8,19.8,10.01,3.85,8,8,24,
39,Northwestern,Big Ten (Legends),10,3,.769,5,3,.625,31.7,22.5,8.97,0.97,,17,17,
40,Michigan State,Big Ten (Legends),7,6,.538,3,5,.375,20.0,16.3,6.21,3.75,13,10,,
41,Minnesota,Big Ten (Legends),6,7,.462,2,6,.250,22.1,24.7,-3.25,0.13,,,,
42,Iowa,Big Ten (Legends),4,8,.333,2,6,.250,19.3,22.9,-2.62,1.63,,,,
43,UCF,CUSA (East),10,4,.714,7,1,.875,35.4,22.1,6.65,-3.78,,,,
44,East Carolina,CUSA (East),8,5,.615,7,1,.875,31.5,31.6,-4.23,-4.92,,,,
45,Marshall,CUSA (East),5,7,.417,4,4,.500,40.9,43.1,-6.04,-4.87,,,,
46,Memphis,CUSA (East),4,8,.333,4,4,.500,24.4,30.3,-11.09,-5.34,,,,
47,UAB,CUSA (East),3,9,.250,2,6,.250,28.3,37.5,-11.66,-3.07,,,,
48,Southern Mississippi,CUSA (East),0,12,.000,0,8,.000,19.7,37.8,-18.04,-1.29,,,,
49,Tulsa,CUSA (West),11,3,.786,7,1,.875,34.7,23.6,6.24,-2.34,,,,
50,SMU,CUSA (West),7,6,.538,5,3,.625,31.0,25.7,1.64,-1.59,,,,
51,Rice,CUSA (West),7,6,.538,4,4,.500,31.8,30.5,-3.52,-4.83,,,,
52,Houston,CUSA (West),5,7,.417,4,4,.500,32.4,36.0,-5.54,-3.54,,,,
53,UTEP,CUSA (West),3,9,.250,2,6,.250,21.2,29.8,-9.29,-1.46,,,,
54,Tulane,CUSA (West),2,10,.167,2,6,.250,21.4,38.4,-14.23,-1.81,,,,
55,Notre Dame,Ind,12,1,.923,0,0,,25.8,12.8,16.98,6.14,,1,4,record adjusted to 0-1-0 by NCAA
56,Brigham Young,Ind,8,5,.615,0,0,,28.7,14.0,8.77,-0.61,,25,,
57,Navy,Ind,8,5,.615,0,0,,25.0,25.7,-1.76,-2.61,,,,
58,Army,Ind,2,10,.167,0,0,,24.3,35.3,-14.23,-4.23,,,,
59,Kent State,MAC (East),11,3,.786,8,0,1.000,33.1,24.5,2.75,-6.39,,18,,
60,Bowling Green State,MAC (East),8,5,.615,6,2,.750,22.9,16.8,-0.27,-6.11,,,,
61,Ohio,MAC (East),9,4,.692,4,4,.500,31.7,24.8,-2.75,-8.06,,23,,
62,Buffalo,MAC (East),4,8,.333,3,5,.375,21.3,28.5,-8.78,-3.36,,,,
63,Miami (OH),MAC (East),4,8,.333,3,5,.375,23.3,34.9,-11.70,-3.45,,,,
64,Massachusetts,MAC (East),1,11,.083,1,7,.125,12.7,40.2,-20.97,-3.55,,,,
65,Akron,MAC (East),1,11,.083,0,8,.000,26.1,35.7,-15.31,-4.31,,,,
66,Northern Illinois,MAC (West),12,2,.857,8,0,1.000,38.6,19.9,4.64,-7.50,,16,22,
67,Ball State,MAC (West),9,4,.692,6,2,.750,33.6,32.0,-1.60,-3.52,,,,
68,Toledo,MAC (West),9,4,.692,6,2,.750,31.5,28.4,-0.18,-4.18,,23,,
69,Central Michigan,MAC (West),7,6,.538,4,4,.500,28.8,32.4,-7.91,-6.76,,,,
70,Western Michigan,MAC (West),4,8,.333,2,6,.250,29.3,29.7,-9.54,-7.04,,,,
71,Eastern Michigan,MAC (West),2,10,.167,1,7,.125,21.3,37.6,-16.61,-3.45,,,,
72,Boise State,MWC,11,2,.846,7,1,.875,30.2,15.8,7.85,-5.08,24,18,18,
73,Fresno State,MWC,9,4,.692,7,1,.875,37.9,23.8,6.33,-3.51,,,,
74,San Diego State,MWC,9,4,.692,7,1,.875,32.8,24.4,2.69,-4.46,,,,
75,Air Force,MWC,6,7,.462,5,3,.625,27.4,29.0,-7.35,-6.35,,,,
76,Nevada,MWC,7,6,.538,4,4,.500,37.8,33.8,-3.60,-4.76,,,,
77,Colorado State,MWC,4,8,.333,3,5,.375,21.2,30.3,-12.54,-4.21,,,,
78,Wyoming,MWC,4,8,.333,3,5,.375,26.8,33.4,-10.78,-4.53,,,,
79,Nevada-Las Vegas,MWC,2,11,.154,2,6,.250,22.0,32.6,-14.57,-4.42,,,,
80,New Mexico,MWC,4,9,.308,1,7,.125,25.8,30.2,-9.91,-5.76,,,,
81,Hawaii,MWC,3,9,.250,1,7,.125,21.2,35.7,-13.75,-3.66,,,,
82,Stanford,Pac-12 (North),12,2,.857,8,1,.889,27.9,17.2,15.58,6.58,21,7,7,
83,Oregon,Pac-12 (North),12,1,.923,8,1,.889,49.6,21.6,23.43,4.05,5,1,2,
84,Oregon State,Pac-12 (North),9,4,.692,6,3,.667,32.5,20.6,12.14,6.06,,7,20,
85,Washington,Pac-12 (North),7,6,.538,5,4,.556,24.0,24.2,4.90,4.75,,23,,
86,California,Pac-12 (North),3,9,.250,2,7,.222,23.0,33.1,-0.65,6.10,,,,
