Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
87,2,Sep 10 2005,Sat,Kansas,36,,Appalachian State,8,
88,2,Sep 10 2005,Sat,Kansas State,21,@,Marshall,19,
89,2,Sep 10 2005,Sat,Kent State,33,,Southeast Missouri State,12,
90,2,Sep 10 2005,Sat,Kentucky,41,,Idaho State,29,
91,2,Sep 10 2005,Sat,(5) Louisiana State,35,@,(15) Arizona State,31,
92,2,Sep 10 2005,Sat,Michigan State,42,,Hawaii,14,
93,2,Sep 10 2005,Sat,Minnesota,56,,Colorado State,24,
94,2,Sep 10 2005,Sat,Nebraska,31,,Wake Forest,3,
95,2,Sep 10 2005,Sat,Nevada-Las Vegas,34,,Idaho,31,
96,2,Sep 10 2005,Sat,New Mexico,45,@,Missouri,35,
97,2,Sep 10 2005,Sat,North Texas,14,@,Middle Tennessee State,7,
98,2,Sep 10 2005,Sat,Northwestern,38,,Northern Illinois,37,
99,2,Sep 10 2005,Sat,(20) Notre Dame,17,@,(3) Michigan,10,
100,2,Sep 10 2005,Sat,(18) Oklahoma,31,,Tulsa,15,
101,2,Sep 10 2005,Sat,Oregon,47,,Montana,14,
102,2,Sep 10 2005,Sat,Oregon State,30,,Boise State,27,
103,2,Sep 10 2005,Sat,Penn State,42,,Cincinnati,24,
104,2,Sep 10 2005,Sat,(13) Purdue,49,,Akron,24,
105,2,Sep 10 2005,Sat,Rutgers,38,,Villanova,6,
106,2,Sep 10 2005,Sat,South Florida,37,,Florida A&M,3,
107,2,Sep 10 2005,Sat,Southern Methodist,21,,(22) Texas Christian,10,
108,2,Sep 10 2005,Sat,Stanford,41,@,Navy,38,
109,2,Sep 10 2005,Sat,Syracuse,31,,Buffalo,0,
110,2,Sep 10 2005,Sat,(2) Texas,25,@,(4) Ohio State,22,
111,2,Sep 10 2005,Sat,(21) Texas Tech,56,,Florida International,3,
112,2,Sep 10 2005,Sat,Toledo,56,,Western Michigan,23,
113,2,Sep 10 2005,Sat,UCLA,63,,Rice,21,
114,2,Sep 10 2005,Sat,Utah,31,,Utah State,7,
115,2,Sep 10 2005,Sat,Vanderbilt,28,@,Arkansas,24,
116,2,Sep 10 2005,Sat,(7) Virginia Tech,45,@,Duke,0,
117,2,Sep 10 2005,Sat,West Virginia,35,,Wofford,7,
118,2,Sep 10 2005,Sat,Wisconsin,65,,Temple,0,
119,2,Sep 10 2005,Sat,Wyoming,38,,Louisiana-Monroe,0,
120,3,Sep 15 2005,Thu,Texas Christian,23,,Utah,20,
121,3,Sep 16 2005,Fri,Texas-El Paso,44,,Houston,41,
122,3,Sep 17 2005,Sat,Akron,17,@,Middle Tennessee State,7,
123,3,Sep 17 2005,Sat,Alabama,37,@,South Carolina,14,
124,3,Sep 17 2005,Sat,Alabama-Birmingham,35,,Jacksonville State,28,
125,3,Sep 17 2005,Sat,(18) Arizona State,52,,Northwestern,21,
126,3,Sep 17 2005,Sat,Auburn,63,,Ball State,3,
127,3,Sep 17 2005,Sat,Baylor,20,@,Army,10,
128,3,Sep 17 2005,Sat,(15) California,35,,Illinois,20,
129,3,Sep 17 2005,Sat,California-Davis,20,@,Stanford,17,
130,3,Sep 17 2005,Sat,Cincinnati,7,,Western Carolina,3,
131,3,Sep 17 2005,Sat,Duke,40,,Virginia Military Institute,14,
132,3,Sep 17 2005,Sat,(6) Florida,16,,(5) Tennessee,7,
133,3,Sep 17 2005,Sat,(8) Florida State,28,@,(17) Boston College,17,
134,3,Sep 17 2005,Sat,(7) Georgia,44,,Louisiana-Monroe,7,
135,3,Sep 17 2005,Sat,(16) Georgia Tech,28,,Connecticut,13,
136,3,Sep 17 2005,Sat,Indiana,38,,Kentucky,14,
137,3,Sep 17 2005,Sat,(22) Iowa,45,,Northern Iowa,21,
138,3,Sep 17 2005,Sat,Kansas,34,,Louisiana Tech,14,
139,3,Sep 17 2005,Sat,Louisiana,49,,Northwestern State,28,
140,3,Sep 17 2005,Sat,(11) Louisville,63,,Oregon State,27,
141,3,Sep 17 2005,Sat,Memphis,59,,Chattanooga,14,
142,3,Sep 17 2005,Sat,(13) Miami (FL),36,@,(20) Clemson,30,
143,3,Sep 17 2005,Sat,Miami (OH),27,@,Kent State,10,
144,3,Sep 17 2005,Sat,(14) Michigan,55,,Eastern Michigan,0,
145,3,Sep 17 2005,Sat,Michigan State,44,@,(10) Notre Dame,41,
146,3,Sep 17 2005,Sat,Minnesota,46,,Florida Atlantic,7,
147,3,Sep 17 2005,Sat,Mississippi State,21,,Tulane,14,
148,3,Sep 17 2005,Sat,Missouri,52,,Troy,21,
149,3,Sep 17 2005,Sat,Nebraska,7,,Pittsburgh,6,
150,3,Sep 17 2005,Sat,Nevada,22,,Nevada-Las Vegas,14,
151,3,Sep 17 2005,Sat,New Mexico,38,,New Mexico State,21,
152,3,Sep 17 2005,Sat,North Carolina State,54,,Eastern Kentucky,10,
153,3,Sep 17 2005,Sat,Northern Illinois,42,,Tennessee Tech,3,
154,3,Sep 17 2005,Sat,(9) Ohio State,27,,San Diego State,6,
155,3,Sep 17 2005,Sat,Oklahoma State,20,,Arkansas State,10,
156,3,Sep 17 2005,Sat,Oregon,37,,(23) Fresno State,34,
157,3,Sep 17 2005,Sat,Penn State,40,,Central Michigan,3,
158,3,Sep 17 2005,Sat,(12) Purdue,31,@,Arizona,24,
159,3,Sep 17 2005,Sat,Rutgers,17,@,Buffalo,3,
160,3,Sep 17 2005,Sat,South Florida,31,,Central Florida,14,
161,3,Sep 17 2005,Sat,(1) Southern California,70,,Arkansas,17,
162,3,Sep 17 2005,Sat,Southern Mississippi,48,,McNeese State,20,
163,3,Sep 17 2005,Sat,(2) Texas,51,,Rice,10,
164,3,Sep 17 2005,Sat,Texas A&M,66,,Southern Methodist,8,
165,3,Sep 17 2005,Sat,(19) Texas Tech,80,,Sam Houston State,21,
166,3,Sep 17 2005,Sat,Toledo,42,@,Temple,17,
167,3,Sep 17 2005,Sat,Tulsa,54,@,North Texas,2,
168,3,Sep 17 2005,Sat,UCLA,41,,(21) Oklahoma,24,
169,3,Sep 17 2005,Sat,Vanderbilt,31,,Mississippi,23,
170,3,Sep 17 2005,Sat,(25) Virginia,27,@,Syracuse,24,
171,3,Sep 17 2005,Sat,(4) Virginia Tech,45,,Ohio,0,
172,3,Sep 17 2005,Sat,Wake Forest,44,,East Carolina,34,
173,3,Sep 17 2005,Sat,Washington,34,,Idaho,6,
174,3,Sep 17 2005,Sat,Washington State,48,,Grambling State,7,
175,3,Sep 17 2005,Sat,West Virginia,31,@,Maryland,19,
176,3,Sep 17 2005,Sat,Western Michigan,34,,Southern Illinois,28,
177,3,Sep 17 2005,Sat,Wisconsin,14,@,North Carolina,5,
178,3,Sep 17 2005,Sat,Wyoming,29,@,Air Force,28,
179,4,Sep 21 2005,Wed,Boise State,48,,Bowling Green State,20,
180,4,Sep 22 2005,Thu,Louisiana-Monroe,28,@,Florida Atlantic,21,
181,4,Sep 22 2005,Thu,Texas A&M,44,,Texas State,31,
182,4,Sep 22 2005,Thu,Utah,38,,Air Force,35,
183,4,Sep 23 2005,Fri,(13) California,41,@,New Mexico State,13,
184,4,Sep 23 2005,Fri,(22) Iowa State,28,@,Army,21,
185,4,Sep 24 2005,Sat,Akron,48,,Northern Illinois,42,
186,4,Sep 24 2005,Sat,(20) Alabama,24,,Arkansas,13,
187,4,Sep 24 2005,Sat,(18) Arizona State,42,@,Oregon State,24,
188,4,Sep 24 2005,Sat,Arkansas State,66,,Florida International,24,
