Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 30 2007,Thu,(24) Boise State,56,,Weber State,7,
2,1,Aug 30 2007,Thu,Cincinnati,59,,Southeast Missouri State,3,
3,1,Aug 30 2007,Thu,Kent State,23,@,Iowa State,14,
4,1,Aug 30 2007,Thu,(2) Louisiana State,45,@,Mississippi State,0,
5,1,Aug 30 2007,Thu,(10) Louisville,73,,Murray State,10,
6,1,Aug 30 2007,Thu,Miami (OH),14,@,Ball State,13,
7,1,Aug 30 2007,Thu,Nevada-Las Vegas,23,@,Utah State,16,
8,1,Aug 30 2007,Thu,New Mexico State,35,,Southeastern Louisiana,14,
9,1,Aug 30 2007,Thu,Oregon State,24,,Utah,7,
10,1,Aug 30 2007,Thu,(16) Rutgers,38,,Buffalo,3,
11,1,Aug 30 2007,Thu,Tulsa,35,@,Louisiana-Monroe,17,
12,1,Aug 31 2007,Fri,Navy,30,@,Temple,19,
13,1,Aug 31 2007,Fri,Washington,42,@,Syracuse,12,
14,1,Sep 1 2007,Sat,Air Force,34,,South Carolina State,3,
15,1,Sep 1 2007,Sat,Akron,22,,Army,14,
16,1,Sep 1 2007,Sat,Alabama,52,,Western Carolina,6,
17,1,Sep 1 2007,Sat,Appalachian State,34,@,(5) Michigan,32,
18,1,Sep 1 2007,Sat,Arizona State,45,,San Jose State,3,
19,1,Sep 1 2007,Sat,(21) Arkansas,46,,Troy,26,
20,1,Sep 1 2007,Sat,(18) Auburn,23,,Kansas State,13,
21,1,Sep 1 2007,Sat,Boston College,38,,Wake Forest,28,
22,1,Sep 1 2007,Sat,Bowling Green State,32,@,Minnesota,31,
23,1,Sep 1 2007,Sat,Brigham Young,20,,Arizona,7,
24,1,Sep 1 2007,Sat,(12) California,45,,(15) Tennessee,31,
25,1,Sep 1 2007,Sat,Central Florida,25,@,North Carolina State,23,
26,1,Sep 1 2007,Sat,Colorado,31,,Colorado State,28,
27,1,Sep 1 2007,Sat,Connecticut,45,@,Duke,14,
28,1,Sep 1 2007,Sat,(6) Florida,49,,Western Kentucky,3,
29,1,Sep 1 2007,Sat,Florida Atlantic,27,,Middle Tennessee State,14,
30,1,Sep 1 2007,Sat,Fresno State,24,,Sacramento State,3,
31,1,Sep 1 2007,Sat,(13) Georgia,35,,Oklahoma State,14,
32,1,Sep 1 2007,Sat,Georgia Tech,33,@,Notre Dame,3,
33,1,Sep 1 2007,Sat,(23) Hawaii,63,,Northern Colorado,6,
34,1,Sep 1 2007,Sat,Indiana,55,,Indiana State,7,
35,1,Sep 1 2007,Sat,Iowa,16,@,Northern Illinois,3,
36,1,Sep 1 2007,Sat,Kansas,52,,Central Michigan,7,
37,1,Sep 1 2007,Sat,Kentucky,50,,Eastern Kentucky,10,
