Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 26 2000,Sat,(2) Florida State,29,,Brigham Young,3,
2,1,Aug 26 2000,Sat,(8) Kansas State,27,,Iowa,7,
3,1,Aug 26 2000,Sat,Louisiana Tech,63,,Mississippi Valley State,10,
4,1,Aug 26 2000,Sat,Texas Tech,24,,New Mexico,3,
5,1,Aug 27 2000,Sun,(15) Southern California,29,,(22) Penn State,5,
6,2,Aug 31 2000,Thu,Appalachian State,20,@,Wake Forest,16,
7,2,Aug 31 2000,Thu,Arizona State,10,@,San Diego State,7,
8,2,Aug 31 2000,Thu,Auburn,35,,Wyoming,21,
9,2,Aug 31 2000,Thu,Baylor,20,@,North Texas,7,
10,2,Aug 31 2000,Thu,Marshall,63,,Southeast Missouri State,7,
11,2,Aug 31 2000,Thu,(5) Miami (FL),61,,McNeese State,14,
12,2,Aug 31 2000,Thu,Northwestern,35,,Northern Illinois,17,
13,2,Aug 31 2000,Thu,(4) Wisconsin,19,,Western Michigan,7,
14,2,Sep 2 2000,Sat,Air Force,55,,Cal State Northridge,6,
15,2,Sep 2 2000,Sat,Arizona,17,@,Utah,3,
16,2,Sep 2 2000,Sat,Arkansas,38,,Missouri State,0,
17,2,Sep 2 2000,Sat,Boise State,31,@,New Mexico,14,
18,2,Sep 2 2000,Sat,Brigham Young,38,@,Virginia,35,
19,2,Sep 2 2000,Sat,(17) Clemson,38,,Citadel,0,
20,2,Sep 2 2000,Sat,Colorado State,28,,(23) Colorado,24,
21,2,Sep 2 2000,Sat,East Carolina,38,@,Duke,0,
22,2,Sep 2 2000,Sat,Eastern Michigan,32,,Connecticut,25,
23,2,Sep 2 2000,Sat,(9) Florida,40,,Ball State,19,
24,2,Sep 2 2000,Sat,(10) Georgia,29,,Georgia Southern,7,
25,2,Sep 2 2000,Sat,Georgia Tech,21,,Central Florida,17,
26,2,Sep 2 2000,Sat,(21) Illinois,35,,Middle Tennessee State,6,
27,2,Sep 2 2000,Sat,Iowa State,25,,Ohio,15,
28,2,Sep 2 2000,Sat,(8) Kansas State,54,,Louisiana Tech,10,
29,2,Sep 2 2000,Sat,Louisiana State,58,,Western Carolina,0,
30,2,Sep 2 2000,Sat,Louisville,40,,Kentucky,34,
31,2,Sep 2 2000,Sat,Miami (OH),33,@,Vanderbilt,30,
32,2,Sep 2 2000,Sat,(6) Michigan,42,,Bowling Green State,7,
33,2,Sep 2 2000,Sat,Minnesota,47,,Louisiana-Monroe,10,
34,2,Sep 2 2000,Sat,(18) Mississippi,49,,Tulane,20,
35,2,Sep 2 2000,Sat,Mississippi State,17,@,Memphis,3,
36,2,Sep 2 2000,Sat,Missouri,50,,Western Illinois,20,
37,2,Sep 2 2000,Sat,(1) Nebraska,49,,San Jose State,13,
38,2,Sep 2 2000,Sat,North Carolina,30,,Tulsa,9,
39,2,Sep 2 2000,Sat,North Carolina State,38,,Arkansas State,31,
40,2,Sep 2 2000,Sat,Notre Dame,24,,(25) Texas A&M,10,
41,2,Sep 2 2000,Sat,(16) Ohio State,43,,Fresno State,10,
42,2,Sep 2 2000,Sat,(19) Oklahoma,55,,Texas-El Paso,14,
43,2,Sep 2 2000,Sat,Oregon,36,,Nevada,7,
44,2,Sep 2 2000,Sat,Oregon State,21,,Eastern Washington,19,
45,2,Sep 2 2000,Sat,Pittsburgh,30,,Kent State,7,
46,2,Sep 2 2000,Sat,(15) Purdue,48,,Central Michigan,0,
47,2,Sep 2 2000,Sat,Rice,30,,Houston,27,
48,2,Sep 2 2000,Sat,Rutgers,34,,Villanova,21,
49,2,Sep 2 2000,Sat,Sam Houston State,21,@,Louisiana,14,
50,2,Sep 2 2000,Sat,South Carolina,31,,New Mexico State,0,
51,2,Sep 2 2000,Sat,South Florida,40,,Jacksonville State,0,
52,2,Sep 2 2000,Sat,Southern Methodist,31,,Kansas,17,
53,2,Sep 2 2000,Sat,Stanford,24,@,Washington State,10,
54,2,Sep 2 2000,Sat,Syracuse,63,,Buffalo,7,
55,2,Sep 2 2000,Sat,Temple,17,@,Navy,6,
56,2,Sep 2 2000,Sat,(13) Tennessee,19,,(22) Southern Mississippi,16,
57,2,Sep 2 2000,Sat,Texas Tech,38,,Utah State,16,
58,2,Sep 2 2000,Sat,Toledo,24,@,Penn State,6,
59,2,Sep 2 2000,Sat,UCLA,35,,(3) Alabama,24,
60,2,Sep 2 2000,Sat,(11) Virginia Tech,52,,Akron,23,
61,2,Sep 2 2000,Sat,(14) Washington,44,,Idaho,20,
62,2,Sep 2 2000,Sat,West Virginia,34,,Boston College,14,
63,2,Sep 4 2000,Mon,Cincinnati,23,,Army,17,
64,3,Sep 7 2000,Thu,Alabama-Birmingham,20,,Chattanooga,15,
65,3,Sep 7 2000,Thu,(10) Virginia Tech,45,@,East Carolina,28,
66,3,Sep 9 2000,Sat,Air Force,31,,Brigham Young,23,
67,3,Sep 9 2000,Sat,(13) Alabama,28,,Vanderbilt,10,
68,3,Sep 9 2000,Sat,Auburn,35,@,(19) Mississippi,27,
69,3,Sep 9 2000,Sat,Boise State,42,,Northern Iowa,17,
70,3,Sep 9 2000,Sat,Boston College,55,@,Army,17,
71,3,Sep 9 2000,Sat,California,24,,Utah,21,
72,3,Sep 9 2000,Sat,Central Florida,19,,Northwestern State,7,
73,3,Sep 9 2000,Sat,Central Michigan,17,,Akron,7,
74,3,Sep 9 2000,Sat,Cincinnati,12,,Syracuse,10,
75,3,Sep 9 2000,Sat,(17) Clemson,62,,Missouri,9,
76,3,Sep 9 2000,Sat,Colorado State,41,,East Tennessee State,7,
77,3,Sep 9 2000,Sat,Connecticut,37,,Colgate,7,
78,3,Sep 9 2000,Sat,(8) Florida,55,,Middle Tennessee State,0,
79,3,Sep 9 2000,Sat,(2) Florida State,26,@,Georgia Tech,21,
80,3,Sep 9 2000,Sat,(21) Illinois,49,@,San Diego State,13,
81,3,Sep 9 2000,Sat,Iowa State,37,,Nevada-Las Vegas,22,
82,3,Sep 9 2000,Sat,Kentucky,27,,South Florida,9,
83,3,Sep 9 2000,Sat,Louisiana State,28,,Houston,13,
84,3,Sep 9 2000,Sat,Louisville,52,,Grambling State,0,
85,3,Sep 9 2000,Sat,Maryland,17,,Temple,10,
86,3,Sep 9 2000,Sat,Memphis,28,,Louisiana-Monroe,0,
87,3,Sep 9 2000,Sat,Miami (OH),34,@,Eastern Michigan,17,
88,3,Sep 9 2000,Sat,(3) Michigan,38,,Rice,7,
89,3,Sep 9 2000,Sat,(24) Michigan State,34,,Marshall,24,
90,3,Sep 9 2000,Sat,Montana,45,@,Idaho,38,
91,3,Sep 9 2000,Sat,(1) Nebraska,27,@,(23) Notre Dame,24,
92,3,Sep 9 2000,Sat,North Carolina,35,@,Wake Forest,14,
93,3,Sep 9 2000,Sat,North Carolina State,41,@,Indiana,38,
94,3,Sep 9 2000,Sat,Northern Illinois,52,,Illinois State,0,
95,3,Sep 9 2000,Sat,Northwestern,38,,Duke,5,
96,3,Sep 9 2000,Sat,Ohio,23,@,Minnesota,17,
97,3,Sep 9 2000,Sat,(18) Ohio State,27,@,Arizona,17,
98,3,Sep 9 2000,Sat,(20) Oklahoma,45,,Arkansas State,7,
99,3,Sep 9 2000,Sat,Oklahoma State,36,@,Tulsa,26,
100,3,Sep 9 2000,Sat,Oregon State,28,@,New Mexico,20,
101,3,Sep 9 2000,Sat,Penn State,67,,Louisiana Tech,7,
102,3,Sep 9 2000,Sat,Pittsburgh,34,@,Bowling Green State,16,
103,3,Sep 9 2000,Sat,Portland State,45,@,Hawaii,20,
104,3,Sep 9 2000,Sat,(14) Purdue,45,,Kent State,10,
105,3,Sep 9 2000,Sat,Rutgers,59,,Buffalo,0,
106,3,Sep 9 2000,Sat,San Jose State,40,@,Stanford,27,
107,3,Sep 9 2000,Sat,South Carolina,21,,(9) Georgia,10,
108,3,Sep 9 2000,Sat,(11) Southern California,17,,Colorado,14,
109,3,Sep 9 2000,Sat,(6) Texas,52,,Louisiana,10,
110,3,Sep 9 2000,Sat,Texas A&M,51,,Wyoming,3,
111,3,Sep 9 2000,Sat,(22) Texas Christian,41,@,Nevada,10,
112,3,Sep 9 2000,Sat,Texas Tech,13,,North Texas,7,
113,3,Sep 9 2000,Sat,Texas-El Paso,37,,Southern Methodist,20,
114,3,Sep 9 2000,Sat,Toledo,51,,Weber State,0,
115,3,Sep 9 2000,Sat,(16) UCLA,24,,Fresno State,21,
116,3,Sep 9 2000,Sat,Utah State,30,,Southern Utah,14,
117,3,Sep 9 2000,Sat,Virginia,34,,Richmond,6,
118,3,Sep 9 2000,Sat,(15) Washington,34,,(4) Miami (FL),29,
119,3,Sep 9 2000,Sat,Western Illinois,24,@,Ball State,14,
120,3,Sep 9 2000,Sat,Western Michigan,27,@,Iowa,21,
121,3,Sep 9 2000,Sat,(5) Wisconsin,27,,Oregon,23,
122,4,Sep 14 2000,Thu,Mississippi State,44,@,Brigham Young,28,
123,4,Sep 16 2000,Sat,Akron,35,,Central Florida,24,
124,4,Sep 16 2000,Sat,Arizona,17,,San Diego State,3,
125,4,Sep 16 2000,Sat,Arizona State,13,,Colorado State,10,
126,4,Sep 16 2000,Sat,Arkansas,38,,Boise State,31,
127,4,Sep 16 2000,Sat,(24) Auburn,34,,Louisiana State,17,
128,4,Sep 16 2000,Sat,(16) Clemson,55,,Wake Forest,7,
129,4,Sep 16 2000,Sat,Connecticut,24,@,Buffalo,21,
130,4,Sep 16 2000,Sat,East Carolina,37,,Tulane,17,
131,4,Sep 16 2000,Sat,(6) Florida,27,@,(11) Tennessee,23,
132,4,Sep 16 2000,Sat,(2) Florida State,63,,North Carolina,14,
133,4,Sep 16 2000,Sat,Georgia Tech,40,,Navy,13,
134,4,Sep 16 2000,Sat,Houston,31,,Army,30,
135,4,Sep 16 2000,Sat,(19) Illinois,17,,California,15,
136,4,Sep 16 2000,Sat,Iowa State,24,@,Iowa,14,
137,4,Sep 16 2000,Sat,Kansas,23,,Alabama-Birmingham,20,
138,4,Sep 16 2000,Sat,(7) Kansas State,76,,Ball State,0,
139,4,Sep 16 2000,Sat,Kentucky,41,,Indiana,34,
140,4,Sep 16 2000,Sat,Louisiana-Monroe,27,,Nicholls State,21,
141,4,Sep 16 2000,Sat,Memphis,19,@,Arkansas State,17,
142,4,Sep 16 2000,Sat,(22) Michigan State,13,@,Missouri,10,
143,4,Sep 16 2000,Sat,Middle Tennessee State,44,,Murray State,28,
144,4,Sep 16 2000,Sat,Minnesota,34,@,Baylor,9,
