,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Boston College,ACC (Atlantic),11,3,.786,6,2,.750,28.3,20.4,9.75,1.54,,2,10,
2,Clemson,ACC (Atlantic),9,4,.692,5,3,.625,33.1,18.7,11.40,1.71,,13,21,
3,Wake Forest,ACC (Atlantic),9,4,.692,5,3,.625,27.8,22.2,7.07,1.22,,21,,
4,Florida State,ACC (Atlantic),7,6,.538,4,4,.500,23.3,22.9,5.02,4.33,19,19,,record adjusted to 0-6-0 by NCAA
5,Maryland,ACC (Atlantic),6,7,.462,3,5,.375,24.1,21.5,4.31,3.15,,,,
6,North Carolina State,ACC (Atlantic),5,7,.417,3,5,.375,20.8,28.3,-3.13,2.96,,,,
7,Virginia Tech,ACC (Coastal),11,3,.786,7,1,.875,28.7,16.1,14.22,2.86,9,5,9,
8,Virginia,ACC (Coastal),9,4,.692,6,2,.750,24.4,19.7,5.89,1.66,,16,,
9,Georgia Tech,ACC (Coastal),7,6,.538,4,4,.500,26.2,20.8,3.94,1.24,,15,,
10,North Carolina,ACC (Coastal),4,8,.333,3,5,.375,21.2,24.5,-1.82,2.02,,,,
11,Miami (FL),ACC (Coastal),5,7,.417,2,6,.250,20.6,26.0,-1.23,1.60,,,,
12,Duke,ACC (Coastal),1,11,.083,0,8,.000,17.9,33.2,-10.34,3.33,,,,
13,Kansas,Big 12 (North),12,1,.923,7,1,.875,42.8,16.4,14.45,-1.24,,2,7,
14,Missouri,Big 12 (North),12,2,.857,7,1,.875,39.9,23.3,16.77,3.70,,1,4,
15,Colorado,Big 12 (North),6,7,.462,4,4,.500,27.3,29.5,2.65,4.11,,,,
16,Kansas State,Big 12 (North),5,7,.417,3,5,.375,35.2,30.8,3.63,1.97,,24,,
17,Nebraska,Big 12 (North),5,7,.417,2,6,.250,33.4,37.9,1.48,5.89,20,14,,
18,Iowa State,Big 12 (North),3,9,.250,2,6,.250,18.2,31.8,-7.21,2.45,,,,
19,Oklahoma,Big 12 (South),11,3,.786,6,2,.750,42.3,20.3,15.87,2.87,8,3,8,
20,Texas,Big 12 (South),10,3,.769,5,3,.625,37.2,25.3,10.99,1.91,4,4,10,
21,Texas Tech,Big 12 (South),9,4,.692,4,4,.500,40.9,25.9,8.28,-0.80,,22,22,
22,Oklahoma State,Big 12 (South),7,6,.538,4,4,.500,34.6,29.5,6.67,4.06,,,,
23,Texas A&M,Big 12 (South),7,6,.538,4,4,.500,27.9,25.9,5.56,3.87,25,20,,
24,Baylor,Big 12 (South),3,9,.250,0,8,.000,18.2,37.0,-11.15,2.60,,,,
25,West Virginia,Big East,11,2,.846,5,2,.714,39.6,18.1,19.09,3.40,3,2,6,
26,Connecticut,Big East,9,4,.692,5,2,.714,26.5,19.0,7.07,0.45,,16,,
27,Cincinnati,Big East,10,3,.769,4,3,.571,36.3,18.8,13.40,0.48,,15,17,
28,South Florida,Big East,9,4,.692,4,3,.571,34.7,23.4,12.37,4.37,,2,,
29,Rutgers,Big East,8,5,.615,3,4,.429,32.8,22.5,6.75,0.44,16,10,,
30,Louisville,Big East,6,6,.500,3,4,.429,35.2,31.4,5.02,3.44,10,8,,
31,Pitt,Big East,5,7,.417,3,4,.429,22.8,24.3,1.64,2.81,,,,
32,Syracuse,Big East,2,10,.167,1,6,.143,16.4,34.8,-10.72,4.62,,,,
