,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Clemson,ACC (Atlantic),9,5,.643,6,2,.750,31.1,20.4,11.73,4.01,,15,24,
2,Boston College,ACC (Atlantic),8,5,.615,5,3,.625,24.8,19.8,5.47,2.17,,,,
3,Florida State,ACC (Atlantic),7,6,.538,4,4,.500,30.1,30.0,6.08,5.38,18,18,,
4,Wake Forest,ACC (Atlantic),5,7,.417,3,5,.375,26.3,26.3,1.85,2.94,,,,
5,North Carolina State,ACC (Atlantic),5,7,.417,2,6,.250,30.3,31.2,-1.06,2.36,,,,
6,Maryland,ACC (Atlantic),2,10,.167,1,7,.125,21.3,31.3,-6.60,2.65,,,,
7,Georgia Tech,ACC (Coastal),11,3,.786,7,1,.875,33.8,24.8,13.54,4.83,15,7,13,record adjusted to 10-3-0 by NCAA
8,Virginia Tech,ACC (Coastal),10,3,.769,6,2,.750,31.8,15.6,18.57,5.42,7,4,10,
9,Miami (FL),ACC (Coastal),9,4,.692,5,3,.625,30.3,22.2,12.20,4.73,,8,19,
10,North Carolina,ACC (Coastal),8,5,.615,4,4,.500,23.8,17.1,8.04,3.04,21,19,,record adjusted to 0-5-0 by NCAA
11,Duke,ACC (Coastal),5,7,.417,3,5,.375,25.2,28.3,-2.45,-0.20,,,,
12,Virginia,ACC (Coastal),3,9,.250,2,6,.250,19.3,26.3,-3.00,4.50,,,,
13,Nebraska,Big 12 (North),10,4,.714,6,2,.750,25.1,10.4,11.41,2.69,24,14,14,
14,Missouri,Big 12 (North),8,5,.615,4,4,.500,29.0,25.4,4.33,1.25,,24,,
15,Kansas State,Big 12 (North),6,6,.500,4,4,.500,23.0,23.3,-1.08,-0.08,,,,
16,Iowa State,Big 12 (North),7,6,.538,3,5,.375,20.5,21.8,-0.96,-0.73,,,,
17,Colorado,Big 12 (North),3,9,.250,2,6,.250,22.3,28.8,-3.86,2.39,,,,
18,Kansas,Big 12 (North),5,7,.417,1,7,.125,29.4,28.4,0.88,2.22,25,16,,
19,Texas,Big 12 (South),13,1,.929,8,0,1.000,39.3,16.7,20.21,3.49,2,2,2,
20,Oklahoma State,Big 12 (South),9,4,.692,6,2,.750,28.4,21.7,8.01,2.78,9,5,,
21,Oklahoma,Big 12 (South),8,5,.615,5,3,.625,31.1,14.5,13.21,4.82,3,3,,
22,Texas Tech,Big 12 (South),9,4,.692,5,3,.625,37.0,22.5,10.79,0.86,,21,21,
23,Texas A&M,Big 12 (South),6,7,.462,3,5,.375,32.8,33.5,3.37,2.91,,,,
24,Baylor,Big 12 (South),4,8,.333,1,7,.125,20.8,27.3,-2.30,4.37,,,,
25,Cincinnati,Big East,12,1,.923,7,0,1.000,38.6,23.1,14.23,1.77,,4,8,
26,Pitt,Big East,10,3,.769,5,2,.714,32.1,19.8,12.75,1.98,,8,15,
27,West Virginia,Big East,9,4,.692,5,2,.714,26.2,21.7,7.48,2.48,,18,25,
28,Connecticut,Big East,8,5,.615,3,4,.429,31.2,23.6,8.03,2.80,,,,
29,Rutgers,Big East,9,4,.692,3,4,.429,28.8,17.9,6.34,-2.12,,25,,
30,South Florida,Big East,8,5,.615,3,4,.429,26.5,19.8,3.64,-0.05,,21,,
31,Louisville,Big East,4,8,.333,1,6,.143,18.1,26.3,-4.01,2.83,,,,
32,Syracuse,Big East,4,8,.333,1,6,.143,21.2,27.9,-4.41,2.51,,,,
33,Ohio State,Big Ten,11,2,.846,7,1,.875,29.0,12.5,14.71,1.71,6,5,5,
34,Iowa,Big Ten,11,2,.846,6,2,.750,23.2,15.4,10.26,1.87,22,7,7,
35,Penn State,Big Ten,11,2,.846,6,2,.750,28.8,12.2,13.86,-0.75,9,5,9,
36,Wisconsin,Big Ten,10,3,.769,5,3,.625,31.8,21.8,8.19,0.35,,16,16,
37,Northwestern,Big Ten,8,5,.615,5,3,.625,25.9,24.5,-0.39,-1.93,,,,
38,Michigan State,Big Ten,6,7,.462,4,4,.500,29.7,26.3,2.52,1.68,,,,
39,Purdue,Big Ten,5,7,.417,4,4,.500,27.8,29.1,0.79,1.70,,,,
40,Minnesota,Big Ten,6,7,.462,3,5,.375,20.9,23.8,-0.10,2.67,,,,
41,Illinois,Big Ten,3,9,.250,2,6,.250,24.2,30.2,-3.67,2.24,,,,
42,Michigan,Big Ten,5,7,.417,1,7,.125,29.5,27.5,-1.51,-0.26,,22,,
43,Indiana,Big Ten,4,8,.333,1,7,.125,23.5,29.5,-5.75,-0.25,,,,
44,East Carolina,CUSA (East),9,5,.643,7,1,.875,27.0,21.9,3.58,-0.85,,,,
45,UCF,CUSA (East),8,5,.615,6,2,.750,26.2,22.5,-0.75,-2.44,,,,
46,Southern Mississippi,CUSA (East),7,6,.538,5,3,.625,32.9,25.8,-0.67,-4.36,,,,
47,Marshall,CUSA (East),7,6,.538,4,4,.500,21.8,24.3,-3.35,-2.88,,,,
48,UAB,CUSA (East),5,7,.417,4,4,.500,27.8,32.3,-5.75,-2.67,,,,
49,Memphis,CUSA (East),2,10,.167,1,7,.125,21.8,34.8,-12.06,-0.81,,,,
50,Houston,CUSA (West),10,4,.714,6,2,.750,42.2,30.1,4.21,-3.07,,12,,
51,SMU,CUSA (West),8,5,.615,6,2,.750,29.2,27.6,-3.09,-4.09,,,,
52,Tulsa,CUSA (West),5,7,.417,3,5,.375,29.3,27.3,-4.25,-4.50,,,,
53,UTEP,CUSA (West),4,8,.333,3,5,.375,29.8,33.5,-7.21,-5.04,,,,
54,Rice,CUSA (West),2,10,.167,2,6,.250,18.3,43.1,-16.33,-0.91,,,,
55,Tulane,CUSA (West),3,9,.250,1,7,.125,16.1,36.7,-16.23,-3.23,,,,
56,Navy,Ind,10,4,.714,0,0,,28.0,19.4,4.87,-2.63,,,,
57,Notre Dame,Ind,6,6,.500,0,0,,30.1,25.9,6.49,3.65,23,18,,
