,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Clemson,ACC (Atlantic),14,1,.933,7,1,.875,39.2,18.0,20.08,6.55,2,1,1,
2,Louisville,ACC (Atlantic),9,4,.692,7,1,.875,42.5,23.8,11.87,2.10,19,3,21,
3,Florida State,ACC (Atlantic),10,3,.769,5,3,.625,35.1,25.0,15.01,6.16,4,2,8,
4,North Carolina State,ACC (Atlantic),7,6,.538,3,5,.375,27.0,22.8,7.49,3.49,,,,
5,Wake Forest,ACC (Atlantic),7,6,.538,3,5,.375,20.4,22.2,0.73,1.80,,,,
6,Boston College,ACC (Atlantic),7,6,.538,2,6,.250,20.4,25.0,0.58,0.50,,,,
7,Syracuse,ACC (Atlantic),4,8,.333,2,6,.250,25.7,38.6,-4.51,4.57,,,,
8,Virginia Tech,ACC (Coastal),10,4,.714,6,2,.750,35.0,22.8,11.00,2.43,,16,16,
9,Miami (FL),ACC (Coastal),9,4,.692,5,3,.625,34.3,18.5,13.36,2.82,,10,20,
10,North Carolina,ACC (Coastal),8,5,.615,5,3,.625,32.3,24.9,8.25,1.79,22,15,,
11,Pitt,ACC (Coastal),8,5,.615,5,3,.625,40.9,35.2,8.12,3.51,,22,,
12,Georgia Tech,ACC (Coastal),9,4,.692,4,4,.500,28.2,24.5,7.13,2.90,,,,
13,Duke,ACC (Coastal),4,8,.333,1,7,.125,23.3,28.2,-1.36,3.39,,,,
14,Virginia,ACC (Coastal),2,10,.167,1,7,.125,22.5,33.8,-8.25,1.84,,,,
15,Temple,American (East),10,4,.714,7,1,.875,32.4,18.4,8.97,-3.32,,23,,
16,South Florida,American (East),11,2,.846,7,1,.875,43.8,31.6,7.83,-2.70,,19,19,
17,UCF,American (East),6,7,.462,4,4,.500,28.8,24.6,-0.01,-1.86,,,,
18,Cincinnati,American (East),4,8,.333,1,7,.125,19.3,26.9,-9.17,-1.58,,,,
19,Connecticut,American (East),3,9,.250,1,7,.125,14.8,28.1,-13.30,-2.55,,,,
20,East Carolina,American (East),3,9,.250,1,7,.125,27.0,36.1,-9.69,-0.11,,,,
21,Navy,American (West),9,5,.643,7,1,.875,37.9,31.0,3.59,-0.84,,20,,
22,Tulsa,American (West),10,3,.769,6,2,.750,42.5,29.8,6.91,-3.71,,,,
23,Houston,American (West),9,4,.692,5,3,.625,35.8,23.5,5.44,-1.95,15,6,,
24,Memphis,American (West),8,5,.615,5,3,.625,38.8,28.8,2.96,-1.11,,,,
25,SMU,American (West),5,7,.417,3,5,.375,27.7,36.3,-4.84,-0.34,,,,
26,Tulane,American (West),4,8,.333,1,7,.125,24.1,27.7,-6.54,-2.21,,,,
27,Oklahoma,Big 12,11,2,.846,9,0,1.000,43.9,28.8,14.98,3.60,3,3,5,
28,Oklahoma State,Big 12,10,3,.769,7,2,.778,38.6,26.5,11.16,1.70,21,10,11,
29,West Virginia,Big 12,10,3,.769,7,2,.778,31.2,24.0,9.57,2.03,,10,18,
30,Kansas State,Big 12,9,4,.692,6,3,.667,32.2,22.3,8.09,1.33,,,,
31,Texas Christian,Big 12,6,7,.462,4,5,.444,31.0,28.0,2.63,1.47,13,13,,
32,Baylor,Big 12,7,6,.538,3,6,.333,34.6,29.0,3.01,0.39,23,8,,
33,Texas,Big 12,5,7,.417,3,6,.333,31.9,31.5,1.75,2.42,,11,,
34,Texas Tech,Big 12,5,7,.417,3,6,.333,43.7,43.5,1.34,1.50,,,,
35,Iowa State,Big 12,3,9,.250,2,7,.222,27.7,31.3,-4.43,1.65,,,,
36,Kansas,Big 12,2,10,.167,1,8,.111,20.3,37.3,-10.65,2.52,,,,
37,Penn State,Big Ten (East),11,3,.786,8,1,.889,37.6,25.4,15.72,5.44,,5,7,
38,Ohio State,Big Ten (East),11,2,.846,8,1,.889,39.4,15.5,18.82,6.59,6,2,6,
39,Michigan,Big Ten (East),10,3,.769,7,2,.778,40.3,14.1,17.56,4.79,7,2,10,
