,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
62,Temple,MAC (East),5,7,.417,4,4,.500,23.4,23.1,-3.38,-4.05,,,,
63,Akron,MAC (East),5,7,.417,3,5,.375,30.0,31.3,-6.87,-4.95,,,,
64,Kent State,MAC (East),4,8,.333,3,5,.375,25.7,31.7,-11.10,-5.02,,,,
65,Ohio,MAC (East),4,8,.333,3,5,.375,24.1,27.3,-8.80,-4.64,,,,
66,Miami (OH),MAC (East),2,10,.167,1,7,.125,18.4,32.7,-17.24,-3.91,,,,
67,Ball State,MAC (West),12,2,.857,8,0,1.000,34.9,20.5,6.26,-7.03,,12,,
68,Central Michigan,MAC (West),8,5,.615,6,2,.750,29.5,30.2,-2.75,-4.44,,,,
69,Western Michigan,MAC (West),9,4,.692,6,2,.750,28.6,24.9,-0.87,-4.49,,,,
70,Northern Illinois,MAC (West),6,7,.462,5,3,.625,24.2,18.0,-2.73,-5.43,,,,
71,Eastern Michigan,MAC (West),3,9,.250,2,6,.250,25.8,35.6,-13.89,-3.73,,,,
72,Toledo,MAC (West),3,9,.250,2,6,.250,22.4,31.4,-12.22,-3.81,,,,
73,Utah,MWC,13,0,1.000,8,0,1.000,36.9,17.2,13.79,-2.06,,2,2,
74,Texas Christian,MWC,11,2,.846,7,1,.875,33.6,11.3,13.47,-1.23,,7,7,
75,Brigham Young,MWC,10,3,.769,6,2,.750,34.2,21.9,4.96,-3.58,16,8,25,
76,Air Force,MWC,8,5,.615,5,3,.625,26.8,22.2,2.55,-2.53,,,,
77,Colorado State,MWC,7,6,.538,4,4,.500,25.2,30.2,-3.96,-1.04,,,,
78,Nevada-Las Vegas,MWC,5,7,.417,2,6,.250,25.6,32.6,-7.41,-1.08,,,,
79,New Mexico,MWC,4,8,.333,2,6,.250,21.1,22.8,-4.18,-0.35,,,,
80,Wyoming,MWC,4,8,.333,1,7,.125,12.7,27.8,-11.44,-1.94,,,,
81,San Diego State,MWC,2,10,.167,1,7,.125,19.3,37.2,-14.97,-2.89,,,,
82,USC,Pac-10,12,1,.923,8,1,.889,37.5,9.0,22.24,3.86,3,1,3,
83,Oregon,Pac-10,10,3,.769,7,2,.778,41.9,28.2,12.39,3.08,21,10,10,
84,Oregon State,Pac-10,9,4,.692,7,2,.778,30.5,23.1,10.26,4.80,,17,18,
85,California,Pac-10,9,4,.692,6,3,.667,32.6,19.9,10.43,2.89,,21,,
86,Arizona,Pac-10,8,5,.615,5,4,.556,36.6,21.3,9.21,-0.33,,,,
87,Arizona State,Pac-10,5,7,.417,4,5,.444,22.8,22.7,1.62,1.70,15,15,,
88,Stanford,Pac-10,5,7,.417,4,5,.444,26.3,27.4,-0.04,3.79,,,,
89,UCLA,Pac-10,4,8,.333,3,6,.333,17.7,29.0,-3.98,3.61,,23,,
90,Washington State,Pac-10,2,11,.154,1,8,.111,12.7,43.8,-13.82,3.33,,,,
91,Washington,Pac-10,0,12,.000,0,9,.000,13.3,38.6,-12.08,6.75,,,,
92,Florida,SEC (East),13,1,.929,7,1,.875,43.6,12.9,25.37,5.59,5,1,1,
93,Georgia,SEC (East),10,3,.769,6,2,.750,31.5,24.5,11.60,4.52,1,1,13,
94,South Carolina,SEC (East),7,6,.538,4,4,.500,20.8,21.1,5.21,4.28,,24,,
95,Vanderbilt,SEC (East),7,6,.538,4,4,.500,19.2,19.6,4.48,4.32,,13,,
96,Tennessee,SEC (East),5,7,.417,3,5,.375,17.3,16.8,1.64,2.89,18,18,,
97,Kentucky,SEC (East),7,6,.538,2,6,.250,22.6,21.5,3.55,1.24,,,,
98,Alabama,SEC (West),12,2,.857,8,0,1.000,30.1,14.3,16.15,2.93,24,1,6,
99,Ole Miss,SEC (West),9,4,.692,5,3,.625,32.1,19.0,12.11,3.18,,14,14,
100,LSU,SEC (West),8,5,.615,3,5,.375,30.9,24.2,5.91,1.37,7,3,,
101,Arkansas,SEC (West),5,7,.417,2,6,.250,21.9,31.2,-0.36,5.56,,,,
102,Auburn,SEC (West),5,7,.417,2,6,.250,17.3,18.0,1.26,2.10,10,9,,
103,Mississippi State,SEC (West),4,8,.333,2,6,.250,15.3,24.7,-5.00,1.75,,,,
104,Troy,Sun Belt,8,5,.615,7,1,.875,32.8,21.3,1.06,-4.94,,,,
105,Louisiana,Sun Belt,6,6,.500,5,2,.714,33.1,33.7,-5.57,-6.24,,,,
