,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Post,Notes
1,Florida State,ACC,11,2,.846,8,0,1.000,39.3,10.5,23.13,5.59,2,1,5,
2,Clemson,ACC,9,3,.750,6,2,.750,34.7,21.1,11.54,2.04,17,5,16,
3,Georgia Tech,ACC,9,3,.750,6,2,.750,32.2,19.8,11.30,1.21,,15,17,
4,Virginia,ACC,6,6,.500,5,3,.625,20.2,24.3,0.10,3.18,,,,
5,North Carolina State,ACC,8,4,.667,4,4,.500,31.6,28.2,3.92,-0.33,,21,,
6,North Carolina,ACC,6,5,.545,3,5,.375,24.5,25.8,2.40,1.85,,,,
7,Maryland,ACC,5,6,.455,3,5,.375,22.5,25.8,0.54,2.26,,,,
8,Wake Forest,ACC,2,9,.182,1,7,.125,16.5,32.9,-12.27,0.09,,,,
9,Duke,ACC,0,11,.000,0,8,.000,14.1,39.1,-13.91,4.63,,,,
10,Nebraska,Big 12 (North),10,2,.833,6,2,.750,43.5,19.2,19.01,4.51,1,1,8,
11,Kansas State,Big 12 (North),11,3,.786,6,2,.750,39.2,18.6,15.72,3.93,8,2,9,
12,Iowa State,Big 12 (North),9,3,.750,5,3,.625,28.6,26.8,6.43,2.84,,25,25,
13,Colorado,Big 12 (North),3,8,.273,3,5,.375,22.9,25.8,3.56,7.92,24,23,,
14,Kansas,Big 12 (North),4,7,.364,2,6,.250,23.7,32.6,-1.95,4.60,,,,
15,Missouri,Big 12 (North),3,8,.273,2,6,.250,23.2,31.6,-2.63,3.55,,,,
16,Oklahoma,Big 12 (South),13,0,1.000,8,0,1.000,37.0,14.9,21.56,5.32,19,1,1,
17,Texas,Big 12 (South),9,3,.750,7,1,.875,37.9,19.3,13.78,0.78,7,5,12,
18,Texas A&M,Big 12 (South),7,5,.583,5,3,.625,29.0,19.9,11.44,5.03,,21,,
19,Texas Tech,Big 12 (South),7,6,.538,3,5,.375,25.4,21.4,4.81,1.65,,,,
20,Oklahoma State,Big 12 (South),3,8,.273,1,7,.125,18.4,27.5,-3.18,2.63,,,,
