Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 23 2001,Thu,Louisville,45,,New Mexico State,24,
2,1,Aug 25 2001,Sat,Brigham Young,70,,Tulane,35,
3,1,Aug 25 2001,Sat,(4) Nebraska,21,,Texas Christian,7,
4,1,Aug 25 2001,Sat,(3) Oklahoma,41,,North Carolina,27,
5,1,Aug 25 2001,Sat,(22) Wisconsin,26,,Virginia,17,
6,1,Aug 26 2001,Sun,Fresno State,24,@,Colorado,22,
7,1,Aug 26 2001,Sun,(10) Georgia Tech,13,,Syracuse,7,
8,2,Aug 30 2001,Thu,Akron,31,,Ohio,29,
9,2,Aug 30 2001,Thu,Alabama-Birmingham,41,,Montana State,13,
10,2,Aug 30 2001,Thu,Arizona,23,@,San Diego State,10,
11,2,Aug 30 2001,Thu,Arkansas,14,,Nevada-Las Vegas,10,
12,2,Aug 30 2001,Thu,Central Michigan,42,,Eastern Kentucky,28,
13,2,Aug 30 2001,Thu,Middle Tennessee State,37,@,Vanderbilt,28,
14,2,Aug 30 2001,Thu,Northern Illinois,20,,South Florida,17,
15,2,Aug 30 2001,Thu,Rutgers,31,@,Buffalo,15,
16,2,Aug 30 2001,Thu,Temple,45,,Navy,26,
17,2,Aug 30 2001,Thu,Toledo,38,,Minnesota,7,
18,2,Aug 30 2001,Thu,Tulsa,51,,Indiana State,0,
19,2,Aug 30 2001,Thu,Washington State,36,,Idaho,7,
20,2,Aug 30 2001,Thu,Western Michigan,48,,Illinois State,7,
21,2,Sep 1 2001,Sat,Auburn,30,,Ball State,0,
22,2,Sep 1 2001,Sat,Boston College,34,,West Virginia,10,
23,2,Sep 1 2001,Sat,Bowling Green State,20,@,Missouri,13,
24,2,Sep 1 2001,Sat,Brigham Young,52,,Nevada,7,
25,2,Sep 1 2001,Sat,(19) Clemson,21,,Central Florida,13,
26,2,Sep 1 2001,Sat,Colorado,41,,(24) Colorado State,14,
27,2,Sep 1 2001,Sat,Eastern Michigan,16,,Southeast Missouri State,12,
28,2,Sep 1 2001,Sat,(1) Florida,49,,Marshall,14,
29,2,Sep 1 2001,Sat,(6) Florida State,55,@,Duke,13,
30,2,Sep 1 2001,Sat,Georgia,45,,Arkansas State,17,
31,2,Sep 1 2001,Sat,(11) Georgia Tech,35,,Citadel,7,
32,2,Sep 1 2001,Sat,Illinois,44,@,California,17,
33,2,Sep 1 2001,Sat,Iowa,51,,Kent State,0,
34,2,Sep 1 2001,Sat,Kansas,24,,Missouri State,10,
35,2,Sep 1 2001,Sat,Louisiana,20,,Nicholls State,0,
36,2,Sep 1 2001,Sat,(14) Louisiana State,48,,Tulane,17,
37,2,Sep 1 2001,Sat,Louisiana Tech,36,,Southern Methodist,6,
38,2,Sep 1 2001,Sat,Louisville,36,@,Kentucky,10,
39,2,Sep 1 2001,Sat,Maryland,23,,North Carolina,7,
40,2,Sep 1 2001,Sat,(2) Miami (FL),33,@,Penn State,7,
41,2,Sep 1 2001,Sat,(12) Michigan,31,,Miami (OH),13,
42,2,Sep 1 2001,Sat,Mississippi,49,,Murray State,14,
43,2,Sep 1 2001,Sat,(4) Nebraska,42,,Troy,14,
44,2,Sep 1 2001,Sat,New Mexico,26,,Texas-El Paso,6,
45,2,Sep 1 2001,Sat,(3) Oklahoma,44,@,Air Force,3,
46,2,Sep 1 2001,Sat,(7) Oregon,31,,(22) Wisconsin,28,
47,2,Sep 1 2001,Sat,Pittsburgh,31,,East Tennessee State,0,
48,2,Sep 1 2001,Sat,Rice,21,@,Houston,14,
49,2,Sep 1 2001,Sat,Sam Houston State,20,@,Louisiana-Monroe,9,
50,2,Sep 1 2001,Sat,(21) South Carolina,32,,Boise State,13,
51,2,Sep 1 2001,Sat,Southern California,21,,San Jose State,10,
52,2,Sep 1 2001,Sat,Southern Mississippi,17,,Oklahoma State,9,
53,2,Sep 1 2001,Sat,(8) Tennessee,33,,Syracuse,9,
54,2,Sep 1 2001,Sat,(5) Texas,41,,New Mexico State,7,
55,2,Sep 1 2001,Sat,Texas A&M,38,,McNeese State,24,
56,2,Sep 1 2001,Sat,Texas Christian,19,@,North Texas,5,
57,2,Sep 1 2001,Sat,(17) UCLA,20,@,(25) Alabama,17,
58,2,Sep 1 2001,Sat,Utah,23,,Utah State,19,
59,2,Sep 1 2001,Sat,Virginia,17,,Richmond,16,
60,2,Sep 1 2001,Sat,(9) Virginia Tech,52,,Connecticut,10,
61,2,Sep 1 2001,Sat,Wake Forest,21,@,East Carolina,19,
62,2,Sep 1 2001,Sat,Wyoming,20,,Furman,14,
63,2,Sep 2 2001,Sun,Fresno State,44,,(10) Oregon State,24,
64,2,Sep 2 2001,Sun,Purdue,19,@,Cincinnati,14,
65,2,Sep 3 2001,Mon,(18) Mississippi State,30,,Memphis,10,
66,3,Sep 6 2001,Thu,North Carolina State,35,,Indiana,14,
67,3,Sep 6 2001,Thu,Texas A&M,28,@,Wyoming,20,
68,3,Sep 7 2001,Fri,(16) Northwestern,37,@,Nevada-Las Vegas,28,
69,3,Sep 8 2001,Sat,Air Force,42,,Tennessee Tech,0,
70,3,Sep 8 2001,Sat,Alabama,12,@,Vanderbilt,9,
71,3,Sep 8 2001,Sat,Arizona,36,,Idaho,29,
72,3,Sep 8 2001,Sat,Arizona State,38,,San Diego State,7,
