Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,TV,Notes
1,1,Aug 25 2018,7:30 PM,Sat,Hawaii,43,@,Colorado State,34,,Sonny Lubrick Field at Canvas Stadium - Fort Collins Colorado
2,1,Aug 25 2018,5:30 PM,Sat,Massachusetts,63,,Duquesne,15,,Warren McGuirk Alumni Stadium - Amherst Massachusetts
3,1,Aug 25 2018,7:00 PM,Sat,Rice,31,,Prairie View A&M,28,,Rice Stadium - Houston Texas
4,1,Aug 25 2018,10:00 PM,Sat,Wyoming,29,@,New Mexico State,7,,Aggie Memorial Stadium - Las Cruces New Mexico
5,2,Aug 30 2018,8:00 PM,Thu,Alabama-Birmingham,52,,Savannah State,0,,Legion Field - Birmingham Alabama
6,2,Aug 30 2018,7:00 PM,Thu,Ball State,42,,Central Connecticut State,6,,Scheumann Stadium - Muncie Indiana
7,2,Aug 30 2018,10:00 PM,Thu,California-Davis,44,@,San Jose State,38,,CEFCU Stadium - San Jose California
8,2,Aug 30 2018,7:00 PM,Thu,(21) Central Florida,56,@,Connecticut,17,,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
9,2,Aug 30 2018,7:00 PM,Thu,Georgia State,24,,Kennesaw State,20,,Georgia State Stadium - Atlanta Georgia
10,2,Aug 30 2018,8:00 PM,Thu,Louisiana-Monroe,34,,Southeastern Louisiana,31,,Malone Stadium - Monroe Louisiana
11,2,Aug 30 2018,7:00 PM,Thu,Minnesota,48,,New Mexico State,10,,TCF Bank Stadium - Minneapolis Minnesota
12,2,Aug 30 2018,8:00 PM,Thu,Northwestern,31,@,Purdue,27,,Ross-Ade Stadium - West Lafayette Indiana
13,2,Aug 30 2018,8:00 PM,Thu,Oklahoma State,58,,Missouri State,17,,Boone Pickens Stadium - Stillwater Oklahoma
14,2,Aug 30 2018,8:30 PM,Thu,Texas A&M,59,,Northwestern State,7,,Kyle Field - College Station Texas
15,2,Aug 30 2018,8:00 PM,Thu,Utah,41,,Weber State,10,,Rice-Eccles Stadium - Salt Lake City Utah
16,2,Aug 30 2018,8:00 PM,Thu,Wake Forest,23,@,Tulane,17,,Yulman Stadium - New Orleans Louisiana
17,2,Aug 31 2018,9:30 PM,Fri,Colorado,45,,Colorado State,13,,Broncos Stadium at Mile High - Denver Colorado
18,2,Aug 31 2018,7:00 PM,Fri,Duke,34,,Army,14,,Wallace Wade Stadium - Durham North Carolina
19,2,Aug 31 2018,6:30 PM,Fri,Eastern Michigan,51,,Monmouth,17,,Rynearson Stadium - Ypsilanti Michigan
