Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 22 2002,Thu,Colorado State,35,@,Virginia,29,
2,1,Aug 23 2002,Fri,(25) Wisconsin,23,,Fresno State,21,
3,1,Aug 24 2002,Sat,(3) Florida State,38,,Iowa State,31,
4,1,Aug 24 2002,Sat,(10) Nebraska,48,,Arizona State,10,
5,1,Aug 24 2002,Sat,North Carolina State,34,,New Mexico,14,
6,1,Aug 24 2002,Sat,(13) Ohio State,45,,Texas Tech,21,
7,1,Aug 25 2002,Sun,(16) Virginia Tech,63,,Arkansas State,7,
8,2,Aug 29 2002,Thu,Bowling Green State,41,,Tennessee Tech,7,
9,2,Aug 29 2002,Thu,Brigham Young,42,,Syracuse,21,
10,2,Aug 29 2002,Thu,Central Michigan,34,,Sam Houston State,10,
11,2,Aug 29 2002,Thu,Fresno State,16,,San Diego State,14,
12,2,Aug 29 2002,Thu,Kent State,34,,New Hampshire,7,
13,2,Aug 29 2002,Thu,Lehigh,37,@,Buffalo,26,
14,2,Aug 29 2002,Thu,Northern Illinois,42,,Wake Forest,41,
15,2,Aug 29 2002,Thu,Oregon State,49,,Eastern Kentucky,10,
16,2,Aug 29 2002,Thu,South Florida,51,,Florida Atlantic,10,
17,2,Aug 29 2002,Thu,Temple,34,,Richmond,7,
18,2,Aug 29 2002,Thu,Toledo,44,,Cal Poly,16,
19,2,Aug 29 2002,Thu,Western Michigan,48,,Indiana State,17,
20,2,Aug 30 2002,Fri,(1) Oklahoma,37,@,Tulsa,0,
21,2,Aug 31 2002,Sat,Air Force,52,,Northwestern,3,
22,2,Aug 31 2002,Sat,Alabama,39,,Middle Tennessee State,34,
23,2,Aug 31 2002,Sat,Arizona,37,,Northern Arizona,3,
24,2,Aug 31 2002,Sat,Arizona State,38,,Eastern Washington,2,
25,2,Aug 31 2002,Sat,Boise State,38,,Idaho,21,
26,2,Aug 31 2002,Sat,Boston College,24,,Connecticut,16,
27,2,Aug 31 2002,Sat,California,70,,Baylor,22,
28,2,Aug 31 2002,Sat,Colorado State,19,,(7) Colorado,14,
29,2,Aug 31 2002,Sat,Duke,23,,East Carolina,16,
30,2,Aug 31 2002,Sat,(6) Florida,51,,Alabama-Birmingham,3,
31,2,Aug 31 2002,Sat,(5) Florida State,40,,Virginia,19,
32,2,Aug 31 2002,Sat,(8) Georgia,31,,Clemson,28,
33,2,Aug 31 2002,Sat,Georgia Tech,45,,Vanderbilt,3,
34,2,Aug 31 2002,Sat,Hawaii,61,,Eastern Illinois,36,
35,2,Aug 31 2002,Sat,Houston,24,@,Rice,10,
36,2,Aug 31 2002,Sat,Indiana,25,,William & Mary,17,
37,2,Aug 31 2002,Sat,Iowa,57,,Akron,21,
38,2,Aug 31 2002,Sat,Iowa State,45,,Kansas,3,
39,2,Aug 31 2002,Sat,Kansas State,48,,Western Kentucky,3,
40,2,Aug 31 2002,Sat,Louisiana Tech,39,,Oklahoma State,36,
41,2,Aug 31 2002,Sat,(19) Marshall,50,,Appalachian State,17,
42,2,Aug 31 2002,Sat,Memphis,52,,Murray State,6,
43,2,Aug 31 2002,Sat,(1) Miami (FL),63,,Florida A&M,17,
44,2,Aug 31 2002,Sat,Miami (OH),27,@,North Carolina,21,
45,2,Aug 31 2002,Sat,(13) Michigan,31,,(11) Washington,29,
