Names,Colley
Danville,0.233904156627373
Holy Cross (Louisville),0.222179087658538
Somerset,0.586960379542317
Green County,0.163148681445441
Christian Academy-Louisville,0.786291559409704
Harrodsburg,0.696497702051454
Fort Knox,0.265206861252731
Trimble County,0.725026350516061
Campbellsville,0.75723220908537
Frankfort,0.98512352159041
Metcalfe County,0.517805483636983
Newport Central Catholic,0.129268311739432
Paris,0.720690074059191
Beechwood,0.711294941158277
Nicholas County,0.722067961721213
Bellevue,0.574182152643381
Berea,0.438829141302804
Raceland,-0.0099510144627078
Holy Cross (Covington),0.655578659199617
Lexington Christian,0.391823509907453
Fairview,0.798492211013975
Dayton,0.47883250215216
Ludlow,1.04217256076978
Ballard Memorial,0.61738271250176
Crittenden County,0.256000174053357
Murray,0.381877153159051
Mayfield,0.202094750438636
Hancock County,0.768844923409766
Fulton City,0.615042394627562
Russellville,0.224622368935465
Fulton County,0.270631857253981
McLean County,0.430205617359876
Fleming-Neon,0.589179016344913
Paintsville,0.419892599305496
Hazard,0.343691514490691
Middlesboro,0.200152567157406
Cumberland,0.400500907723844
Lynn Camp,0.7733828084801
Pikeville,0.476143761504254
Harlan,0.577397162736892
Evarts,0.439461057867256
South Floyd,0.529988598547459
Phelps,0.312759215198352
Williamsburg,0.829183985948358
Pineville,0.829664557036364
Elkhorn City,0.624658515860243
Allen Central,0.487867513545758
Jenkins,0.981248460850131
Bardstown,0.466817599567896
Corbin,0.183290099827324
LaRue County,0.32180549127198
Russell County,0.637260596673783
Moore,0.39273913202327
Washington County,0.873978137906777
Western,0.484610527653878
Taylor County,0.423064725978402
Elizabethtown,0.436241899752364
DeSales,0.263078392981024
Adair County,0.511315361189373
Wayne County,0.28873636966956
Casey County,0.197570889153262
Shawnee,0.37827768250862
Prestonsburg,0.682134823717145
Leslie County,0.227574459817586
Belfry,0.47876426552159
Breathitt County,0.818269043671246
Madison Southern,0.77489946288794
Pike County Central,0.20536179353912
Whitesburg,0.386086513200526
Powell County,0.327441570045997
Estill County,0.272551775453358
Shelby Valley,0.680458835935929
Morgan County,0.425612755937989
Betsy Layne,0.144841055746898
Glasgow,0.536015434995001
Trigg County,0.595128503396719
Webster County,0.761859019278169
Muhlenberg South,0.25438067884668
Owensboro Catholic,0.396596520317884
Monroe County,0.307631046867368
Reidland,0.692152248434702
Heath,0.445102723952117
Butler County,0.272824279837668
Edmonson County,0.455804330791926
Hart County,0.382611399323899
Caldwell County,0.699247724905025
Fort Campbell,0.720258070920516
Todd County Central,0.164280352728917
Mason County,0.740940991174304
