0	62	39	38	1	0	0	0	
3	239	64	48	16	0	0	0	
9	7	65	22	43	0	0	0	
17	182	44	17	27	1	0	0	
21	105	61	55	6	0	0	0	
28	59	65	29	36	1	0	0	
32	199	60	12	48	1	0	0	
36	201	69	35	34	0	0	0	
39	184	55	47	8	1	0	0	
40	145	45	36	9	0	0	0	
41	90	71	32	39	1	0	0	
44	48	47	34	13	0	0	0	
45	235	60	37	23	1	0	0	
47	54	50	43	7	0	0	0	
-1	255	50	37	13	1	0	0	
69	248	94	7	87	1	0	0	
74	141	74	45	29	1	0	0	
81	117	75	14	61	0	0	0	
82	204	63	37	26	1	0	0	
89	-1	45	37	8	0	0	0	
94	225	82	79	3	0	1	0	
98	13	51	46	5	1	0	0	
100	240	71	51	20	1	0	0	
-1	72	56	45	11	1	0	0	
106	133	52	42	10	0	0	0	
110	56	43	32	11	1	0	0	
112	55	69	42	27	0	0	0	
113	24	62	48	14	1	0	0	
115	65	59	27	32	1	0	0	
116	254	37	29	8	1	0	0	
131	-1	59	24	35	0	0	0	
142	259	50	37	13	0	0	0	
148	244	70	46	24	1	0	0	
150	38	68	62	6	1	0	0	
151	12	60	45	15	0	0	0	
152	10	51	38	13	1	0	0	
155	139	68	34	34	1	0	0	
159	76	61	36	25	1	0	0	
162	251	73	41	32	0	0	0	
165	87	64	43	21	1	0	0	
169	52	65	64	1	0	0	0	
170	-1	71	38	33	0	0	0	
171	50	74	47	27	0	0	0	
177	11	81	42	39	1	0	0	
-1	96	51	49	2	1	0	0	
185	180	59	28	31	0	0	0	
187	-1	62	37	25	1	0	0	
192	128	108	81	27	1	0	0	
-1	253	63	35	28	0	0	0	
198	167	60	46	14	0	0	0	
205	126	53	14	39	1	0	0	
211	156	67	28	39	1	0	0	
214	111	73	54	19	1	0	0	
219	114	48	42	6	0	0	0	
220	79	67	35	32	1	0	0	
222	1	68	28	40	1	0	0	
226	149	68	39	29	0	0	0	
229	2	59	36	23	0	0	0	
230	68	55	48	7	0	0	0	
233	37	61	48	13	1	0	0	
242	35	58	26	32	1	0	0	
243	88	51	26	25	1	0	0	
245	241	58	38	20	0	0	0	
-1	213	59	53	6	0	0	0	
246	120	61	56	5	0	0	0	
249	190	43	42	1	0	0	0	
250	212	49	48	1	0	0	0	
260	-1	61	16	45	1	0	0	
262	91	50	41	9	0	0	0	
264	166	61	34	27	0	0	0	
