-1	31	65	47	18	2	0	0	
-1	102	75	67	8	2	1	0	
-1	130	64	47	17	2	0	0	
4	141	76	54	22	1	0	0	
25	224	69	57	12	2	0	0	
36	50	53	39	14	2	0	0	
257	145	90	52	38	2	0	0	
60	-1	66	43	23	2	0	0	
115	77	83	53	30	2	0	0	
115	245	70	50	20	2	0	0	
189	245	77	46	31	1	0	0	
189	77	79	69	10	1	0	0	
190	-1	69	46	23	2	0	0	
44	240	83	59	24	2	0	0	
256	184	81	76	5	2	0	0	
270	27	75	74	1	0	0	0	
20	212	64	51	13	2	0	0	
32	142	82	44	38	1	0	0	
74	243	60	44	16	2	0	0	
78	72	68	48	20	2	0	0	
155	259	87	52	35	2	0	0	
207	42	72	48	24	0	0	0	
-1	239	67	39	28	2	0	0	
120	-1	92	54	38	1	0	0	
254	41	63	62	1	2	0	0	
100	263	78	74	4	2	0	0	
147	150	68	65	3	1	0	0	
148	179	51	42	9	2	0	0	
166	76	63	59	4	2	0	0	
58	-1	73	38	35	1	0	0	
-1	268	73	35	38	2	0	0	
12	227	79	76	3	1	0	0	
81	86	56	46	10	2	0	0	
127	79	72	62	10	2	0	0	
170	209	88	73	15	2	0	0	
-1	250	66	49	17	2	0	0	
152	194	70	66	4	2	0	0	
70	176	78	54	24	0	0	0	
123	137	75	49	26	2	0	0	
214	49	79	72	7	2	0	0	
271	164	57	46	11	2	0	0	
-1	96	47	41	6	2	0	0	
119	-1	76	68	8	2	0	0	
-1	45	91	59	32	2	0	0	
-1	56	71	59	12	2	0	0	
109	46	87	83	4	1	0	0	
109	1	68	60	8	1	0	0	
168	46	63	49	14	2	0	0	
21	22	74	58	16	2	0	0	
92	117	83	67	16	0	0	0	
232	221	92	51	41	2	0	0	
265	112	83	62	21	2	0	0	
217	-1	39	28	11	2	0	0	
260	-1	58	55	3	2	0	0	
116	-1	72	69	3	2	1	0	
111	143	78	43	35	0	0	0	
-1	103	55	43	12	2	0	0	
185	-1	78	63	15	2	0	0	
110	-1	66	48	18	2	0	0	
-1	247	62	49	13	2	0	0	
-1	247	95	68	27	2	0	0	
-1	34	76	53	23	2	0	0	
-1	253	72	51	21	2	0	0	
162	-1	66	50	16	1	0	0	
48	-1	67	44	23	2	0	0	
124	-1	55	49	6	2	0	0	
-1	87	80	42	38	1	0	0	
218	-1	48	16	32	2	0	0	
-1	161	80	76	4	2	0	0	
182	-1	72	56	16	2	0	0	
211	-1	83	70	13	2	0	0	
235	-1	64	46	18	2	0	0	
251	230	63	57	6	2	0	0	
-1	114	66	64	2	2	0	0	
-1	114	51	50	1	2	0	0	
15	11	67	61	6	2	1	0	
192	219	52	43	9	2	0	0	
231	154	59	35	24	1	0	0	
241	-1	77	49	28	2	0	0	
-1	246	68	49	19	2	0	0	
261	-1	67	24	43	2	0	0	
7	-1	105	76	29	2	0	0	
71	-1	58	48	10	2	0	0	
71	-1	58	48	10	2	0	0	
14	201	76	71	5	1	0	0	
-1	133	81	66	15	2	0	0	
159	267	65	56	9	2	0	0	
222	202	60	57	3	2	0	0	
228	262	60	58	2	2	0	0	
39	149	69	28	41	1	0	0	
39	97	74	42	32	1	0	0	
165	149	66	28	38	2	0	0	
165	97	71	41	30	2	0	0	
2	90	50	41	9	2	0	0	
181	33	63	59	4	1	0	0	
98	-1	59	46	13	2	0	0	
138	264	71	58	13	2	0	0	
225	59	69	58	11	2	0	0	
-1	3	55	48	7	2	0	0	
-1	3	57	47	10	2	0	0	
205	223	78	65	13	1	0	0	
234	204	65	53	12	2	0	0	
24	-1	55	46	9	1	0	0	
93	193	73	71	2	2	0	0	
101	186	67	49	18	2	0	0	
108	233	59	40	19	2	0	0	
64	173	64	38	26	1	0	0	
171	6	57	56	1	2	0	0	
236	140	66	54	12	2	1	0	
68	-1	68	26	42	2	0	0	
-1	187	53	49	4	2	0	0	
43	113	56	45	11	2	0	0	
53	104	46	38	8	2	0	0	
-1	106	67	57	10	2	0	0	
105	126	53	50	3	2	0	0	
151	66	68	38	30	1	0	0	
180	63	72	60	12	2	0	0	
180	-1	80	48	32	2	0	0	
220	18	74	69	5	1	0	0	
43	220	59	49	10	0	0	0	
106	63	67	65	2	2	0	0	
113	18	102	63	39	2	0	0	
9	-1	58	42	16	2	0	0	
-1	62	62	35	27	2	0	0	
215	73	55	49	6	2	0	0	
-1	183	52	44	8	2	0	0	
-1	139	50	48	2	2	0	0	
-1	29	76	42	34	2	0	0	
-1	83	80	72	8	2	0	0	
10	57	57	49	8	2	0	0	
13	197	57	50	7	2	0	0	
23	156	53	46	7	2	0	0	
54	242	65	63	2	2	0	0	
94	188	74	70	4	2	0	0	
146	163	81	55	26	1	0	0	
158	47	64	44	20	2	0	0	
229	199	42	41	1	2	0	0	
-1	196	56	37	19	2	0	0	
-1	38	52	47	5	0	0	0	
51	208	63	52	11	2	0	0	
226	266	74	65	9	0	0	0	
0	167	63	54	9	2	0	0	
28	198	77	60	17	2	0	0	
172	35	78	61	17	2	0	0	
249	269	65	56	9	0	0	0	
-1	88	84	34	50	2	0	0	
-1	210	60	48	12	2	0	0	
19	144	66	60	6	1	0	0	
65	255	56	52	4	0	0	0	
-1	84	72	39	33	1	0	0	
107	-1	68	54	14	1	0	0	
128	142	84	50	34	2	0	0	
238	153	86	44	42	1	0	0	
248	-1	39	37	2	1	0	0	
