2	1	19	0	0	0	1	14	0	0	
0	1	23	0	0	1	1	17	0	0	
1	0	23	0	0	0	0	10	0	0	
0	1	32	0	0	1	1	25	0	0	
2	0	27	0	0	0	1	13	0	0	
1	1	14	0	0	0	0	3	0	0	
0	0	6	0	0	1	1	15	0	0	
1	0	1	0	0	0	0	23	0	0	
1	1	5	0	0	1	1	4	0	0	
1	0	13	0	0	0	0	49	0	0	
0	1	4	0	0	0	0	12	0	0	
1	1	36	1	0	1	1	48	0	0	
0	0	44	0	0	0	0	30	0	0	
1	0	3	0	0	1	1	37	0	0	
0	0	40	0	0	1	0	3	0	0	
1	0	20	0	0	0	0	27	0	0	
0	1	13	0	0	1	1	11	0	0	
1	1	5	0	0	0	0	1	0	0	
0	0	21	0	0	1	0	1	1	0	
0	0	43	0	0	0	0	49	0	0	
1	1	18	0	0	1	1	10	0	0	
0	0	35	0	0	0	0	41	0	0	
2	1	25	0	0	2	1	24	0	0	
1	0	34	0	0	0	0	43	0	0	
0	0	39	0	0	0	0	48	0	0	
0	0	22	0	0	0	0	3	0	0	
0	0	8	0	0	0	1	27	0	0	
1	1	8	0	0	1	1	14	0	0	
1	1	20	0	0	1	1	8	0	0	
1	1	21	0	0	1	0	6	0	0	
1	1	47	0	0	1	1	41	0	0	
1	1	40	0	0	1	1	50	0	0	
1	0	26	0	0	0	0	27	0	0	
0	1	12	0	0	1	1	21	0	0	
0	1	7	0	0	1	0	25	0	0	
1	0	42	0	0	0	0	25	0	0	
1	0	35	0	0	0	0	3	0	0	
0	1	22	0	0	1	0	14	0	0	
1	0	20	0	0	0	0	35	0	0	
