Names,Massey
Adair County,-27.2105439409734
Allen Central,-24.3744538019612
Allen County-Scottsville,16.6078595797404
Anderson County,29.3321275039395
Apollo,-5.06584040065517
Ashland Blazer,28.4772103715097
Atherton,-48.4034018128095
Ballard,17.5373941383162
Ballard Memorial,-28.4099163773244
Bardstown,17.5339387404537
Barren County,2.3109118706508
Bath County,-17.6026321647271
Beechwood,31.7374670067732
Belfry,27.2677726074213
Bell County,31.7797191376263
Bellevue,-11.2455332525757
Berea,-35.9449958310526
Bethlehem,-36.3032528156534
Betsy Layne,-18.1420406904004
Bishop Brossart,-29.9093156014655
Boone County,35.0625588427841
Bourbon County,6.83432815257655
Bowling Green,63.9198626649384
Boyd County,-6.5535593294195
Boyle County,39.2445190087393
Bracken County,-44.2291263385995
Breathitt County,22.7860127954182
Breckinridge County,-36.8040864377803
Bryan Station,22.4342421870565
Bullitt Central,-0.647692428507801
Bullitt East,-1.68831216863511
Butler,34.3171382688992
Butler County,6.39022702703476
Caldwell County,-1.51286107452676
Calloway County,-13.9287445316421
Campbell County,14.9664609351654
Campbellsville,-7.01270545889998
Carroll County,-15.665333878237
Casey County,-6.54920348251502
Caverna,-45.2348227625179
Central,35.7001418314255
Central Hardin,12.9828624330554
Christian Academy-Louisville,8.23380880089671
Christian County,28.6910409617505
Clay County,-7.67905831185035
Clinton County,-52.1909757246752
Collins,26.5184665518086
Conner,29.0552827641093
Cooper,22.8660200176298
Corbin,1.82104379115396
Covington Catholic,46.4741273485422
Crittenden County,-15.9071102209077
Danville,20.5098269830365
Daviess County,-9.92766860276778
Dayton,-34.9601107175948
DeSales,11.6071021307075
Dixie Heights,14.9299473489318
Doss,-2.28774262535705
DuPont Manual,35.8739551888741
East Carter,-29.6459563921336
East Jessamine,7.99781584344907
East Ridge,-45.0052488441123
Eastern,26.8692469032183
Edmonson County,14.9365859319479
Elizabethtown,-26.6970013821331
Eminence,-23.8676469462098
Estill County,-16.2050023154927
Fairdale,-10.8106682912689
