Names,Elo
Adair County,1441.06093285297
Allen Central,1414.01380407728
Allen County-Scottsville,1514.36299190242
Anderson County,1481.07588075017
Apollo,1562.85543631173
Ashland Blazer,1625.98406530301
Atherton,1348.38129706365
Ballard,1538.20516801957
Ballard Memorial,1369.54134418019
Bardstown,1653.00074748465
Barren County,1413.59859565606
Bath County,1483.82034608712
Beechwood,1628.22541130292
Belfry,1649.46033945693
Bell County,1629.30274535477
Bellevue,1496.40789061344
Berea,1358.81788258023
Bethlehem,1601.11851862725
Boone County,1558.42652656177
Bourbon County,1355.79638742522
Bowling Green,1718.44445080763
Boyd County,1505.6382737189
Boyle County,1568.39128958632
Bracken County,1367.72550591012
Breathitt County,1556.53982924832
Breckinridge County,1347.04277094689
Bryan Station,1421.66585159931
Bullitt Central,1397.32477685132
Bullitt East,1562.36580922723
Butler,1474.75395440454
Butler County,1492.1384843464
Caldwell County,1627.09483522704
Calloway County,1439.25452024556
Campbell County,1574.5288932567
Campbellsville,1427.85281712932
Carroll County,1452.8709382998
Casey County,1396.01005642602
Caverna,1378.99047094943
Cawood,1417.05152497642
Central,1626.6752393841
Central Hardin,1448.54944497761
Christian Academy-Louisville,1433.05132056315
Christian County,1595.59352099388
Clay County,1537.24649684729
Conner,1442.77689610019
Corbin,1563.53241602501
Covington Catholic,1711.52139217505
Crittenden County,1487.95451940187
Cumberland,1507.01052322809
Danville,1682.73728584062
Daviess County,1460.39376099661
Dayton,1519.00179871563
DeSales,1561.80252262187
Dixie Heights,1542.63890165787
Doss,1531.28397450954
DuPont Manual,1585.03624866962
East Carter,1520.50262913007
East Jessamine,1564.50660685142
East Ridge,1435.99645018485
Eastern,1434.63451654169
Edmonson County,1467.32883743766
Elizabethtown,1532.1645388113
Estill County,1441.71420934485
Evarts,1401.51148350763
Fairdale,1465.17495953885
Fairview,1495.49612532699
Fern Creek,1445.47930492688
Fleming County,1575.33091134966
Fort Campbell,1599.30968130179
Fort Knox,1370.39593714843
Frankfort,1586.84269012003
Franklin County,1597.0002506478
Franklin-Simpson,1543.53405835076
Fulton City,1440.60907190552
Fulton County,1477.50386135901
Garrard County,1406.38642273774
George Rogers Clark,1571.10507778248
Glasgow,1497.69031328629
Grant County,1445.88358104161
Graves County,1594.6261699299
Grayson County,1409.66935745614
Green County,1496.02439217696
Greenup County,1414.59888769485
Greenwood,1465.602965733
Hancock County,1481.58205890916
Harlan,1550.13043920824
Harrison County,1517.03375510307
Hart County,1375.13482255293
Hazard,1573.76985079931
Heath,1476.51884827098
Henderson County,1648.6277429428
Henry Clay,1666.21452186948
Henry County,1449.12439970084
Highlands,1615.34322037958
Holmes,1448.28882323944
Holy Cross (Covington),1550.55430766591
Holy Cross (Louisville),1545.48018780312
Hopkins County Central,1379.2121245372
Hopkinsville,1579.70811711041
Iroquois,1395.5930138612
Jeffersontown,1423.12382902709
Jenkins,1456.91873337826
John Hardin,1565.2829179328
Johnson Central,1669.56232049102
Kentucky Country Day,1483.90122425706
Knott County Central,1433.68225187632
Knox Central,1498.4595368489
Lafayette,1638.2498864277
LaRue County,1600.71278833268
Lawrence County,1459.94327700431
Leslie County,1533.00204021451
Letcher County Central,1460.77817692811
Lewis County,1422.31324753352
Lexington Catholic,1669.45286924229
Lexington Christian,1606.01352536137
Lincoln County,1599.16596401091
Lloyd Memorial,1487.18278323414
Logan County,1390.85094637331
Lone Oak,1498.78777805697
Ludlow,1453.71815369196
Lynn Camp,1468.32692674937
Madison Central,1534.82263302284
Madison Southern,1498.90359493831
Madisonville-North Hopkins,1498.46626016254
Magoffin County,1406.0286741502
Male,1679.22744620904
Marion County,1503.19109618007
Marshall County,1547.10771787857
Mason County,1564.08717245786
Mayfield,1625.25745193032
McLean County,1497.05678400932
Meade County,1544.56120631722
Mercer County,1693.1838212171
Metcalfe County,1584.44787386065
Middlesboro,1629.26052243314
Monroe County,1551.22381208751
Montgomery County,1474.37654848973
Moore,1428.95291227954
Morgan County,1450.42505763628
Muhlenberg South,1380.60495588584
Murray,1504.35464664266
Nelson County,1422.35476214735
Newport,1579.49171510191
Newport Central Catholic,1653.46547849901
Nicholas County,1383.44026513989
North Bullitt,1543.07756150806
North Hardin,1515.77300014422
North Laurel,1446.92084649728
North Oldham,1350.91050188577
