name,region,id,rating,massey,colley,elo,wins,losses,games_played
Madisonville-North Hopkins,2,152,59.69,65.69,53.71,59.66,19,10,29
North Bullitt,6,178,59.46,64.25,55.08,59.06,22,9,31
Woodford County,11,268,59.39,66.55,54.33,57.28,17,15,31
Owen County,8,185,58.26,62.81,52.51,59.45,18,10,24
Boyd County,16,27,58.07,65.78,50.25,58.18,19,14,31
Kentucky Country Day,7,129,57.67,67.4,53.38,52.23,17,11,27
Franklin County,11,90,57.51,69.05,51.87,51.6,15,13,28
Marion County,5,155,57.45,65.73,55.67,50.95,19,10,29
South Warren,4,230,57.26,65.25,51.8,54.73,15,15,30
Green County,5,101,56.75,62.02,53.32,54.91,18,12,30
South Laurel,13,228,56.4,67.42,51.14,50.66,15,14,27
Conner,9,57,56.31,68.22,48.83,51.89,11,15,26
Mercer County,12,164,56.13,68.26,49.3,50.82,11,12,20
Adair County,5,1,55.89,63.69,50.34,53.64,17,14,31
Paducah Tilghman,1,189,55.58,63.48,49.99,53.28,15,13,25
Letcher County Central,14,138,55.24,61.77,49.46,54.49,18,11,24
Wolfe County,14,267,55.24,62.26,51.99,51.46,17,12,29
Danville,12,65,55.02,67,48.3,49.77,13,15,28
Thomas Nelson,5,241,54.93,67.58,51.11,46.08,16,13,29
Warren East,4,255,54.12,61.39,52.57,48.4,15,11,26
Webster County,2,258,54.01,60.88,48.35,52.8,18,10,27
Elliott County,16,79,53.72,57.49,50.55,53.13,18,10,27
East Carter,16,73,53.64,58.42,49.31,53.2,15,14,27
Ohio County,3,182,53.55,65.17,46.24,49.25,14,14,27
Grant County,8,98,53.41,59.31,44.47,56.45,15,14,26
Henry County,8,112,53.35,61.1,49.55,49.41,20,11,30
Whitley County,13,264,53.34,61.65,51.26,47.11,17,13,30
Cordia,14,60,52.77,74.95,37.32,46.03,0,32,9
Somerset,12,226,52.69,64,46.23,47.83,13,15,28
North Oldham,8,181,52.33,64.57,45.43,46.99,11,17,28
Central,7,49,52.3,66.3,43.01,47.58,9,20,29
Greenwood,4,103,52.23,64.25,44.87,47.56,12,16,28
Caldwell County,2,40,52.15,64.38,44.01,48.06,17,12,29
Glasgow,4,97,51.99,60.4,47.05,48.53,15,12,27
Magoffin County,15,153,51.97,57.12,47.79,51.01,15,13,26
Estill County,14,81,51.92,59.04,46.77,49.95,19,12,31
Sayre,11,216,51.85,52.13,49.34,54.07,18,10,28
East Ridge,15,75,51.64,59.88,43.97,51.07,16,11,23
Lewis County,16,139,51.57,57.99,44.07,52.65,17,14,29
Murray,1,173,51.51,54.56,46.05,53.93,15,11,25
LaRue County,5,133,51.5,60.91,44.07,49.52,16,14,30
McLean County,3,161,51.29,59.5,45.36,49.01,13,13,26
North Hardin,5,179,50.8,61.19,41.04,50.17,8,21,29
Seneca,7,219,50.7,64.43,42.73,44.95,7,21,24
Tates Creek,11,239,50.62,64.87,44.42,42.58,8,18,26
Mayfield,1,158,50.45,58.55,41.36,51.44,13,16,28
Newport,9,175,49.92,56.07,43.48,50.2,15,11,23
George Rogers Clark,10,96,49.86,65.59,41.43,42.56,9,20,29
Hancock County,3,104,49.54,58.34,44.8,45.49,19,8,25
Highlands,9,115,49.46,59.39,39.82,49.17,9,15,22
Model,11,167,49.22,58.94,42.12,46.61,17,11,28
Barbourville,13,11,49.13,60.52,41.93,44.95,18,13,21
Trigg County,2,243,48.98,53.95,41.97,51.03,18,8,26
Ludlow,9,147,48.91,57.38,39.39,49.97,15,11,25
Paintsville,15,190,48.53,57.36,39.35,48.87,10,14,22
Scott,10,217,48.5,62.82,38.73,43.95,9,20,27
North Laurel,13,180,47.73,60.19,41.71,41.3,13,18,30
Allen County-Scottsville,4,3,47.27,60.15,39.59,42.06,11,18,29
Pike County Central,15,197,47.19,54.57,42.57,44.44,15,11,23
Harlan County,13,106,47.18,56.58,40.24,44.73,14,15,25
Hickman County,1,114,47.1,50.7,40,50.6,14,11,23
Madison Southern,11,151,46.8,58.86,36.71,44.82,13,17,29
Bethlehem,5,21,46.78,61.45,35.23,43.65,10,14,24
Leslie County,14,137,46.74,51.08,40.47,48.68,16,14,29
Williamsburg,13,265,46.73,53.19,37.69,49.31,16,17,31
Pikeville,15,198,46.62,57.29,37.42,45.14,11,18,29
Casey County,12,47,46.41,58.1,37.02,44.12,12,21,30
Greenup County,16,102,46.15,56.43,34.99,47.02,13,16,27
Christian County,2,52,45.51,58.76,36.8,40.98,8,18,18
Fort Knox,5,88,45.47,55.35,38,43.05,10,16,26
Gallatin County,8,94,45.41,55.58,38.47,42.17,15,12,22
Garrard County,12,95,45.37,57.69,38.19,40.24,11,18,29
Paris,10,191,45.1,57.36,37.69,40.27,13,16,29
Union County,2,247,44.41,56.82,34.61,41.79,12,20,25
Butler County,3,39,44.27,52.43,40.15,40.24,14,11,25
Atherton,7,7,44.09,55.54,39.07,37.67,6,18,24
Morgan County,16,171,43.73,53.27,40.69,37.23,13,14,27
Prestonsburg,15,203,42.65,49.98,36.21,41.76,15,18,33
West Carter,16,259,42.5,49.32,33.64,44.55,10,14,24
Russellville,4,214,42.26,50.73,32.75,43.29,11,19,28
Rockcastle County,12,209,42.12,54.85,33.5,37.99,12,18,30
Powell County,14,202,42,53.26,35.17,37.57,11,19,30
Whitefield Academy,6,263,41.79,56.18,33.79,35.4,10,16,26
Grayson County,3,100,41.63,54.2,31.22,39.46,11,18,29
Holy Cross (Covington),9,117,41.54,51.55,31.02,42.06,7,19,25
Logan County,4,145,41.27,51.5,32.64,39.67,6,15,18
Franklin-Simpson,4,91,41.05,53.3,28.96,40.89,8,19,24
Carroll County,8,46,40.73,51.57,32.03,38.59,15,13,27
Caverna,5,48,40.58,52.65,33.1,36,11,16,27
Spencer County,8,233,40.12,54.18,31.15,35.04,8,20,28
Harlan,13,105,40,52.91,34.18,32.9,15,13,25
Southern,6,231,39.68,52.57,30.53,35.95,5,17,22
Edmonson County,3,77,39.16,54.33,28.99,34.15,9,16,25
Raceland,16,205,39.09,50.27,31.83,35.18,14,13,25
Moore,6,170,38.82,56.03,26.81,33.61,4,24,26
Middlesboro,13,166,38.26,47,27.63,40.17,10,21,31
Robertson County,10,208,38.21,45.82,31.04,37.77,15,14,29
Trimble County,8,244,38.11,47.8,30.25,36.29,11,15,26
