name,region,id,rating,massey,colley,elo,wins,losses,games_played
Adair County,5,1,NaN,NaN,40.48,42.76,2,1,3
Allen County-Scottsville,4,2,NaN,NaN,64.48,58.81,4,1,5
Anderson County,8,3,NaN,NaN,45.88,55.8,2,2,4
Apollo,3,4,NaN,NaN,30.7,34.59,1,4,5
Ashland Blazer,16,5,NaN,NaN,74.97,78.01,5,1,6
Augusta,10,6,NaN,NaN,44.03,35.15,2,2,4
Ballard Memorial,1,7,NaN,NaN,44.03,26.07,1,5,6
Barbourville,13,8,NaN,NaN,33.36,42.84,2,2,4
Bardstown,5,9,NaN,NaN,43.3,64.05,2,2,4
Barren County,4,10,NaN,NaN,54.47,58.98,4,3,7
Bath County,16,11,NaN,NaN,38.55,44.61,1,2,2
Beechwood,9,12,NaN,NaN,62.6,64.96,4,1,4
Belfry,15,13,NaN,NaN,43.25,41.82,4,2,6
Bell County,13,14,NaN,NaN,24.49,37.15,1,5,5
Bellevue,9,15,NaN,NaN,21.32,18.66,0,4,4
Berea,11,16,NaN,NaN,43.1,45.15,1,2,2
Beth Haven,6,17,NaN,NaN,32.02,28.62,3,2,4
Bethlehem,5,18,NaN,NaN,17.33,26.19,0,7,7
Betsy Layne,15,19,NaN,NaN,34,42.39,2,4,6
Bishop Brossart,10,20,NaN,NaN,48.29,56.87,4,2,6
Boone County,9,21,NaN,NaN,30.34,37.1,1,3,4
Bourbon County,10,22,NaN,NaN,41.9,59.97,2,3,5
Bowling Green,4,23,NaN,NaN,76.42,74.08,4,0,4
Boyd County,16,24,NaN,NaN,54.65,56.73,4,2,6
Boyle County,12,25,NaN,NaN,71.59,59.11,3,0,3
Bracken County,10,26,NaN,NaN,29.35,39.11,2,5,7
Breathitt County,14,27,NaN,NaN,57.21,48.37,4,1,5
Breckinridge County,3,28,NaN,NaN,17.54,43.1,1,3,4
Bryan Station,11,29,NaN,NaN,44.03,50.53,2,0,2
Buckhorn,14,30,NaN,NaN,46.43,43.45,3,2,5
Bullitt Central,6,31,NaN,NaN,31.4,44.04,1,2,3
