date,win_team,lose_team,win_score,lose_score,location,date_comments,overtime,cross_region,lose_id,win_id
2021-01-04,Walton-Verona,Williamstown,68,44,2,8th Region All \xe2\x80\x9cA\xe2\x80\x9d Classic,0,0,237,225
2021-01-04,Beechwood,Bishop Brossart,62,52,1,,0,0,20,12
2021-01-04,Berea,Barbourville,73,60,1,,0,0,8,16
2021-01-04,Bowling Green,Barren County,65,40,0,,0,0,10,23
2021-01-04,Breathitt County,Lee County,91,55,0,,0,0,122,27
2021-01-04,Campbell County,Calvary Christian,83,59,1,,0,0,37,38
2021-01-04,Christian Academy-Louisville,Bethlehem,90,56,1,,0,0,18,45
2021-01-04,Collins,Franklin County,65,45,0,,0,0,78,49
2021-01-04,Covington Catholic,Dixie Heights,71,46,0,,0,0,64,55
2021-01-04,Danville Christian,Whitefield Academy,65,39,1,,0,0,234,60
2021-01-04,East Ridge,Letcher County Central,79,76,1,,0,0,124,67
2021-01-04,Elizabethtown,DeSales,73,70,0,,0,0,63,69
2021-01-04,George Rogers Clark,Paris,89,28,0,,0,0,175,85
2021-01-04,Greenup County,Rose Hill Christian,58,49,1,,0,0,191,92
2021-01-04,Harlan,Elliott County,62,48,0,,0,0,70,95
2021-01-04,Hart County,Campbellsville,69,62,0,,0,0,39,98
2021-01-04,Highlands,Ashland Blazer,84,75,1,,0,0,5,105
2021-01-04,Holmes,Ludlow,75,50,1,,0,0,133,107
2021-01-04,Holy Cross (Louisville),Kentucky Country Day,68,64,1,,0,0,116,109
2021-01-04,Johnson Central,Raceland,72,56,1,,0,0,187,114
2021-01-04,Knox Central,Perry County Central,62,37,1,,0,0,178,118
2021-01-04,Lawrence County,Phelps,60,40,1,,0,0,179,121
2021-01-04,Marshall County,Trigg County,62,61,0,,0,0,217,141
2021-01-04,Mercer County,Frankfort Christian,77,39,1,,0,0,77,150
2021-01-04,North Laurel,Pikeville,100,77,1,,0,0,181,165
2021-01-04,Owensboro Catholic,Evangel Christian,82,41,1,,0,0,73,171
2021-01-04,Rowan County,Martin County,69,47,1,,0,0,142,192
2021-01-04,Thomas Nelson,Beth Haven,72,69,0,,0,0,17,215
2021-01-04,Union County,Apollo,74,69,1,(overtime),1,0,4,221
2021-01-04,Webster County,Caldwell County,66,50,1,,0,0,35,230
2021-01-04,Whitley County,Lynn Camp,61,58,1,,0,0,134,235
2021-01-05,Gallatin County,Trimble County,70,58,2,8th Region All \xe2\x80\x9cA\xe2\x80\x9d Classic,0,0,218,83
2021-01-05,Allen County-Scottsville,Monroe County,73,30,0,,0,0,154,2
2021-01-05,Barbourville,Williamsburg,78,68,1,,0,0,236,8
2021-01-05,Belfry,Prestonsburg,83,62,0,,0,0,185,13
2021-01-05,Campbellsville,Evangel Christian,61,60,1,(overtime),1,0,73,39
2021-01-05,Carlisle County,Calloway County,65,49,1,,0,0,36,40
2021-01-05,Clinton County,Cumberland County,60,53,0,,0,0,58,48
2021-01-05,Cooper,Simon Kenton,59,50,1,,0,0,202,52
2021-01-05,Covington Catholic,Ryle,79,32,1,,0,0,196,55
2021-01-05,Daviess County,Breckinridge County,77,40,1,,0,0,28,61
2021-01-05,East Jessamine,Madison Southern,60,59,1,,0,0,137,66
2021-01-05,Frederick Douglass,Paris,80,61,0,,0,0,175,80
2021-01-05,George Rogers Clark,Harrison County,89,56,0,,0,0,97,85
2021-01-05,Greenwood,Glasgow,78,68,0,,0,0,86,93
2021-01-05,Harlan County,Barren County,63,51,0,,0,0,10,96
2021-01-05,Henry County,Anderson County,68,67,1,,0,0,3,102
2021-01-05,Hickman County,Fulton County,67,60,1,,0,0,82,104
2021-01-05,Highlands Latin,Eminence,70,47,0,,0,0,71,242
2021-01-05,Letcher County Central,Lee County,76,72,1,,0,0,122,124
2021-01-05,Lexington Catholic,Lexington Christian,86,53,0,,0,0,127,126
2021-01-05,Lincoln County,Pulaski County,67,55,1,,0,0,186,128
2021-01-05,Lyon County,Crittenden County,78,57,0,,0,0,57,135
2021-01-05,Madison Central,Scott County,85,83,1,,0,0,199,136
2021-01-05,Marshall County,Thomas Nelson,77,54,0,,0,0,215,141
2021-01-05,Mason County,Lewis County,63,43,1,,0,0,125,143
2021-01-05,McCracken County,Graves County,70,40,1,,0,0,88,145
2021-01-05,McLean County,Trigg County,65,40,1,,0,0,217,147
2021-01-05,Metcalfe County,Green County,59,57,1,,0,0,91,151
2021-01-05,Montgomery County,Bourbon County,85,44,1,,0,0,22,155
2021-01-05,Newport Central Catholic,Newport,77,44,1,,0,0,160,161
2021-01-05,Nicholas County,St. Patrick,77,30,0,,0,0,211,162
2021-01-05,Ohio County,Grayson County,63,40,1,,0,0,89,167
2021-01-05,Paducah Tilghman,University Heights,78,60,1,,0,0,222,173
2021-01-05,Paintsville,Betsy Layne,70,63,0,,0,0,19,174
2021-01-05,Paul Laurence Dunbar,Tates Creek,61,57,0,,0,0,213,176
2021-01-05,Pendleton County,Bellevue,61,48,0,,0,0,15,177
2021-01-05,Pike County Central,Magoffin County,55,54,1,,0,0,139,180
2021-01-05,Pineville,Perry County Central,63,60,1,,0,0,178,182
2021-01-05,Raceland,Rose Hill Christian,69,37,1,,0,0,191,187
2021-01-05,Russell,Greenup County,59,49,0,,0,0,92,193
2021-01-05,Russell County,Taylor County,58,54,1,,0,0,214,194
2021-01-05,Russellville,Caverna,57,42,0,,0,0,43,195
2021-01-05,Shelby Valley,West Carter,77,51,1,,0,0,231,201
2021-01-05,Somerset,Rockcastle County,66,49,0,,0,0,190,203
2021-01-05,South Laurel,Middlesboro,63,15,1,,0,0,152,204
2021-01-05,St. Xavier,Louisville Collegiate,81,45,1,,0,0,132,212
2021-01-05,Trinity (Louisville),Bardstown,73,56,0,,0,0,9,219
2021-01-05,Washington County,Bethlehem,70,57,1,,0,0,18,228
2021-01-05,Webster County,Murray,72,62,1,,0,0,158,230
