date,win_team,lose_team,win_score,lose_score,location,date_comments,overtime,cross_region
2011-11-28,Bishop Brossart,Silver Grove,83,15,1,,0,0
2011-11-28,Bullitt East,Tates Creek,77,50,1,,0,0
2011-11-28,Crittenden County,Community Christian (Paducah),58,42,0,,0,0
2011-11-28,DeSales,Spencer County,65,55,0,,0,0
2011-11-28,Fort Knox,Caverna,45,36,0,,0,0
2011-11-28,Graves County,Hickman County,66,47,0,,0,0
2011-11-28,Heritage Academy,Calvary Christian,59,55,0,,0,0
2011-11-28,Livingston Central,Hopkins County Central,68,59,1,,0,0
2011-11-28,Louisville Collegiate,Shelby County,93,65,0,,0,0
2011-11-28,Paris,Frankfort,71,69,0,(overtime),1,0
2011-11-28,Red Bird,Riverside Christian,99,32,0,,0,0
2011-11-28,Reidland,Murray,53,45,1,,0,0
2011-11-28,South Floyd,Piarist School,95,66,0,,0,0
2011-11-28,St. Mary,Lyon County,73,50,0,,0,0
2011-11-28,St. Patrick,Nicholas County,74,62,0,,0,0
2011-11-29,Adair County,Elizabethtown,54,50,0,,0,0
2011-11-29,Allen County-Scottsville,South Warren,53,38,0,,0,0
2011-11-29,Apollo,Butler County,68,60,0,,0,0
2011-11-29,Ashland Blazer,Lewis County,90,50,1,,0,0
2011-11-29,Augusta,Deming,83,66,1,,0,0
2011-11-29,Ballard,Scott County,85,76,1,,0,0
2011-11-29,Barren County,Green County,71,55,1,,0,0
2011-11-29,Bell County,Whitley County,63,50,1,,0,0
2011-11-29,Berea,Lynn Camp,44,26,0,,0,0
2011-11-29,Bethlehem,Hart County,77,54,1,,0,0
2011-11-29,Betsy Layne,Phelps,61,41,0,,0,0
2011-11-29,Bishop Brossart,St. Henry,62,52,1,,0,0
2011-11-29,Boone County,Ryle,84,82,0,(overtime),1,0
2011-11-29,Boyd County,Russell,54,40,1,,0,0
2011-11-29,Bracken County,Silver Grove,91,46,0,,0,0
2011-11-29,Burgin,Portland Christian,69,55,0,,0,0
2011-11-29,Carroll County,Dayton,77,62,0,,0,0
2011-11-29,Central,St. Xavier,73,72,0,,0,0
2011-11-29,Central Hardin,Nelson County,65,43,0,,0,0
2011-11-29,Clinton County,North Laurel,67,55,1,,0,0
2011-11-29,Collins,Gallatin County,61,58,1,,0,0
2011-11-29,Cooper,Walton-Verona,55,48,1,,0,0
2011-11-29,Cordia,South Floyd,68,57,0,,0,0
2011-11-29,DeSales,Kentucky Country Day,42,38,1,,0,0
2011-11-29,Doss,North Hardin,77,70,1,,0,0
2011-11-29,DuPont Manual,Waggener,95,55,1,,0,0
2011-11-29,East Jessamine,Estill County,89,39,1,,0,0
2011-11-29,Eastern,Atherton,78,61,0,,0,0
2011-11-29,Edmonson County,Monroe County,37,33,0,,0,0
2011-11-29,Elliott County,Rose Hill Christian,77,70,0,,0,0
2011-11-29,Fern Creek,Seneca,88,70,1,,0,0
2011-11-29,Fulton City,Reidland,51,49,0,,0,0
2011-11-29,Garrard County,Bath County,63,39,0,,0,0
2011-11-29,George Rogers Clark,Covington Catholic,54,49,0,,0,0
2011-11-29,Hazard,Owsley County,61,33,1,,0,0
2011-11-29,Holmes,Scott,64,55,1,,0,0
2011-11-29,Holy Cross (Louisville),Evangel Christian,77,37,1,,0,0
2011-11-29,Hopkinsville,Logan County,78,72,1,,0,0
2011-11-29,Jackson County,Pineville,54,34,1,,0,0
2011-11-29,Jeffersontown,Fairdale,82,56,1,,0,0
2011-11-29,Knott County Central,Jenkins,69,31,1,,0,0
2011-11-29,Lexington Christian,Christian Academy-Louisville,71,60,0,,0,0
2011-11-29,Lone Oak,Fulton County,51,49,0,,0,0
2011-11-29,Louisville Collegiate,Whitefield Academy,59,48,1,,0,0
2011-11-29,Madison Central,Madison Southern,88,71,0,,0,0
2011-11-29,Madisonville-North Hopkins,Daviess County,66,59,1,,0,0
2011-11-29,Male,Shawnee,79,34,1,,0,0
2011-11-29,Marion County,Mercer County,79,68,1,,0,0
2011-11-29,Marshall County,Ballard Memorial,77,47,0,,0,0
2011-11-29,McLean County,Owensboro,63,42,1,,0,0
2011-11-29,Model,Monticello,62,46,1,,0,0
2011-11-29,Montgomery County,Menifee County,84,49,1,,0,0
2011-11-29,Moore,Butler,72,58,1,,0,0
2011-11-29,Muhlenberg County,Russellville,87,58,0,,0,0
2011-11-29,Newport,Calvary Christian,99,31,1,,0,0
2011-11-29,North Oldham,Bullitt Central,43,37,0,,0,0
2011-11-29,Ohio County,Hopkins County Central,88,47,1,,0,0
2011-11-29,Owen County,Western Hills,63,55,0,,0,0
2011-11-29,Paul Laurence Dunbar,Nicholas County,88,42,1,,0,0
2011-11-29,Pleasure Ridge Park,Western,97,59,1,,0,0
2011-11-29,Powell County,Jackson City,81,56,1,,0,0
2011-11-29,Russell County,Lincoln County,72,65,0,(overtime),1,0
2011-11-29,Simon Kenton,Harrison County,63,61,1,,0,0
2011-11-29,South Laurel,Harlan,82,50,1,,0,0
2011-11-29,Southern,Valley,74,51,1,,0,0
2011-11-29,St. Mary,Carlisle County,86,58,1,,0,0
2011-11-29,Taylor County,Washington County,70,55,1,,0,0
2011-11-29,Trigg County,Dawson Springs,99,28,1,,0,0
