Name,Region
Adair County,3
Allen County-Scottsville,4
Anderson County,5
Apollo,5
Ashland Blazer,4
Atherton,5
Ballard,6
Ballard Memorial,2
Bardstown,3
Barren County,5
Bath County,3
Beechwood,1
Belfry,3
Bell County,3
Bellevue,1
Berea,1
Bethlehem,1
Betsy Layne,2
Bishop Brossart,1
Boone County,6
Bourbon County,4
Bowling Green,5
Boyd County,4
Boyle County,3
Bracken County,1
Breathitt County,3
Breckinridge County,4
Bryan Station,6
Bullitt Central,5
Bullitt East,5
Butler,6
Butler County,2
Caldwell County,3
Calloway County,4
Campbell County,6
Campbellsville,1
Carroll County,2
Casey County,3
Caverna,1
Central,3
Central Hardin,6
Christian Academy-Louisville,2
Christian County,5
Clay County,4
Clinton County,2
Collins,4
Conner,6
Cooper,6
Corbin,3
Covington Catholic,5
Crittenden County,1
Danville,2
Daviess County,6
Dayton,1
DeSales,2
Dixie Heights,5
Doss,5
DuPont Manual,6
East Carter,4
East Jessamine,4
East Ridge,2
Eastern,6
Edmonson County,3
Elizabethtown,3
Eminence,1
Estill County,3
Fairdale,5
Fairview,1
Fern Creek,5
Fleming County,3
Floyd Central,3
Fort Campbell,3
Fort Knox,1
Frankfort,1
Franklin County,4
Franklin-Simpson,4
Frederick Douglass,6
Fulton City,1
Fulton County,1
Gallatin County,2
Garrard County,3
George Rogers Clark,6
Glasgow,2
Grant County,5
Graves County,5
Grayson County,5
Green County,2
Greenup County,4
Greenwood,5
Hancock County,2
Harlan,1
Harlan County,5
Harrison County,4
Hart County,3
Hazard,1
Henderson County,6
Henry Clay,6
Henry County,3
Highlands,5
Holmes,4
Holy Cross (Covington),2
Holy Cross (Louisville),1
Hopkins County Central,4
Hopkinsville,4
Iroquois,5
Jackson County,3
Jeffersontown,6
Jenkins,1
John Hardin,4
Johnson Central,4
Kentucky Country Day,1
Knott County Central,3
Knox Central,4
LaRue County,3
Lafayette,6
Lawrence County,3
Leslie County,2
Letcher County Central,5
Lewis County,3
Lexington Catholic,3
Lexington Christian,2
Lincoln County,5
Lloyd Memorial,2
Logan County,4
Ludlow,1
Lynn Camp,1
Madison Central,6
Madison Southern,5
Madisonville-North Hopkins,4
Magoffin County,3
Male,6
Marion County,4
Marshall County,5
Mason County,4
Mayfield,2
McCracken County,6
McCreary Central,3
McLean County,2
Meade County,6
Mercer County,4
Metcalfe County,2
Middlesboro,2
Monroe County,2
Montgomery County,5
Moore,3
Morgan County,3
Muhlenberg County,6
Murray,2
Nelson County,5
Newport,2
Newport Central Catholic,2
Nicholas County,1
North Bullitt,5
North Hardin,6
North Laurel,5
North Oldham,4
Ohio County,6
Oldham County,5
Owen County,2
Owensboro,5
Owensboro Catholic,2
Paducah Tilghman,3
Paintsville,1
Paris,1
Paul Laurence Dunbar,6
Pendleton County,3
Perry County Central,5
Phelps,1
Pike County Central,3
Pikeville,1
Pineville,1
Pleasure Ridge Park,6
Powell County,3
Prestonsburg,2
Pulaski County,5
Raceland,1
Rockcastle County,4
Rowan County,4
Russell,3
Russell County,4
Russellville,1
Ryle,6
Sayre,NaN
Scott,4
Scott County,6
Seneca,6
Shawnee,2
Shelby County,4
Shelby Valley,2
Sheldon Clark,3
Simon Kenton,6
Somerset,2
South Laurel,5
South Oldham,5
South Warren,4
Southern,5
Southwestern,5
Spencer County,4
St. Xavier,6
Tates Creek,6
Taylor County,4
Thomas Nelson,3
Todd County Central,2
Trigg County,3
Trimble County,2
Trinity (Louisville),6
Union County,3
Valley,4
Waggener,3
Walton-Verona,2
Warren Central,4
Warren East,4
Washington County,2
Wayne County,4
Webster County,2
West Carter,3
West Jessamine,4
Western,4
Western Hills,3
Whitley County,5
Williamsburg,1
Woodford County,5
