Name,Region
Newport Central Catholic,1
Beechwood,1
Fairview,1
Lexington Christian,1
Ludlow,1
Paris,1
Raceland,1
Bellevue,1
Dayton,1
Holy Cross (Covington),1
Nicholas County,1
Bath County,1
Bracken County,1
Berea,1
Holy Cross (Louisville),1
Danville,1
Bardstown,1
Frankfort,1
Campbellsville,1
Christian Academy-Louisville,1
Carroll County,1
Harrodsburg,1
Fort Knox,1
Bethlehem,1
Owen County,1
Evangel Christian,1
Trimble County,1
Green County,1
Hancock County,1
Crittenden County,1
Murray,1
Mayfield,1
Caverna,1
Russellville,1
Fulton City,1
Metcalfe County,1
Ballard Memorial,1
Fulton County,1
McLean County,1
Williamsburg,1
Pikeville,1
Harlan,1
South Floyd,1
Lynn Camp,1
Cumberland,1
Paintsville,1
Phelps,1
Somerset,1
Allen Central,1
Hazard,1
Evarts,1
Jenkins,1
Pineville,1
Fleming-Neon,1
Belfry,2
Breathitt County,2
Prestonsburg,2
Middlesboro,2
Leslie County,2
Shelby Valley,2
Pike County Central,2
Cawood,2
Magoffin County,2
Whitesburg,2
East Ridge,2
Knott County Central,2
Sheldon Clark,2
Fort Campbell,2
Trigg County,2
Owensboro Catholic,2
Glasgow,2
Butler County,2
Heath,2
Lone Oak,2
Hart County,2
Caldwell County,2
Muhlenberg South,2
Todd County Central,2
Monroe County,2
Edmonson County,2
Reidland,2
Elizabethtown,2
Corbin,2
Garrard County,2
DeSales,2
Western,2
LaRue County,2
Wayne County,2
Washington County,2
Shawnee,2
Russell County,2
Casey County,2
Moore,2
Russell,2
Fleming County,2
Newport,2
Morgan County,2
Henry County,2
East Carter,2
Mercer County,2
Lloyd Memorial,2
Powell County,2
West Carter,2
Estill County,2
North Oldham,2
Lewis County,2
Lexington Catholic,3
East Jessamine,3
Covington Catholic,3
Harrison County,3
Franklin County,3
Oldham County,3
West Jessamine,3
Grant County,3
Pendleton County,3
South Oldham,3
Western Hills,3
Highlands,3
Anderson County,3
Bourbon County,3
Boyle County,3
Waggener,3
Central,3
Southwestern,3
Bullitt East,3
Pulaski County,3
Doss,3
Fairdale,3
Jeffersontown,3
Lincoln County,3
Valley,3
Taylor County,3
Marion County,3
North Bullitt,3
Bell County,3
Ashland Blazer,3
Clay County,3
Rockcastle County,3
Boyd County,3
Greenup County,3
Rowan County,3
Perry County Central,3
Knox Central,3
Madison Southern,3
Lawrence County,3
Mason County,3
Bowling Green,3
Madisonville-North Hopkins,3
Hopkinsville,3
Franklin-Simpson,3
Paducah Tilghman,3
Logan County,3
Union County,3
Adair County,3
Hopkins County Central,3
Allen County-Scottsville,3
Warren East,3
Breckinridge County,3
Calloway County,3
Scott County,4
Madison Central,4
Tates Creek,4
Johnson Central,4
South Laurel,4
North Laurel,4
Lafayette,4
Henry Clay,4
Whitley County,4
George Rogers Clark,4
Paul Laurence Dunbar,4
Woodford County,4
Montgomery County,4
Bryan Station,4
St. Xavier,4
Male,4
North Hardin,4
DuPont Manual,4
Nelson County,4
Butler,4
John Hardin,4
Pleasure Ridge Park,4
Meade County,4
Central Hardin,4
Bullitt Central,4
Iroquois,4
Atherton,4
Henderson County,4
Christian County,4
Apollo,4
Graves County,4
Greenwood,4
Daviess County,4
Warren Central,4
Ohio County,4
Barren County,4
Marshall County,4
Owensboro,4
Grayson County,4
Conner,4
Dixie Heights,4
Trinity (Louisville),4
Boone County,4
Ballard,4
Campbell County,4
Fern Creek,4
Ryle,4
Shelby County,4
Eastern,4
Holmes,4
Southern,4
Simon Kenton,4
Scott,4
Seneca,4
