Name,Region
Adair County,3
Allen Central,1
Allen County-Scottsville,4
Anderson County,5
Apollo,5
Ashland Blazer,4
Atherton,4
Ballard,6
Ballard Memorial,2
Bardstown,2
Barren County,5
Bath County,3
Beechwood,1
Belfry,3
Bell County,3
Bellevue,1
Berea,1
Bethlehem,1
Betsy Layne,2
Bishop Brossart,2
Boone County,6
Bourbon County,3
Bowling Green,5
Boyd County,4
Boyle County,4
Bracken County,1
Breathitt County,3
Breckinridge County,4
Bryan Station,6
Bullitt Central,5
Bullitt East,5
Butler,6
Butler County,2
Caldwell County,2
Calloway County,4
Campbell County,6
Campbellsville,1
Carroll County,2
Casey County,3
Caverna,1
Central,3
Central Hardin,6
Christian Academy-Louisville,2
Christian County,5
Clay County,4
Clinton County,2
Collins,4
Conner,5
Cooper,5
Corbin,3
Covington Catholic,4
Crittenden County,2
Danville,2
Daviess County,6
Dayton,1
DeSales,2
Dixie Heights,6
Doss,4
DuPont Manual,6
East Carter,3
East Jessamine,5
East Ridge,3
Eastern,6
Edmonson County,3
Elizabethtown,3
Eminence,1
Estill County,3
Fairdale,4
Fairview,1
Fern Creek,6
Fleming County,3
Fort Campbell,3
Fort Knox,2
Frankfort,1
Franklin County,5
Franklin-Simpson,4
Fulton City,1
Fulton County,1
Gallatin County,2
Garrard County,3
George Rogers Clark,6
Glasgow,2
Grant County,5
Graves County,5
Grayson County,5
Green County,2
Greenup County,4
Greenwood,5
Hancock County,2
Harlan,1
Harlan County,5
Harrison County,4
Hart County,3
Hazard,1
Heath,3
Henderson County,6
Henry Clay,6
Henry County,3
Highlands,4
Holmes,4
Holy Cross (Covington),2
Holy Cross (Louisville),1
Hopkins County Central,4
Hopkinsville,5
Iroquois,5
Jackson County,3
Jeffersontown,5
Jenkins,1
John Hardin,5
Johnson Central,4
Kentucky Country Day,1
Knott County Central,3
Knox Central,4
LaRue County,3
Lafayette,6
Lawrence County,3
Leslie County,2
Letcher County Central,5
Lewis County,3
Lexington Catholic,4
Lexington Christian,2
Lincoln County,5
Lloyd Memorial,2
Logan County,5
Lone Oak,4
Ludlow,1
Lynn Camp,1
Madison Central,6
Madison Southern,5
Madisonville-North Hopkins,4
Magoffin County,3
Male,6
Marion County,4
Marshall County,6
Mason County,3
Mayfield,1
McCreary Central,3
McLean County,2
Meade County,6
Mercer County,4
Metcalfe County,2
Middlesboro,2
Monroe County,3
Montgomery County,5
Moore,4
Morgan County,3
Muhlenberg County,6
Murray,2
Nelson County,6
Newport,2
Newport Central Catholic,2
Nicholas County,1
North Bullitt,5
North Hardin,5
North Laurel,5
North Oldham,4
Ohio County,5
Oldham County,6
Owen County,2
Owensboro,4
Owensboro Catholic,2
Paducah Tilghman,3
Paintsville,1
Paris,1
Paul Laurence Dunbar,6
Pendleton County,4
Perry County Central,5
Phelps,1
Pike County Central,3
Pikeville,1
Pineville,1
Pleasure Ridge Park,6
Powell County,3
Prestonsburg,2
Pulaski County,5
Raceland,1
Reidland,2
Rockcastle County,4
Rowan County,4
Russell,3
Russell County,4
Russellville,1
Ryle,6
Scott,5
Scott County,6
Seneca,6
Shawnee,2
Shelby County,5
Shelby Valley,2
Sheldon Clark,3
Simon Kenton,6
Somerset,2
South Floyd,1
South Laurel,5
South Oldham,5
South Warren,3
Southern,6
Southwestern,5
Spencer County,4
St. Xavier,6
Tates Creek,6
Taylor County,4
Todd County Central,2
Trigg County,3
Trimble County,2
Trinity (Louisville),6
Union County,2
Valley,4
Waggener,4
Walton-Verona,2
Warren Central,5
Warren East,4
Washington County,2
Wayne County,3
Webster County,3
West Carter,3
West Jessamine,5
Western,4
Western Hills,3
Whitley County,5
Williamsburg,1
Woodford County,5
