Name,Region
Danville,1
Somerset,1
Bardstown,1
Holy Cross (Louisville),1
Campbellsville,1
Trimble County,1
Harrodsburg,1
Christian Academy-Louisville,1
Frankfort,1
Carroll County,1
Metcalfe County,1
Beechwood,1
Bellevue,1
Nicholas County,1
Newport Central Catholic,1
Paris,1
Berea,1
Dayton,1
Fairview,1
Holy Cross (Covington),1
Raceland,1
Ludlow,1
Mayfield,1
Trigg County,1
Murray,1
Ballard Memorial,1
Hancock County,1
Crittenden County,1
Russellville,1
Fulton City,1
Todd County Central,1
Fulton County,1
Pikeville,1
Hazard,1
Paintsville,1
Fleming-Neon,1
Pineville,1
Harlan,1
Evarts,1
Cumberland,1
South Floyd,1
Williamsburg,1
Phelps,1
Lynn Camp,1
Elkhorn City,1
Boyle County,2
Lexington Catholic,2
Mason County,2
Russell,2
Mercer County,2
Lloyd Memorial,2
Fleming County,2
West Carter,2
West Jessamine,2
Henry County,2
Newport,2
Garrard County,2
Owen County,2
Bath County,2
Glasgow,2
Reidland,2
Caldwell County,2
Webster County,2
Monroe County,2
Muhlenberg South,2
Edmonson County,2
McLean County,2
Hart County,2
Owensboro Catholic,2
Heath,2
Fort Campbell,2
Butler County,2
Green County,2
Corbin,2
LaRue County,2
Moore,2
Russell County,2
Washington County,2
Casey County,2
Elizabethtown,2
Shawnee,2
Wayne County,2
DeSales,2
Taylor County,2
Fort Knox,2
Western,2
Breathitt County,2
Middlesboro,2
Prestonsburg,2
Whitesburg,2
Belfry,2
Leslie County,2
Pike County Central,2
Shelby Valley,2
Powell County,2
Estill County,2
Betsy Layne,2
Morgan County,2
Highlands,3
Harrison County,3
Holmes,3
Franklin County,3
Bourbon County,3
Western Hills,3
Dixie Heights,3
Covington Catholic,3
Anderson County,3
Conner,3
Grant County,3
Scott,3
Montgomery County,3
Owensboro,3
Bowling Green,3
Paducah Tilghman,3
Warren Central,3
Calloway County,3
Franklin-Simpson,3
Hopkins County Central,3
Warren East,3
Union County,3
Lone Oak,3
Allen County-Scottsville,3
Muhlenberg North,3
Logan County,3
Breckinridge County,3
East Jessamine,3
Waggener,3
Southwestern,3
Lincoln County,3
North Bullitt,3
McCreary Central,3
Bullitt East,3
Central,3
Madison Southern,3
Pulaski County,3
Adair County,3
Atherton,3
Marion County,3
Valley,3
Rockcastle County,3
Sheldon Clark,3
Whitley County,3
Greenup County,3
Ashland Blazer,3
Bell County,3
Lawrence County,3
Cawood,3
Magoffin County,3
Rowan County,3
Knox Central,3
Knott County Central,3
East Carter,3
Male,4
St. Xavier,4
Oldham County,4
North Hardin,4
Meade County,4
DuPont Manual,4
South Oldham,4
Nelson County,4
Fairdale,4
Butler,4
Pleasure Ridge Park,4
Doss,4
Shelby County,4
Central Hardin,4
Bullitt Central,4
Trinity (Louisville),4
Henry Clay,4
Ryle,4
Bryan Station,4
Eastern,4
Boone County,4
Simon Kenton,4
Ballard,4
Seneca,4
Scott County,4
Jeffersontown,4
Fern Creek,4
Campbell County,4
Southern,4
Hopkinsville,4
Apollo,4
Marshall County,4
Madisonville-North Hopkins,4
Daviess County,4
Barren County,4
Graves County,4
Ohio County,4
Grayson County,4
Greenwood,4
Christian County,4
Henderson County,4
Johnson Central,4
Paul Laurence Dunbar,4
Tates Creek,4
Boyd County,4
Madison Central,4
George Rogers Clark,4
Clay County,4
South Laurel,4
Lafayette,4
Woodford County,4
North Laurel,4
Perry County Central,4
