253	108	58	51	7	1	0	0	
117	51	50	48	2	0	0	0	
169	180	55	44	11	2	0	0	
250	228	57	52	5	0	1	0	
49	176	65	52	13	2	0	0	
74	123	67	30	37	0	0	0	
106	47	61	58	3	2	1	0	
11	238	88	53	35	2	0	0	
115	78	49	9	40	2	0	0	
37	67	58	6	52	2	0	0	
118	256	61	51	10	2	0	0	
5	150	51	44	7	1	0	0	
214	6	92	21	71	1	0	0	
227	178	70	58	12	2	0	0	
263	54	69	61	8	2	0	0	
42	22	48	42	6	2	0	0	
105	174	56	54	2	2	0	0	
94	24	70	35	35	1	0	0	
-1	85	67	50	17	2	0	0	
32	109	64	61	3	2	0	0	
190	136	60	41	19	2	0	0	
62	27	68	40	28	2	0	0	
208	46	47	37	10	1	0	0	
177	205	87	25	62	2	0	0	
