4	26	51	49	2	1	0	0	
6	218	55	19	36	1	0	0	
12	211	53	35	18	1	0	0	
14	246	48	41	7	1	0	0	
16	205	73	49	24	1	0	0	
24	8	36	32	4	0	0	0	
29	59	83	33	50	1	0	0	
34	167	64	27	37	0	0	0	
37	118	76	23	53	1	0	0	
39	60	59	50	9	1	1	0	
45	175	51	38	13	0	0	0	
46	147	68	45	23	0	0	0	
47	43	55	52	3	0	0	0	
50	68	55	46	9	1	0	0	
52	128	70	67	3	1	0	0	
57	96	62	51	11	1	0	0	
-1	90	63	30	33	0	0	0	
-1	0	60	22	38	1	0	0	
77	119	72	48	24	0	0	0	
78	245	62	28	34	1	0	0	
82	71	72	57	15	0	0	0	
86	190	54	50	4	0	0	0	
94	263	63	26	37	1	0	0	
97	9	74	24	50	1	0	0	
-1	85	72	59	13	0	0	0	
99	0	50	43	7	0	0	0	
-1	0	54	51	3	1	0	0	
104	133	77	69	8	1	0	0	
115	19	51	10	41	1	0	0	
117	239	76	46	30	1	0	0	
120	10	76	46	30	0	0	0	
129	171	50	42	8	0	0	0	
130	32	49	38	11	1	0	0	
132	125	49	40	9	1	0	0	
140	110	52	24	28	0	0	0	
141	101	64	51	13	1	0	0	
143	65	84	55	29	1	0	0	
151	62	71	49	22	1	0	0	
152	170	52	45	7	1	0	0	
154	91	40	8	32	1	0	0	
155	234	69	26	43	1	0	0	
158	157	60	43	17	0	0	0	
-1	0	51	33	18	0	0	0	
160	138	83	46	37	1	0	0	
161	80	77	18	59	1	0	0	
162	95	65	64	1	1	0	0	
165	61	62	51	11	1	0	0	
173	23	63	59	4	1	0	0	
181	54	71	36	35	0	0	0	
185	51	77	54	23	0	0	0	
186	206	62	26	36	1	0	0	
187	55	69	30	39	0	0	0	
189	164	45	35	10	0	0	0	
192	58	67	51	16	1	0	0	
-1	0	55	31	24	0	0	0	
-1	0	61	43	18	0	0	0	
198	227	54	51	3	0	0	0	
201	199	56	45	11	0	0	0	
202	122	71	59	12	0	0	0	
212	244	47	40	7	0	0	0	
214	247	96	38	58	1	0	0	
225	255	73	30	43	1	0	0	
230	27	52	28	24	0	0	0	
232	219	71	11	60	1	0	0	
235	207	86	58	28	1	0	0	
236	137	55	38	17	1	0	0	
237	53	63	44	19	0	0	0	
240	116	53	48	5	0	0	0	
