Names,Elo
Shelby County,1604.45703509272
Shelby Valley,1594.75437313293
Sheldon Clark,1600.64577579879
Silver Grove,1444.44470299591
Simon Kenton,1598.7514061969
Somerset,1519.5631115758
South Floyd,1371.80073584288
South Laurel,1542.57810289436
South Oldham,1719.67790428098
South Warren,1566.55026048129
Southern,1436.14967162806
Southwestern,1734.81386791666
Spencer County,1430.51796994406
St. Francis,1389.07490900301
St. Henry,1589.43555515708
St. Mary,1612.67828620783
St. Patrick,1339.40943703973
St. Xavier,1640.77671647818
Tates Creek,1481.75638857007
Taylor County,1681.71999682431
Thomas Nelson,1506.60995939303
Todd County Central,1356.20183331315
Trigg County,1538.19666796768
Trimble County,1440.55843149242
Trinity (Louisville),1897.15368443791
Trinity (Whitesville),1342.17090624015
Union County,1475.24987128452
University Heights,1583.0921470545
Valley,1391.31506663269
Villa Madonna,1308.83673811676
Waggener,1625.63143044432
Walden,1332.76656522856
Walton-Verona,1383.7220803234
Warren Central,1758.44101331589
Warren East,1522.91054950946
Washington County,1277.95018161058
Wayne County,1793.03060380227
Webster County,1551.56562431859
West Carter,1498.70561422175
West Jessamine,1635.55053014861
Western,1644.34645926641
Western Hills,1319.62753700015
Whitefield Academy,1433.60281837862
Whitley County,1516.38041152031
Williamsburg,1532.09932214889
Williamstown,1400.01923648703
Wolfe County,1547.88620702947
Woodford County,1584.50563591022
