Rank,Name_Of_Team,Rating,In_State_Record,Total_Record
1,Somerset,80.27,10-1,10-1
2,Mayfield,78.32,9-1,10-1
3,Lexington Christian,77.48,9-1,10-1
4,Shelby Valley,67.7,9-1,9-2
5,Breathitt County,66.59,11-0,11-0
6,Beechwood,63.94,6-4,6-5
7,Owensboro Catholic,60.87,8-2,9-2
8,Murray,60.74,8-3,8-3
9,Caldwell County,60.13,8-3,8-3
10,West Carter,59.43,8-3,8-3
11,Newport,56.2,8-3,8-3
12,Walton-Verona,55.19,7-3,7-4
13,Lloyd Memorial,54.12,6-5,6-5
14,Martin County,51.34,7-4,7-4
15,Danville,49.93,3-7,3-7
16,Middlesboro,49.86,8-3,8-3
17,McLean County,47.77,7-4,7-4
18,Washington County,47.12,5-6,5-6
19,Clinton County,44.7,6-2,7-3
20,Leslie County,39.05,5-5,5-5
21,Carroll County,39.01,7-4,7-4
22,Todd County Central,37.84,6-5,6-5
23,Edmonson County,37.08,5-5,5-6
24,Monroe County,36.89,5-5,5-6
25,Bath County,32.78,4-7,4-7
26,Hancock County,31.27,3-8,3-8
27,Holy Cross (Covington),30.5,2-8,2-9
28,Prestonsburg,25.9,2-8,2-8
29,Owen County,25.29,4-7,4-7
30,Fort Campbell,22.72,1-10,1-10
31,Ballard Memorial,19.82,1-9,1-9
32,Knott County Central,19.46,2-9,2-9
33,East Ridge,18.27,1-8,1-9
34,Metcalfe County,18.19,1-9,1-9
35,Butler County,17.02,1-9,1-9
36,Green County,16.76,1-10,1-10
37,Gallatin County,10.33,1-9,1-10
38,Morgan County,10.26,0-10,0-10
39,Shawnee,-3.06,0-9,0-9
