Rank,Name,Rating,InState,Total,
1,Pikeville,78.29,9-0,11-0,
2,Kentucky Country Day,73.3,12-0,12-0,
3,Newport Central Catholic,68.73,10-1,10-2,
4,Paintsville,66.42,8-3,9-3,
5,Williamsburg,66.06,9-2,10-2,
6,Holy Cross - Louisville,63.01,9-2,10-2,
7,Raceland,57.86,6-5,7-5,
8,Eminence,56.54,9-3,9-3,
9,Crittenden County,56.23,10-2,10-2,
10,Hazard,55.3,7-5,7-5,
11,Bethlehem,52.4,8-2,8-3,
12,Ludlow,49.64,8-4,8-4,
13,Campbellsville,49.37,6-5,6-5,
14,Nicholas County,49.37,9-3,9-3,
15,Pineville,43.75,7-3,8-3,
16,Lynn Camp,41,5-6,5-6,
17,Berea,40.6,6-4,7-4,
18,Phelps,36.89,4-6,4-7,
19,Bishop Brossart,36.78,7-5,7-5,
20,Frankfort,36.21,4-7,4-7,
21,Fulton County,31.1,3-4,6-5,
22,Russellville,30.26,4-8,4-8,
23,Betsy Layne,28.71,4-7,4-7,
24,Dayton,27.06,4-7,4-7,
25,Fairview,26.88,2-6,3-7,
26,Bellevue,24.78,2-8,2-9,
27,Harlan,24.35,1-9,1-10,
28,Fort Knox,23.98,3-8,3-8,
29,Jenkins,21.41,0-7,0-9,
30,Paris,17.7,2-9,2-9,
31,Bracken County,10.2,0-10,0-11,
32,Caverna,9.38,1-10,1-10,
