Rank,Class,Name,Rating,InState,Total,
136,6,Bryan Station,40.78,3-8,3-8,
137,1,Berea,40.6,6-4,7-4,
138,5,Atherton,39.93,5-6,5-6,
139,6,Campbell County,39.89,1-9,1-10,
140,6,Lafayette,39.72,2-8,2-9,
141,5,Doss,39.68,5-6,5-6,
142,4,Harrison County,39.68,4-7,4-7,
143,4,Warren East,39.47,4-7,4-7,
144,4,Russell County,39.39,6-5,6-5,
145,2,Edmonson County,39.3,6-5,6-6,
146,2,Leslie County,38.83,5-5,5-5,
147,5,Muhlenberg County,38.78,4-7,4-7,
148,2,Carroll County,38.75,7-4,7-4,
149,5,Boone County,38.71,2-8,2-8,
150,4,Spencer County,38.39,5-6,5-6,
151,6,Pleasure Ridge Park,37.98,2-9,2-9,
152,5,Ohio County,37.91,4-6,4-6,
153,2,Todd County Central,37.77,6-5,6-5,
154,1,Phelps,36.89,4-6,4-7,
155,1,Bishop Brossart,36.78,7-5,7-5,
156,5,Jeffersontown,36.41,4-7,4-7,
157,2,Monroe County,36.4,5-5,5-6,
158,3,Garrard County,36.34,4-7,4-7,
159,5,Collins,36.26,2-9,2-9,
160,1,Frankfort,36.21,4-7,4-7,
161,5,Grant County,35.69,4-6,4-6,
162,3,Western Hills,35.3,3-8,3-8,
163,6,Henry Clay,35.18,0-11,0-11,
164,6,Madison Central,34.98,1-10,1-10,
165,3,Pendleton County,34.86,5-6,5-6,
166,5,Christian County,34.37,0-10,0-11,
167,5,South Laurel,32.93,2-8,2-8,
168,2,Bath County,32.9,4-7,4-7,
169,3,Floyd Central,32.05,3-8,3-8,
170,3,Magoffin County,32.01,3-7,3-7,
171,2,Hancock County,31.49,3-8,3-8,
172,1,Fulton County,31.1,3-4,6-5,
173,3,Adair County,31.02,2-9,2-9,
174,6,Marshall County,30.82,2-9,2-9,
175,2,Holy Cross - Covington,30.55,2-8,2-9,
176,3,Powell County,30.41,3-8,3-8,
177,1,Russellville,30.26,4-8,4-8,
178,1,Betsy Layne,28.71,4-7,4-7,
179,3,Hart County,28.67,3-7,3-7,
180,4,North Oldham,28.67,1-9,1-9,
181,4,Calloway County,27.81,1-10,1-10,
182,5,Great Crossing,27.45,1-10,1-10,
183,1,Dayton,27.06,4-7,4-7,
184,1,Fairview,26.88,2-6,3-7,
185,4,Boyd County,26.56,1-9,1-9,
186,4,Perry County Central,26.21,0-9,1-9,
187,2,Prestonsburg,25.76,2-8,2-8,
188,4,Marion County,25.49,3-7,3-7,
189,5,Iroquois,24.84,2-9,2-9,
190,1,Bellevue,24.78,2-8,2-9,
191,2,Owen County,24.64,4-8,4-8,
192,1,Harlan,24.35,1-9,1-10,
193,1,Fort Knox,23.98,3-8,3-8,
194,5,Seneca,23.83,2-8,2-8,
195,2,Fort Campbell,22.77,1-10,1-10,
196,4,Valley,22.49,2-9,2-9,
197,3,Henry County,22.25,1-9,1-9,
198,3,Webster County,21.87,3-8,3-8,
199,1,Jenkins,21.41,0-7,0-9,
200,3,Thomas Nelson,20.65,1-10,1-10,
201,3,Jackson County,20.43,2-8,2-8,
202,2,Ballard Memorial,20.03,1-9,1-9,
203,2,Knott County Central,19.08,2-9,2-9,
204,3,McCreary Central,18.53,1-8,1-9,
205,2,Metcalfe County,18.07,1-9,1-9,
206,N/,Sayre,18.07,0-7,1-7,
207,2,East Ridge,17.92,1-8,1-9,
208,5,West Jessamine,17.71,0-10,0-10,
209,1,Paris,17.7,2-9,2-9,
210,2,Butler County,17.17,1-9,1-9,
211,2,Green County,16.81,1-10,1-10,
212,4,Hopkins County Central,16.28,0-10,0-10,
213,3,Lewis County,13.1,0-10,0-10,
214,4,Warren Central,12.48,0-10,0-10,
215,N/,Fulton City,11.14,0-3,0-9,
216,2,Morgan County,10.28,0-10,0-10,
217,1,Bracken County,10.2,0-10,0-11,
218,2,Gallatin County,10.17,1-9,1-10,
219,1,Caverna,9.38,1-10,1-10,
220,5,Western,9.33,0-10,0-10,
221,3,Nelson County,8.97,0-10,0-10,
222,2,Shawnee,-3.16,0-9,0-9,
