Rank,Name_Of_Team,Rating,In_State_Record,Total_Record
1,Male,96.77,13-0,14-0
2,Trinity (Louisville),93.42,8-1,12-2
3,North Hardin,87.7,13-1,13-1
4,St. Xavier,79.29,8-4,8-5
5,DuPont Manual,75.19,9-3,9-3
6,Fern Creek,71.58,7-4,8-4
7,Central Hardin,71.09,9-3,9-3
8,Simon Kenton,71.07,7-3,8-5
9,Tates Creek,69.28,9-5,9-5
10,McCracken County,68.72,8-4,9-4
11,Ballard,65.76,6-6,6-6
12,Oldham County,63.97,8-5,8-5
13,Henderson County,61.46,6-4,8-4
14,Ryle,58.7,5-5,5-6
15,George Rogers Clark,58.46,7-5,7-5
16,Bullitt East,55.23,5-6,5-6
17,Butler,55.18,4-7,4-7
18,Dixie Heights,54.12,5-7,5-7
19,Paul Laurence Dunbar,53.64,7-5,7-5
20,Daviess County,51.88,5-6,5-6
21,Barren County,50.53,6-5,6-5
22,Meade County,48.93,4-7,4-7
23,Apollo,47.01,4-7,4-7
24,Eastern,46.19,3-8,3-8
25,Bryan Station,41.26,3-8,3-8
26,Southern,41.09,4-7,4-7
27,Lafayette,40.38,2-8,2-9
28,Campbell County,39.3,1-9,1-10
29,Pleasure Ridge Park,37.98,2-9,2-9
30,Henry Clay,35.77,0-11,0-11
31,Madison Central,35.21,1-10,1-10
32,Marshall County,30.87,2-9,2-9
