Rank,Name_Of_Team,Rating,In_State_Record,Total_Record
1,Ashland Blazer,80.43,8-0,10-2
2,Russell,76.98,9-2,9-3
3,Bell County,76.44,12-0,12-0
4,Belfry,72.1,8-2,8-3
5,DeSales,70.83,9-3,9-3
6,Bardstown,70.12,10-2,10-2
7,Glasgow,68.43,10-2,10-2
8,Taylor County,67.84,10-2,10-2
9,Elizabethtown,65.98,9-3,9-3
10,Paducah Tilghman,65.92,9-3,9-3
11,Christian Academy-Louisville,64.44,7-5,7-5
12,Fleming County,63.49,10-2,10-2
13,Mercer County,61.74,8-3,8-3
14,Rockcastle County,59.61,8-4,8-4
15,East Carter,54.8,6-4,7-4
16,Pike County Central,53.14,7-4,8-4
17,Greenup County,50.94,3-5,4-7
18,Union County,48.06,6-6,6-6
19,Trigg County,46.61,6-5,6-5
20,LaRue County,46.4,5-6,5-6
21,Mason County,45.58,6-6,6-6
22,Casey County,45.16,5-6,5-6
23,Lawrence County,43.64,4-7,4-7
24,Estill County,42.94,5-6,5-6
25,Garrard County,36.34,4-7,4-7
26,Western Hills,35.3,3-8,3-8
27,Pendleton County,34.86,5-6,5-6
28,Floyd Central,32.05,3-8,3-8
29,Magoffin County,32.01,3-7,3-7
30,Adair County,31.02,2-9,2-9
31,Powell County,30.41,3-8,3-8
32,Hart County,28.67,3-7,3-7
33,Henry County,22.25,1-9,1-9
34,Webster County,21.87,3-8,3-8
35,Thomas Nelson,20.65,1-10,1-10
36,Jackson County,20.43,2-8,2-8
37,McCreary Central,18.53,1-8,1-9
38,Lewis County,13.1,0-10,0-10
39,Nelson County,8.97,0-10,0-10
