Rank,Name,Rating,InState,Total,
1,Johnson Central,93.44,12-0,15-0,
2,Boyle County,87.89,14-1,14-1,
3,Wayne County,77.97,10-2,10-2,
4,Franklin County,74.32,11-1,11-1,
5,Madisonville-North Hopkins,70.75,11-3,11-3,
6,Central,67.02,8-6,8-6,
7,Lexington Catholic,66.55,6-5,7-5,
8,Harlan County,62.48,8-4,8-4,
9,Logan County,61.39,8-3,8-3,
10,Corbin,60.52,5-5,6-5,
11,Hopkinsville,60.24,7-4,8-4,
12,Scott,59.86,8-4,8-5,
13,Shelby County,56.47,6-5,6-5,
14,Franklin-Simpson,55.31,7-5,7-6,
15,Holmes,53.65,8-4,8-4,
16,Moore,52.16,8-5,8-5,
17,Waggener,51.98,5-6,5-6,
18,Clay County,50.85,7-4,7-4,
19,Anderson County,49.43,4-7,4-7,
20,Knox Central,47.41,3-7,3-8,
21,Rowan County,44.61,6-5,6-5,
22,John Hardin,44.07,5-7,5-7,
23,Letcher County Central,43.65,4-6,4-7,
24,Bourbon County,43.35,4-7,4-7,
25,Lincoln County,42.96,3-8,3-8,
26,Allen County-Scottsville,42.83,5-7,5-7,
27,Warren East,39.47,4-7,4-7,
28,Russell County,39.33,6-5,6-5,
29,Harrison County,39.31,4-7,4-7,
30,Spencer County,38.02,5-6,5-6,
31,North Oldham,28.63,1-9,1-9,
32,Calloway County,27.71,1-10,1-10,
33,Perry County Central,26.55,0-9,1-9,
34,Boyd County,26.06,1-9,1-9,
35,Marion County,25.17,3-7,3-7,
36,Valley,22.03,2-9,2-9,
37,Hopkins County Central,16.35,0-10,0-10,
38,Warren Central,12.5,0-10,0-10,
