Rank,Name,Rating,InState,Total,
1,Trinity,96.22,9-1,13-2,
2,Male,93.89,13-1,14-1,
3,North Hardin,87.8,13-1,13-1,
4,St. Xavier,79.15,8-4,8-5,
5,DuPont Manual,74.99,9-3,9-3,
6,Fern Creek,71.29,7-4,8-4,
7,Simon Kenton,71.19,7-3,8-5,
8,Central Hardin,71.09,9-3,9-3,
9,Tates Creek,69.06,9-5,9-5,
10,McCracken County,68.63,8-4,9-4,
11,Ballard,65.87,6-6,6-6,
12,Oldham County,64,8-5,8-5,
13,Henderson County,61.4,6-4,8-4,
14,Ryle,58.79,5-5,5-6,
15,George Rogers Clark,58.49,7-5,7-5,
16,Bullitt East,55.13,5-6,5-6,
17,Butler,55.07,4-7,4-7,
18,Dixie Heights,54.18,5-7,5-7,
19,Paul Laurence Dunbar,53.51,7-5,7-5,
20,Daviess County,51.84,5-6,5-6,
21,Barren County,50.54,6-5,6-5,
22,Meade County,48.93,4-7,4-7,
23,Apollo,46.96,4-7,4-7,
24,Eastern,46.16,3-8,3-8,
25,Bryan Station,41.21,3-8,3-8,
26,Southern,41,4-7,4-7,
27,Lafayette,40.32,2-8,2-9,
28,Campbell County,39.39,1-9,1-10,
29,Pleasure Ridge Park,37.92,2-9,2-9,
30,Henry Clay,35.65,0-11,0-11,
31,Madison Central,35.23,1-10,1-10,
32,Marshall County,30.82,2-9,2-9,
