Rank,Region_Of_Team,Name_Of_Team,Rating,In_State_Record,Total_Record
139,4,Russell County,39.088789,4-7,4-7
140,5,Whitley County,38.927961,3-8,3-8
141,6,Boone County,38.869593,2-9,2-9
142,4,Spencer County,38.846612,4-6,4-6
143,NaN,Sayre,38.4706,1-0,1-1
144,6,Lafayette,38.451918,1-9,1-10
145,5,North Laurel,38.45042,4-6,4-6
146,3,Thomas Nelson,38.238841,4-7,4-7
147,3,Fleming County,38.181138,4-7,4-7
148,1,Russellville,37.082573,5-7,5-7
149,3,Estill County,36.907388,4-7,4-7
150,4,Collins,36.756678,1-10,1-10
151,5,Southern,36.70597,4-7,4-7
152,5,Dixie Heights,36.637085,1-9,1-10
153,1,Bracken County,36.570624,5-5,6-5
154,5,Greenwood,36.085689,2-9,2-9
155,2,Monroe County,36.039106,4-8,4-8
156,3,Henry County,35.780962,3-7,3-7
157,1,Harlan,35.295876,4-6,4-7
158,4,West Jessamine,35.214483,4-7,4-7
159,3,Pike County Central,35.093334,2-7,3-8
160,6,Muhlenberg County,34.71929,3-8,3-8
161,5,Fairdale,34.598208,4-7,4-7
162,3,Garrard County,34.376552,2-9,2-9
163,1,Pineville,34.309482,4-5,4-7
164,4,Breckinridge County,34.109778,4-7,4-7
165,2,Todd County Central,33.998436,5-6,5-6
166,4,Holmes,33.691869,4-7,4-7
167,3,Edmonson County,33.507055,4-7,4-7
168,5,Atherton,33.436093,4-6,4-6
169,1,Bellevue,33.388433,4-6,5-6
170,4,Calloway County,32.807156,3-8,3-8
171,5,Marshall County,32.678174,3-7,3-7
172,6,Jeffersontown,32.325675,3-8,3-8
173,5,Barren County,31.688579,3-7,3-7
174,4,Bourbon County,31.605109,3-8,3-8
175,1,Bethlehem,30.290671,4-8,4-8
176,5,Woodford County,29.706062,2-9,2-9
177,3,Morgan County,29.657603,4-7,4-7
178,5,Grant County,29.297523,3-6,3-7
179,2,Leslie County,28.760778,3-8,3-8
180,4,Hopkins County Central,28.547984,3-7,3-7
181,3,Lewis County,28.080977,3-7,3-7
182,2,Ballard Memorial,26.358737,2-8,3-8
183,4,Marion County,26.292873,2-8,2-8
184,2,Prestonsburg,25.676482,2-9,2-9
185,4,Valley,25.452709,2-8,2-8
186,4,Clay County,25.257916,1-9,1-9
187,3,Magoffin County,25.24509,3-7,3-7
188,6,Ohio County,25.217618,1-10,1-10
189,2,Metcalfe County,24.991446,2-9,2-9
190,3,Knott County Central,24.718143,2-8,2-8
191,4,Western,24.332528,1-10,1-10
192,1,Fulton County,24.293559,2-5,5-6
193,3,Adair County,24.099346,1-9,1-9
194,3,Fort Campbell,24.088538,1-9,1-9
195,4,Boyd County,23.482868,1-8,2-8
196,3,Sheldon Clark,22.499081,2-7,2-8
197,1,Fort Knox,22.335611,4-7,4-7
198,3,Pendleton County,21.941688,2-8,2-8
199,3,McCreary Central,20.826999,1-10,1-10
200,2,Green County,20.798741,2-9,2-9
201,4,Mason County,20.438728,1-8,2-8
202,5,Iroquois,20.046719,2-8,2-8
203,2,Holy Cross (Covington),19.431329,0-9,0-11
204,2,Middlesboro,18.686063,0-10,1-10
205,4,Warren Central,18.207902,0-11,0-11
206,3,Jackson County,17.860056,1-9,1-9
207,5,Nelson County,16.069903,0-10,0-10
208,2,Gallatin County,15.489475,1-7,1-9
209,1,Fairview,15.023053,0-8,0-10
210,6,Seneca,13.752773,0-11,0-11
211,2,East Ridge,13.715744,2-8,2-9
212,2,Webster County,13.291126,1-10,1-10
213,2,Owen County,13.1489,0-10,0-10
214,2,Butler County,12.898372,0-10,0-10
215,1,Dayton,10.250289,0-9,0-9
216,2,Betsy Layne,10.096444,1-9,1-9
217,1,Caverna,9.783168,1-10,1-10
218,1,Fulton City,9.4516568,0-6,0-10
219,1,Berea,9.1600532,0-9,1-9
220,2,Shawnee,6.0077452,0-10,0-10
221,NaN,Jenkins,4.459334,0-8,0-10
