9	2	58	47	11	2	0	0	
27	83	51	47	4	0	1	0	
41	40	47	44	3	2	0	0	
42	236	33	26	7	0	0	0	
45	156	63	44	19	0	0	0	
51	116	70	60	10	0	0	0	
53	59	58	52	6	0	0	0	
71	161	58	43	15	0	0	0	
87	50	75	36	39	2	0	0	
94	176	50	49	1	0	0	0	
97	118	60	29	31	2	0	0	
98	31	68	59	9	1	0	0	
100	-1	42	40	2	1	1	0	
107	158	68	57	11	1	0	0	
108	178	70	39	31	2	0	0	
112	56	43	42	1	0	0	0	
113	249	69	50	19	0	0	0	
119	80	44	40	4	0	0	0	
120	37	55	28	27	0	0	0	
124	131	66	40	26	1	0	0	
134	121	67	44	23	1	0	0	
138	33	69	48	21	1	0	0	
150	182	59	42	17	1	0	0	
154	235	81	13	68	0	0	0	
159	39	72	41	31	1	0	0	
162	47	77	69	8	1	0	0	
172	187	67	61	6	1	0	0	
174	145	58	46	12	1	0	0	
175	15	71	58	13	0	0	0	
179	146	49	39	10	1	0	0	
181	57	58	34	24	0	0	0	
184	-1	69	25	44	1	0	0	
192	86	49	47	2	1	0	0	
198	197	60	40	20	0	0	0	
199	165	39	32	7	1	0	0	
204	93	49	46	3	0	0	0	
208	18	71	44	27	0	0	0	
225	43	65	59	6	1	0	0	
228	11	70	36	34	0	0	0	
234	139	62	34	28	1	0	0	
241	90	49	37	12	0	0	0	
244	62	52	42	10	0	0	0	
250	4	45	21	24	1	0	0	
254	186	50	36	14	0	0	0	
