Names,Elo
Adair County,1597.77926477909
Allen Central,1451.69615103797
Allen County-Scottsville,1535.82116498876
Anderson County,1533.22513435413
Apollo,1437.27815294567
Ashland Blazer,1578.48731809851
Atherton,1359.89103989204
Ballard,1583.61720774242
Ballard Memorial,1519.6338457698
Bardstown,1522.76676094682
Barren County,1467.53347770429
Bath County,1446.95131560781
Beechwood,1664.48622808543
Belfry,1751.38484698191
Bell County,1610.34109117941
Bellevue,1434.48707297896
Berea,1328.13362693885
Bethlehem,1545.15206577652
Betsy Layne,1369.6748592863
Bishop Brossart,1500.88440784149
Boone County,1379.42276976388
Bourbon County,1507.73814732912
Bowling Green,1764.65723023399
Boyd County,1425.32242076479
Boyle County,1659.3430784956
Bracken County,1367.22106585687
Breathitt County,1477.9996515241
Breckinridge County,1364.80640066382
Bryan Station,1587.34093352908
Bullitt Central,1519.71359661561
Bullitt East,1487.90281342844
Butler,1502.54099630576
Butler County,1585.89286610107
Caldwell County,1650.87988854123
Calloway County,1460.42079556141
Campbell County,1471.55111227115
Campbellsville,1524.95810461733
Carroll County,1438.70446488614
Casey County,1488.39740200971
Caverna,1383.54704988862
Central,1662.08840146558
Central Hardin,1664.91152661085
Christian Academy-Louisville,1652.90538999728
Christian County,1584.35138601382
Clay County,1375.68150286751
Clinton County,1423.75382962057
Collins,1519.92274015597
Conner,1573.85786989569
Cooper,1656.86406221469
Corbin,1609.06435144827
Covington Catholic,1588.39356484247
Crittenden County,1479.39917310416
Danville,1654.81948584177
Daviess County,1531.84911602235
Dayton,1365.47777323685
DeSales,1665.14946323443
Dixie Heights,1534.86563546212
Doss,1472.86929587837
DuPont Manual,1646.78537173098
East Carter,1348.68611437829
East Jessamine,1495.85949341952
East Ridge,1481.86323059324
Eastern,1503.42268287497
Edmonson County,1497.66885010563
Elizabethtown,1667.74540963766
Eminence,1389.21885276725
Estill County,1521.54357052499
Fairdale,1553.12674023237
Fairview,1578.96336562764
Fern Creek,1653.91341475986
Fleming County,1536.89626082477
Fort Campbell,1444.17382084592
Fort Knox,1374.54761361007
Frankfort,1508.27566770085
Franklin County,1580.44948911263
Franklin-Simpson,1599.52882157196
Fulton City,1416.43486111308
Fulton County,1364.28043551598
Gallatin County,1414.8650368059
Garrard County,1566.69116216991
George Rogers Clark,1409.82748485819
Glasgow,1526.28589576108
Grant County,1432.41511407344
Graves County,1559.42454801148
Grayson County,1431.12228973689
Green County,1455.427140605
Greenup County,1510.30025815695
Greenwood,1593.08037953842
Hancock County,1396.27703102454
Harlan,1507.97891821765
Harlan County,1488.28932572513
Harrison County,1451.35738761445
Hart County,1470.35769377097
Hazard,1618.37494047462
Henderson County,1526.59632828431
Henry Clay,1596.36905386039
Henry County,1524.89111141001
Highlands,1646.26351430693
Holmes,1467.39759763277
Holy Cross (Covington),1498.96838300824
Holy Cross (Louisville),1532.76173745122
Hopkins County Central,1344.73145802948
Hopkinsville,1579.9217527189
Iroquois,1476.59649195122
Jackson County,1382.56053704447
Jeffersontown,1399.67148157637
Jenkins,1339.06031543444
John Hardin,1633.88801453404
Johnson Central,1671.63025164131
Kentucky Country Day,1501.91108139308
Knott County Central,1395.07302497946
Knox Central,1580.56045929984
LaRue County,1392.97759459345
Lafayette,1686.14994147241
Lawrence County,1609.11116221117
Leslie County,1563.50536904522
Letcher County Central,1498.29529625852
Lewis County,1399.80266026346
Lexington Catholic,1690.49806912899
Lexington Christian,1567.31946140347
Lincoln County,1469.13681595659
Lloyd Memorial,1577.68559482113
Logan County,1323.23787914528
Ludlow,1493.71954873465
Lynn Camp,1408.59453127236
Madison Central,1522.2076715674
Madison Southern,1527.29183606507
Madisonville-North Hopkins,1518.56152740338
Magoffin County,1423.21589777962
Male,1776.51385925219
Marion County,1363.17314002751
Marshall County,1424.35361287574
Mason County,1417.95135453506
Mayfield,1754.35980630952
McCracken County,1634.4654384719
McCreary Central,1348.41527009678
McLean County,1457.91787494046
Meade County,1521.09094429164
Mercer County,1512.83378569889
Metcalfe County,1404.22046467136
Middlesboro,1431.26121202226
Monroe County,1516.05468262575
Montgomery County,1533.1788851403
Moore,1413.56545646285
Morgan County,1401.70116725523
Muhlenberg County,1461.24138287051
Murray,1571.32334961781
Nelson County,1435.97216160806
Newport,1430.0504277347
Newport Central Catholic,1619.26158343285
Nicholas County,1467.57893496112
North Bullitt,1540.59999923633
North Hardin,1496.28136855981
North Laurel,1613.24084108316
North Oldham,1499.42999772757
Ohio County,1447.89051843216
Oldham County,1408.87818786531
Owen County,1467.17709433333
Owensboro,1678.74566277723
Owensboro Catholic,1615.42188702907
Paducah Tilghman,1623.00256047924
Paintsville,1686.33490235289
Paris,1639.1773892697
Paul Laurence Dunbar,1476.0582038395
Pendleton County,1355.41633791643
Perry County Central,1400.1033145638
Phelps,1333.71165466225
Pike County Central,1484.23388488316
Pikeville,1707.62229570855
Pineville,1516.36880842972
Pleasure Ridge Park,1554.61414840889
Powell County,1549.98263683281
Prestonsburg,1528.002551793
Pulaski County,1703.38558509625
Raceland,1595.9519882106
Rockcastle County,1502.36273245571
Rowan County,1465.40492842126
Russell,1580.88292137087
Russell County,1360.31801631031
Russellville,1606.29862144451
Ryle,1611.59070481942
Scott,1611.63580087976
Scott County,1695.42758403538
Seneca,1387.96700415036
Shawnee,1340.59297445674
Shelby County,1643.6186442309
Shelby Valley,1590.73704475289
Sheldon Clark,1436.72276015848
Simon Kenton,1718.28541011479
Somerset,1510.57807105749
South Floyd,1414.02621738981
South Laurel,1422.10654038424
South Oldham,1620.50341698279
South Warren,1734.37363089518
Southern,1420.2262015985
Southwestern,1596.47059643754
Spencer County,1611.13439441782
St. Xavier,1640.75823501454
Tates Creek,1520.35410383991
Taylor County,1469.92605056268
Thomas Nelson,1384.5432936767
Todd County Central,1417.54219320174
Trigg County,1433.48396251485
Trimble County,1316.35978091212
Trinity (Louisville),1697.3394196905
Union County,1540.69491312183
Valley,1449.54382625243
Waggener,1492.99070529129
Walton-Verona,1538.63089277078
Warren Central,1503.97653516853
Warren East,1434.20612639042
Washington County,1468.90689592571
Wayne County,1614.65016993766
Webster County,1345.13364050639
West Carter,1550.9883759908
West Jessamine,1367.53003021248
Western,1472.35828824578
Western Hills,1449.79816039775
Whitley County,1526.84819926709
Williamsburg,1558.47504989255
Woodford County,1435.46946631617
