21	40	56	51	5	2	1	2	
198	6	49	47	2	2	0	2	
214	27	53	50	3	1	0	2	
110	9	71	65	6	2	0	2	
173	154	51	48	3	2	0	2	
213	129	70	69	1	2	0	2	
268	191	88	78	10	1	0	2	
114	59	49	42	7	2	0	2	
137	32	61	51	10	2	0	2	
12	216	79	53	26	2	0	2	
212	84	70	56	14	1	0	2	
262	170	81	56	25	2	0	2	
8	55	59	21	38	2	0	2	
165	119	56	44	12	1	0	2	
239	97	56	47	9	2	0	2	
135	266	52	50	2	2	0	2	
152	255	80	37	43	2	0	2	
255	237	92	80	12	2	0	2	
151	156	74	57	17	2	0	0	
219	215	66	52	14	1	0	0	
111	176	71	67	4	2	0	0	
187	235	65	64	1	2	1	0	
-1	14	57	45	12	2	0	0	
202	-1	51	45	6	2	0	0	
205	-1	53	51	2	2	0	0	
-1	75	80	72	8	2	0	0	
-1	228	54	33	21	2	0	0	
23	217	57	53	4	2	0	0	
39	246	62	43	19	2	0	0	
138	58	75	70	5	2	0	0	
146	171	60	57	3	2	0	0	
257	93	58	46	12	2	0	0	
-1	136	43	31	12	2	0	0	
-1	136	53	23	30	2	0	0	
132	161	57	51	6	2	0	0	
0	244	68	58	10	0	0	0	
2	209	55	19	36	1	0	0	
3	67	95	62	33	0	0	0	
-1	149	64	41	23	0	0	0	
18	91	69	40	29	1	0	0	
24	179	68	55	13	0	0	0	
52	231	59	58	1	1	0	0	
64	45	84	62	22	0	0	0	
74	267	72	52	20	1	0	0	
89	35	65	50	15	0	0	0	
94	105	73	52	21	0	0	0	
100	112	89	74	15	1	0	0	
101	245	56	37	19	1	0	0	
107	-1	77	42	35	1	0	0	
117	150	82	74	8	1	0	0	
133	20	63	59	4	0	0	0	
164	256	77	60	17	1	0	0	
-1	253	69	31	38	0	0	0	
190	224	74	59	15	1	0	0	
208	118	85	79	6	0	0	0	
240	128	67	56	11	1	0	0	
271	188	63	54	9	0	0	0	
