3	169	67	56	11	1	0	0	
7	-1	77	44	33	1	0	0	
11	181	63	49	14	0	0	0	
23	17	68	53	15	0	0	0	
26	204	78	45	33	1	0	0	
30	184	52	48	4	1	0	0	
31	67	61	31	30	0	0	0	
33	132	37	36	1	0	0	0	
35	72	89	50	39	0	0	0	
39	116	47	37	10	0	0	0	
40	155	54	47	7	1	0	0	
44	139	53	40	13	1	0	0	
47	73	41	39	2	1	0	0	
49	237	78	34	44	1	0	0	
51	83	47	10	37	0	0	0	
56	248	64	52	12	0	0	0	
58	128	51	50	1	1	0	0	
63	249	39	25	14	0	0	0	
64	55	59	36	23	0	0	0	
79	135	43	41	2	1	0	0	
85	142	51	47	4	1	0	0	
87	38	60	58	2	0	1	0	
93	146	59	43	16	1	0	0	
95	1	61	33	28	1	0	0	
102	157	58	53	5	0	0	0	
107	122	71	52	19	1	0	0	
109	18	52	33	19	1	0	0	
111	145	49	48	1	0	0	0	
115	129	48	38	10	1	0	0	
124	149	51	21	30	1	0	0	
-1	219	43	20	23	0	0	0	
130	88	53	40	13	1	0	0	
131	-1	75	63	12	0	0	0	
134	221	53	52	1	0	0	0	
136	257	59	47	12	0	0	0	
-1	15	52	51	1	0	0	0	
153	216	72	55	17	0	0	0	
163	144	60	39	21	0	0	0	
176	84	63	17	46	1	0	0	
186	127	50	46	4	1	0	0	
191	207	50	46	4	0	1	0	
197	103	47	38	9	0	0	0	
200	70	57	44	13	1	0	0	
205	119	98	91	7	1	1	0	
206	182	50	27	23	1	0	0	
208	160	62	58	4	1	0	0	
209	69	62	44	18	0	0	0	
210	-1	57	54	3	1	0	0	
231	183	53	41	12	1	0	0	
232	215	34	31	3	1	0	0	
234	91	44	38	6	0	0	0	
241	92	62	53	9	0	0	0	
242	89	65	45	20	0	0	0	
252	225	58	48	10	1	0	0	
253	243	66	24	42	1	0	0	
254	81	83	32	51	1	0	0	
263	105	57	39	18	1	0	0	
