Names,Elo
Tates Creek,1649.09907942937
Middlesboro,1685.3966970893
Lawrence County,1625.35811142404
Breathitt County,1623.52339162536
Bell County,1590.02289681131
Newport,1596.52124705853
Pikeville,1588.49953503819
Scott County,1573.1679475253
Prestonsburg,1583.39526127954
Madison Central,1575.32186629807
Henry Clay,1575.99675267567
Sheldon Clark,1579.99000932272
Cawood,1551.15251241093
Whitley County,1546.55975984073
Hazard,1566.85117879819
Lynn Camp,1559.12821582862
Belfry,1581.39806631908
Phelps,1534.97876125783
Pulaski County,1535.64139006952
Russell,1529.67790753677
Southwestern,1547.09882604139
Bryan Station,1503.88336260584
Johnson Central,1510.05823284692
Pike County Central,1511.22865635827
Perry County Central,1477.39045585019
Fleming-Neon,1489.73414414035
Powell County,1482.01355574112
Campbell County,1500.29715023588
Harlan,1466.30011104227
South Floyd,1511.19135568048
East Carter,1490.12481265345
Paul Laurence Dunbar,1520.58786513123
Shelby Valley,1469.2910403907
South Laurel,1475.03369701433
Mason County,1497.55301821205
Pineville,1467.95439145862
Cumberland,1464.21028387975
Whitesburg,1468.99729010755
Lafayette,1470.14986709401
Knox Central,1443.34434631179
Lloyd Memorial,1458.06807768073
Williamsburg,1455.604788272
Elkhorn City,1471.75781961164
Fleming County,1450.93941321095
North Laurel,1444.32123660931
Clay County,1449.08752349341
Leslie County,1446.12279773507
Boone County,1442.21223429147
Knott County Central,1425.41701259183
Betsy Layne,1396.47860489299
McCreary Central,1397.86400658776
Jenkins,1387.9172780304
George Rogers Clark,1392.3623654563
Evarts,1378.6219936181
Caldwell County,1678.79075182285
Mayfield,1644.18751415037
Bowling Green,1643.52026287303
Nelson County,1648.86838247349
Marshall County,1618.06912745562
Crittenden County,1596.50390757011
Henderson County,1593.46408613056
Edmonson County,1584.37638767377
Hancock County,1578.50952037907
Logan County,1570.55840598514
Paducah Tilghman,1577.51457914287
Fulton County,1541.92431459584
North Hardin,1560.34013562632
Murray,1531.25890529691
Central Hardin,1549.84195536654
Apollo,1523.66138234757
Owensboro,1562.47139934122
Warren Central,1519.67530444689
Union County,1504.22373576162
Muhlenberg South,1503.48203437389
Barren County,1519.76187328403
Hopkins County Central,1499.96252716566
Hopkinsville,1495.9257666854
Christian County,1498.45577106021
Webster County,1495.89780883252
Russellville,1480.24097058027
