Names,Massey
Adair County,-8.28876389470133
Allen County-Scottsville,16.071468843456
Anderson County,-3.38450020674575
Apollo,16.8448385039509
Ashland Blazer,41.5956782512896
Atherton,-29.7068965218369
Ballard,35.3082165135665
Ballard Memorial,-60.178284630544
Bardstown,18.5433115899627
Barren County,-1.04541559214436
Bath County,-38.7015644074564
Beechwood,40.4257369515904
Belfry,34.260270532574
Bell County,7.26703734790375
Bellevue,-49.8204654159457
Berea,-45.5827869341631
Bethlehem,0.0739870740658145
Betsy Layne,-37.2323283418102
Bishop Brossart,-13.5954996832579
Boone County,-8.18866649435947
Bourbon County,9.05188397743038
Bowling Green,52.6746044657727
Boyd County,-4.04513733475455
Boyle County,60.6119489806876
Bracken County,-44.6751011352159
Breathitt County,0.706449346512608
Breckinridge County,-25.576918447618
Bryan Station,27.1534636678221
Bullitt Central,-4.70748284307124
Bullitt East,6.46046294135292
Butler,0.272105188677995
Butler County,-21.0826257039938
Caldwell County,11.0549547056942
Calloway County,2.66718918741698
Campbell County,12.1478656630197
Campbellsville,-6.06197383933173
Carroll County,-12.677002090864
Casey County,-27.60797657711
Caverna,-57.1078636092578
Central,36.1480201293891
Central Hardin,10.1961721577209
Christian Academy-Louisville,32.6085167373743
Christian County,9.63664859200745
Clay County,-13.0626516255785
Clinton County,-24.9564504552993
Collins,5.04469207502579
Conner,14.4439054205343
Cooper,14.3792061369603
Corbin,42.8035309712928
Covington Catholic,45.497987529062
Crittenden County,19.226396888139
Danville,14.3446795275156
Daviess County,20.4357160818597
Dayton,-30.6168455499865
DeSales,31.7192923601243
Dixie Heights,28.9455181163939
Doss,-25.5939441431962
DuPont Manual,49.218232459732
East Carter,-5.02592756586485
East Jessamine,-5.92874919839657
East Ridge,-47.4387399531002
Eastern,14.5481545120249
Edmonson County,-2.10226746394408
Elizabethtown,29.4936002392785
Eminence,-17.3559500130318
Estill County,-12.8803046306901
Fairdale,16.1362767301246
Fairview,-41.539413840612
Fern Creek,17.9556837649409
Fleming County,-12.1555957398705
Floyd Central,-10.8236760872888
Frankfort,-8.72124643331201
Franklin County,47.5732633009809
Franklin-Simpson,0.62928238571079
Frederick Douglass,46.4181245623514
Fulton County,-16.4585240910295
Gallatin County,-32.3494883628383
Garrard County,-19.4810146504361
George Rogers Clark,22.2310336732315
Glasgow,15.6162087579535
Grant County,-11.8059498656735
Graves County,15.3056535503096
Grayson County,-2.77180800580018
Great Crossing,9.70376058631052
Green County,-26.8247831671484
Greenup County,-5.67132735468691
Greenwood,18.3725795743942
Hancock County,8.82319199163537
Harlan,-38.5276908752665
Harlan County,4.68890271874813
Harrison County,-4.13559335791027
Hart County,-13.2780693240985
Hazard,-1.99367030358555
Henderson County,26.1783523099127
Henry Clay,5.3311739733098
Henry County,-6.29712138817376
Highlands,22.807495557089
Holmes,-2.39579667032286
Holy Cross (Covington),-12.531917551181
Holy Cross (Louisville),0.140031246907806
Hopkins County Central,-19.7105488582041
Hopkinsville,17.6355431013106
Jackson County,-48.1977992515735
Jeffersontown,-23.2728366292946
John Hardin,14.723997943966
Johnson Central,50.1581069700007
Kentucky Country Day,16.191621633452
Knott County Central,-37.5419344840434
Knox Central,19.9202495241394
Lafayette,-8.69058176612774
LaRue County,-4.4404916043062
Lawrence County,7.80677665080445
Leslie County,-17.3778407902807
Letcher County Central,18.6576285072847
Lewis County,-55.7189381176057
Lexington Catholic,36.2951165178522
Lexington Christian,39.8291652297032
Lincoln County,20.4875829316011
Lloyd Memorial,-3.05240875584245
Logan County,8.92960180079586
Ludlow,-22.6019310580239
Lynn Camp,-40.1099291644986
Madison Central,7.98752606324577
Madison Southern,22.8710694680042
Madisonville-North Hopkins,-13.7676476162105
Magoffin County,-6.8686819012545
Male,54.427242214183
Marion County,-36.8399971669237
Marshall County,-13.4588526305219
Martin County,-21.4350719506309
Mason County,-14.7735477736888
Mayfield,16.3435669107503
McCracken County,36.7112882949823
McCreary Central,-36.152450127002
McLean County,-5.88301728334178
Meade County,8.85965139856505
Mercer County,21.350893276644
Metcalfe County,4.55186642931499
Middlesboro,-5.78360513132731
Monroe County,-22.1242811405556
Montgomery County,-12.9056440279766
Moore,-43.588396297083
Morgan County,-50.3293017135532
Muhlenberg County,-23.2871111770828
Murray,17.0659195928053
Nelson County,-40.6095647624989
Newport,-7.78201058446361
Newport Central Catholic,1.36667520509312
Nicholas County,-11.5730701302445
North Bullitt,22.0282379675505
North Hardin,38.8311931921481
North Laurel,5.160113313084
North Oldham,-5.35655096127526
Ohio County,-13.6968454550877
Oldham County,15.0200290303901
Owen County,-54.3905495021337
Owensboro,35.3730476759137
Owensboro Catholic,14.9482166059137
Paducah Tilghman,7.53021696242871
Paintsville,21.9156218766279
Paris,-32.6632082195154
Paul Laurence Dunbar,25.5343940234456
Pendleton County,-41.7413217188207
Perry County Central,-7.46504136876068
Phelps,-21.9336341357139
Pike County Central,1.38298535499583
Pikeville,22.1459556574009
Pineville,-23.1255420342549
Pleasure Ridge Park,20.9845632419966
Powell County,-34.9021151434568
Prestonsburg,-31.1297368572672
Pulaski County,21.171690042284
Raceland,13.5615373294846
Rockcastle County,8.48738690542607
Rowan County,-2.67336135915017
Russell,24.9534288131802
Russell County,11.5562920587062
Russellville,-3.99509744463014
Ryle,30.9559539948791
Sayre,-9.19543706859802
Scott,-19.2671710979277
Scott County,37.9680990906589
Seneca,-52.4824569993794
Shawnee,-60.3813313214131
Shelby County,11.0799064075568
Shelby Valley,-8.10963906278193
Simon Kenton,19.6848613905104
Somerset,35.4211486569534
South Laurel,-11.5365660541135
South Oldham,11.3767420614723
South Warren,44.352406013389
Southern,-9.13753187478814
Southwestern,26.0161557800744
Spencer County,-11.5451241497233
St. Xavier,48.6244321706747
Tates Creek,-0.166920581879671
Taylor County,13.2728107973592
Thomas Nelson,-30.115318039152
Todd County Central,-18.0200484571779
Trigg County,-14.9743785154074
Trimble County,-61.8268820930754
Trinity (Louisville),75.3109032149486
Union County,12.1040817444812
Valley,-42.4157623768421
Waggener,13.3033037294577
Walton-Verona,-6.81672452273646
Warren Central,-29.9447841639829
Warren East,1.75554764581529
Washington County,-17.8064088419824
Wayne County,23.8469748967889
Webster County,-25.2736505850025
West Carter,19.0283889567762
West Jessamine,0.335528628930554
Western Hills,-6.42844472579256
Whitley County,7.26525807033436
Williamsburg,8.66262710473186
Woodford County,25.4729595761281
