0	1	6	0	0	1	0	3	0	0	
0	0	34	0	0	2	0	4	0	0	
0	1	27	0	0	0	1	22	0	0	
1	1	51	0	0	1	1	42	0	0	
0	0	7	0	0	0	0	28	0	0	
1	0	26	0	0	0	0	8	0	0	
0	0	5	0	0	2	0	3	0	0	
0	0	6	0	0	0	1	28	0	0	
1	0	50	0	0	0	0	25	0	0	
0	0	14	0	0	2	0	22	0	0	
0	1	2	0	0	1	1	4	0	0	
1	0	26	0	0	0	0	27	0	0	
1	1	16	0	0	1	1	46	0	0	
2	0	19	0	0	2	0	21	0	0	
0	1	33	0	0	1	1	22	0	0	
1	1	22	0	0	1	1	25	0	0	
0	0	28	0	0	0	0	2	0	0	
0	0	1	0	0	0	1	12	0	0	
1	1	20	0	0	2	1	20	0	0	
0	1	36	0	0	1	1	21	0	0	
1	1	27	0	0	1	1	52	0	0	
0	0	26	0	0	0	0	27	0	0	
0	0	5	0	0	0	1	14	0	0	
0	0	7	0	0	0	0	17	0	0	
