Names,Elo
Mayfield,1448.83634737835
Crittenden County,1404.99606392807
Murray,1553.85570597463
Ballard Memorial,1457.05878540286
McLean County,1501.72137874228
Russellville,1588.67987130402
Fulton City,1415.54266404635
Fulton County,1566.79089926109
Hancock County,1538.80071642494
Beechwood,1548.73237065347
Newport Central Catholic,1446.28309564602
Raceland,1403.07066945475
Nicholas County,1621.01203379194
Fairview,1622.88416382314
Holy Cross (Covington),1587.69267003029
Bellevue,1458.22348339712
Paris,1413.37017834197
Dayton,1392.71059330514
Berea,1589.0270522006
Lexington Christian,1558.82022170256
Ludlow,1487.53245986842
Danville,1583.6329971896
Holy Cross (Louisville),1671.14996512483
Christian Academy-Louisville,1691.53763840474
Green County,1415.18187572611
Fort Knox,1444.08544736263
Metcalfe County,1407.58241599044
Frankfort,1620.65486652494
Somerset,1505.7426857457
Harrodsburg,1503.04870694034
Trimble County,1511.09963947701
Campbellsville,1477.52425310245
Pikeville,1395.26331354741
Middlesboro,1430.67236922817
Evarts,1558.11745046183
Cumberland,1514.53595247591
Paintsville,1477.70720000192
Hazard,1459.94969396754
Williamsburg,1431.49140117732
Lynn Camp,1582.13851266621
South Floyd,1562.9583500571
Harlan,1370.55321293513
Phelps,1538.14799355863
Fleming-Neon,1625.53714440868
Allen Central,1532.27871888216
Pineville,1577.80373815329
Breathitt County,1538.35103731003
Madison Southern,1615.78908991479
Belfry,1525.67104544321
Whitesburg,1434.52911926979
Prestonsburg,1484.29182761833
Pike County Central,1585.44028878048
Leslie County,1481.57930767024
Estill County,1558.26769917699
Shelby Valley,1499.96719869231
East Ridge,1552.45474605081
Powell County,1460.47427843251
Morgan County,1574.20718116209
Betsy Layne,1438.85311919825
LaRue County,1529.40089694553
Corbin,1502.79090321904
Casey County,1540.50301212661
Bardstown,1564.66190340851
Elizabethtown,1506.92451126472
Russell County,1420.50485844717
Wayne County,1521.14980350001
DeSales,1454.41554484107
Western,1521.92948093543
Washington County,1534.56613910768
Taylor County,1492.00634240727
Adair County,1376.31417862163
Moore,1505.22889592848
Shawnee,1437.98233136635
Owensboro Catholic,1412.91480679662
Webster County,1477.57721120869
