date,win_team,lose_team,win_score,lose_score,location,date_comments,overtime,cross_region
2015-08-21,Adair County,Taylor County,28,6,1,,0,0
2015-08-21,Allen Central,Phelps,56,0,1,,0,0
2015-08-21,Anderson County,South Oldham,32,20,1,,0,0
2015-08-21,Apollo,Muhlenberg County,35,14,1,,0,0
2015-08-21,Ballard,Oldham County,54,0,1,,0,0
2015-08-21,Barren County,Metcalfe County,28,14,2,,0,0
2015-08-21,Bell County,Middlesboro,41,7,1,,0,0
2015-08-21,Bellevue,Gallatin County,35,20,0,,0,0
2015-08-21,Bethlehem,Nicholas County,28,8,0,,0,0
2015-08-21,Bishop Brossart,Dayton,35,0,1,,0,0
2015-08-21,Bullitt Central,Madison Southern,35,27,2,,0,0
2015-08-21,Butler County,Logan County,46,6,1,,0,0
2015-08-21,Campbellsville,Glasgow,22,16,0,,0,0
2015-08-21,Casey County,Powell County,36,13,1,,0,0
2015-08-21,Christian County,Caldwell County,23,21,0,,0,0
2015-08-21,Cooper,Highlands,37,13,1,,0,0
2015-08-21,Corbin,Whitley County,35,14,0,,0,0
2015-08-21,Crittenden County,Todd County Central,35,14,1,,0,0
2015-08-21,Danville,LaRue County,41,14,1,,0,0
2015-08-21,Daviess County,Allen County-Scottsville,21,20,0,,0,0
2015-08-21,DeSales,Fairdale,42,6,0,,0,0
2015-08-21,Doss,Jeffersontown,21,0,0,,0,0
2015-08-21,DuPont Manual,Central,28,10,1,,0,0
2015-08-21,East Jessamine,Harrison County,38,33,1,,0,0
2015-08-21,Eastern,Bullitt East,28,14,1,,0,0
2015-08-21,Edmonson County,Caverna,47,0,1,,0,0
2015-08-21,Elizabethtown,West Jessamine,46,6,2,,0,0
2015-08-21,Eminence,Trimble County,52,12,0,,0,0
2015-08-21,Fairview,Bath County,52,35,1,,0,0
2015-08-21,Fern Creek,Seneca,42,0,1,,0,0
2015-08-21,Fleming County,Estill County,36,34,0,,0,0
2015-08-21,Grant County,Carroll County,48,8,1,,0,0
2015-08-21,Grayson County,Hancock County,24,7,0,,0,0
2015-08-21,Green County,Russell County,18,0,1,,0,0
2015-08-21,Greenup County,Lewis County,35,0,1,,0,0
2015-08-21,Greenwood,Warren East,42,12,0,,0,0
2015-08-21,Hazard,Pineville,35,14,1,,0,0
2015-08-21,Henry County,Lincoln County,28,21,0,,0,0
2015-08-21,Holy Cross (Covington),Holmes,24,20,0,,0,0
2015-08-21,Hopkins County Central,Webster County,22,14,1,,0,0
2015-08-21,Hopkinsville,Graves County,48,21,0,,0,0
2015-08-21,Iroquois,Waggener,19,13,1,,0,0
2015-08-21,Jackson County,Berea,28,12,1,,0,0
2015-08-21,Kentucky Country Day,Atherton,47,19,0,,0,0
2015-08-21,Knott County Central,East Ridge,33,28,1,,0,0
2015-08-21,Lafayette,Paul Laurence Dunbar,43,21,1,,0,0
2015-08-21,Lawrence County,Boyd County,42,22,1,,0,0
2015-08-21,Leslie County,Magoffin County,44,0,1,,0,0
2015-08-21,Letcher County Central,Pike County Central,49,34,1,,0,0
2015-08-21,Lexington Catholic,Boone County,51,13,0,,0,0
2015-08-21,Lexington Christian,Williamsburg,51,0,1,,0,0
2015-08-21,Lloyd Memorial,Walton-Verona,28,20,0,,0,0
2015-08-21,Ludlow,Newport,34,0,1,,0,0
2015-08-21,Mayfield,Fort Campbell,42,0,0,,0,0
2015-08-21,McCreary Central,Jenkins,46,6,0,,0,0
2015-08-21,McLean County,Breckinridge County,42,14,1,,0,0
2015-08-21,Meade County,Butler,21,19,1,,0,0
2015-08-21,Moore,Southern,27,25,0,,0,0
2015-08-21,North Bullitt,Woodford County,37,32,0,,0,0
2015-08-21,North Laurel,South Laurel,56,0,1,,0,0
2015-08-21,North Oldham,Western,41,0,1,,0,0
2015-08-21,Ohio County,Calloway County,25,20,1,,0,0
2015-08-21,Owensboro,Warren Central,29,7,0,,0,0
2015-08-21,Owensboro Catholic,Holy Cross (Louisville),46,13,1,,0,0
2015-08-21,Paintsville,Sheldon Clark,46,12,0,,0,0
2015-08-21,Perry County Central,Lynn Camp,40,0,1,,0,0
2015-08-21,Pikeville,Prestonsburg,43,6,0,,0,0
2015-08-21,Pleasure Ridge Park,Valley,48,20,0,,0,0
2015-08-21,Russellville,Trigg County,48,19,0,,0,0
2015-08-21,Ryle,Covington Catholic,35,28,0,,0,0
2015-08-21,Scott,Newport Central Catholic,8,7,1,,0,0
2015-08-21,Scott County,Tates Creek,46,6,1,,0,0
2015-08-21,Shelby County,Garrard County,31,30,0,,0,0
2015-08-21,Simon Kenton,Christian Academy-Louisville,50,23,1,,0,0
2015-08-21,Somerset,Mason County,33,6,1,,0,0
2015-08-21,South Floyd,Betsy Layne,38,20,1,,0,0
2015-08-21,Southwestern,Harlan County,57,0,1,,0,0
2015-08-21,Thomas Nelson,Fort Knox,42,0,0,,0,0
2015-08-21,Western Hills,Washington County,50,18,1,,0,0
2015-08-22,Bowling Green,Monroe County,44,7,2,,0,0
2015-08-22,Boyle County,Central Hardin,21,19,2,,0,0
2015-08-22,Bryan Station,Knox Central,49,0,2,,0,0
2015-08-22,Collins,Montgomery County,7,0,0,,0,0
2015-08-22,Franklin County,Shelby Valley,60,6,1,,0,0
2015-08-22,Hart County,Ballard Memorial,18,0,1,,0,0
2015-08-22,Madison Central,Wayne County,34,20,1,,0,0
2015-08-22,Nelson County,Marion County,35,7,1,,0,0
2015-08-22,North Hardin,Mercer County,55,20,0,,0,0
2015-08-22,Paducah Tilghman,McCracken County,21,7,0,,0,0
2015-08-22,Paris,Frankfort,21,12,2,,0,0
2015-08-22,Raceland,West Carter,36,25,1,,0,0
2015-08-22,Rowan County,Clay County,55,26,1,,0,0
2015-08-22,South Warren,John Hardin,43,12,2,,0,0
2015-08-22,Spencer County,Bardstown,48,14,0,,0,0
2015-08-28,Adair County,Caverna,54,6,0,,0,0
2015-08-28,Anderson County,George Rogers Clark,27,26,0,,0,0
2015-08-28,Ashland Blazer,Raceland,41,21,1,,0,0
2015-08-28,Ballard Memorial,Fulton City,34,8,1,,0,0
2015-08-28,Barren County,Taylor County,12,6,2,,0,0
2015-08-28,Bath County,Rowan County,21,19,1,,0,0
2015-08-28,Beechwood,Lloyd Memorial,48,22,0,,0,0
2015-08-28,Belfry,Tates Creek,55,38,2,,0,0
2015-08-28,Bellevue,Dayton,42,0,1,,0,0
2015-08-28,Bethlehem,Thomas Nelson,28,14,1,,0,0
2015-08-28,Bourbon County,Southwestern,31,29,2,,0,0
2015-08-28,Boyd County,Lewis County,51,24,1,,0,0
2015-08-28,Bullitt Central,Fairdale,26,20,1,,0,0
2015-08-28,Butler County,Edmonson County,49,14,0,,0,0
2015-08-28,Caldwell County,Franklin-Simpson,48,19,0,,0,0
2015-08-28,Central Hardin,Paducah Tilghman,48,25,0,,0,0
2015-08-28,Christian Academy-Louisville,Eastern,42,7,1,,0,0
2015-08-28,Clinton County,Trimble County,34,6,0,,0,0
2015-08-28,Collins,Bullitt East,55,14,0,,0,0
2015-08-28,Conner,Boone County,43,6,1,,0,0
2015-08-28,Cooper,Newport Central Catholic,35,0,0,,0,0
2015-08-28,Corbin,Waggener,28,6,1,,0,0
2015-08-28,Crittenden County,Hopkins County Central,48,24,1,,0,0
2015-08-28,Danville,Rockcastle County,46,18,1,,0,0
2015-08-28,Daviess County,Owensboro Catholic,27,21,0,OT(overtime),1,0
2015-08-28,DeSales,Butler,49,13,2,,0,0
2015-08-28,DuPont Manual,Fern Creek,28,18,0,,0,0
2015-08-28,East Jessamine,Lincoln County,27,9,1,,0,0
2015-08-28,East Ridge,Phelps,36,0,2,,0,0
2015-08-28,Elizabethtown,Marion County,53,6,0,,0,0
2015-08-28,Eminence,Berea,60,33,1,,0,0
2015-08-28,Estill County,Magoffin County,48,8,0,,0,0
2015-08-28,Fairview,Hazard,44,20,1,,0,0
2015-08-28,Fleming County,Mason County,20,0,0,,0,0
2015-08-28,Franklin County,Western Hills,20,7,1,,0,0
2015-08-28,Garrard County,Madison Southern,28,7,0,,0,0
2015-08-28,Grant County,Owen County,47,14,0,,0,0
2015-08-28,Graves County,Trigg County,56,20,0,,0,0
2015-08-28,Greenwood,Allen County-Scottsville,38,18,1,,0,0
2015-08-28,Harlan,South Floyd,60,26,0,,0,0
2015-08-28,Harlan County,Clay County,43,6,1,,0,0
2015-08-28,Hart County,Metcalfe County,21,0,1,,0,0
2015-08-28,Henry County,Carroll County,36,7,0,,0,0
2015-08-28,Highlands,Campbell County,38,15,1,,0,0
2015-08-28,Holy Cross (Covington),Walton-Verona,28,14,0,,0,0
2015-08-28,Jeffersontown,Iroquois,18,0,1,,0,0
2015-08-28,John Hardin,North Hardin,40,21,0,,0,0
2015-08-28,Knox Central,Central,28,24,2,,0,0
2015-08-28,LaRue County,Russell County,20,14,0,,0,0
2015-08-28,Leslie County,Knott County Central,56,14,1,,0,0
2015-08-28,Lexington Christian,Kentucky Country Day,55,34,0,,0,0
2015-08-28,Ludlow,Bracken County,24,6,0,,0,0
2015-08-28,Lynn Camp,McCreary Central,26,22,1,,0,0
2015-08-28,Madison Central,Paul Laurence Dunbar,47,6,0,,0,0
2015-08-28,Male,Ballard,45,7,0,,0,0
2015-08-28,Mayfield,Marshall County,37,0,0,,0,0
2015-08-28,McCracken County,Warren Central,56,35,1,,0,0
2015-08-28,Monroe County,Warren East,42,13,1,,0,0
2015-08-28,Montgomery County,Lawrence County,28,14,1,,0,0
2015-08-28,Moore,Shawnee,40,6,1,,0,0
2015-08-28,Morgan County,Betsy Layne,56,0,1,,0,0
2015-08-28,Muhlenberg County,Logan County,39,0,0,,0,0
2015-08-28,Murray,Calloway County,48,21,1,,0,0
2015-08-28,Nicholas County,Pendleton County,34,7,0,,0,0
2015-08-28,North Bullitt,Southern,28,9,1,,0,0
2015-08-28,North Oldham,Oldham County,45,6,0,,0,0
2015-08-28,Ohio County,McLean County,7,6,1,,0,0
2015-08-28,Owensboro,Madisonville-North Hopkins,36,0,1,,0,0
2015-08-28,Paintsville,Frankfort,43,0,0,,0,0
2015-08-28,Paris,Holmes,13,7,1,,0,0
2015-08-28,Perry County Central,Breathitt County,29,24,0,,0,0
2015-08-28,Pineville,Jackson County,41,8,1,,0,0
2015-08-28,Pleasure Ridge Park,Meade County,35,0,1,,0,0
2015-08-28,Prestonsburg,Sheldon Clark,20,7,0,,0,0
2015-08-28,Russellville,Fort Campbell,42,21,1,,0,0
2015-08-28,Ryle,Lexington Catholic,31,24,0,,0,0
2015-08-28,Scott,Dixie Heights,36,7,0,,0,0
2015-08-28,Scott County,Pulaski County,53,31,1,,0,0
2015-08-28,Shelby County,Grayson County,52,0,1,,0,0
2015-08-28,Simon Kenton,Bryan Station,52,36,0,,0,0
2015-08-28,Somerset,Williamsburg,41,20,0,,0,0
2015-08-28,South Oldham,Doss,44,8,1,,0,0
2015-08-28,South Warren,Apollo,42,6,0,,0,0
2015-08-28,Spencer County,Nelson County,55,26,1,,0,0
2015-08-28,St. Xavier,Henry Clay,40,13,2,,0,0
2015-08-28,Todd County Central,Breckinridge County,39,14,1,,0,0
2015-08-28,Union County,Hancock County,40,13,1,,0,0
2015-08-28,Valley,Atherton,44,13,0,,0,0
2015-08-28,West Carter,Powell County,48,13,1,,0,0
2015-08-28,Western,Seneca,33,0,1,,0,0
2015-08-28,Whitley County,Middlesboro,47,38,0,,0,0
2015-08-28,Woodford County,West Jessamine,48,20,1,,0,0
2015-08-29,Bowling Green,Christian County,55,14,2,,0,0
2015-08-29,Boyle County,Bell County,41,7,1,,0,0
2015-08-29,Campbellsville,Washington County,44,7,2,,0,0
2015-08-29,Green County,Casey County,47,28,2,,0,0
2015-08-29,Lafayette,Mercer County,53,13,2,,0,0
2015-08-29,North Laurel,Harrison County,45,35,1,,0,0
2015-08-29,Pikeville,Letcher County Central,49,12,2,,0,0
2015-08-29,Russell,Greenup County,19,13,1,,0,0
2015-08-29,Shelby Valley,Pike County Central,34,32,2,,0,0
2015-08-29,Wayne County,South Laurel,49,13,0,,0,0
2015-09-04,Adair County,LaRue County,47,8,0,,0,0
2015-09-04,Anderson County,Mercer County,55,14,1,,0,0
2015-09-04,Apollo,Logan County,35,12,0,,0,0
2015-09-04,Atherton,Shawnee,49,6,0,,0,0
2015-09-04,Ballard Memorial,Marshall County,26,22,0,,0,0
2015-09-04,Bardstown,Marion County,43,6,1,,0,0
2015-09-04,Beechwood,Somerset,48,14,0,,0,0
2015-09-04,Belfry,Harlan County,43,0,0,,0,0
2015-09-04,Bell County,Pike County Central,60,36,0,,0,0
2015-09-04,Bethlehem,Berea,73,6,0,,0,0
2015-09-04,Boyle County,Danville,42,20,0,,0,0
2015-09-04,Bryan Station,Cooper,36,0,1,,0,0
2015-09-04,Bullitt Central,Southern,41,18,0,,0,0
2015-09-04,Butler,Western,27,19,1,,0,0
2015-09-04,Caldwell County,North Hardin,49,35,1,,0,0
2015-09-04,Campbellsville,Taylor County,44,22,0,,0,0
2015-09-04,Casey County,Russell County,55,19,1,,0,0
2015-09-04,Central,Christian Academy-Louisville,28,21,1,,0,0
2015-09-04,Central Hardin,Bullitt East,35,13,1,,0,0
2015-09-04,Christian County,Henderson County,28,14,0,,0,0
2015-09-04,Clinton County,McCreary Central,30,25,0,,0,0
2015-09-04,Crittenden County,McLean County,31,8,0,,0,0
2015-09-04,Daviess County,Warren East,44,15,1,,0,0
2015-09-04,DeSales,Ballard,29,6,1,,0,0
2015-09-04,DuPont Manual,Seneca,57,0,0,,0,0
2015-09-04,Eastern,Collins,49,44,0,,0,0
2015-09-04,Edmonson County,Grayson County,43,7,0,,0,0
2015-09-04,Elizabethtown,North Oldham,38,0,1,,0,0
2015-09-04,Estill County,Frankfort,49,39,0,,0,0
2015-09-04,Fern Creek,Moore,48,12,0,,0,0
2015-09-04,Fort Knox,Trimble County,14,6,1,,0,0
2015-09-04,Franklin-Simpson,Metcalfe County,46,0,0,,0,0
2015-09-04,Fulton City,Fulton County,38,28,0,,0,0
2015-09-04,Garrard County,Lincoln County,36,29,0,,0,0
2015-09-04,Glasgow,Barren County,34,15,0,,0,0
2015-09-04,Graves County,Murray,39,14,0,,0,0
2015-09-04,Greenup County,Fleming County,25,8,0,,0,0
2015-09-04,Hart County,Todd County Central,28,7,0,,0,0
2015-09-04,Hazard,Letcher County Central,23,20,1,,0,0
2015-09-04,Henry Clay,George Rogers Clark,35,13,1,,0,0
2015-09-04,Hopkinsville,Fort Campbell,50,7,2,,0,0
2015-09-04,John Hardin,Warren Central,33,29,1,,0,0
2015-09-04,Johnson Central,Lexington Catholic,42,28,0,,0,0
2015-09-04,Lawrence County,Fairview,40,14,1,,0,0
2015-09-04,Leslie County,Williamsburg,27,19,0,,0,0
2015-09-04,Lexington Christian,Green County,21,6,1,,0,0
2015-09-04,Lynn Camp,Jackson County,48,30,0,,0,0
2015-09-04,Madison Central,Bourbon County,52,28,1,,0,0
2015-09-04,Male,Fairdale,64,6,1,,0,0
2015-09-04,Mayfield,Paducah Tilghman,37,14,0,,0,0
2015-09-04,McCracken County,Madisonville-North Hopkins,54,14,0,,0,0
2015-09-04,Meade County,Breckinridge County,44,7,0,,0,0
2015-09-04,Monroe County,Allen County-Scottsville,27,6,0,,0,0
2015-09-04,Montgomery County,Harrison County,42,6,0,,0,0
2015-09-04,Morgan County,Allen Central,34,6,0,,0,0
2015-09-04,Muhlenberg County,Hopkins County Central,27,0,1,,0,0
2015-09-04,Nelson County,Thomas Nelson,34,0,0,,0,0
2015-09-04,Nicholas County,Eminence,60,20,1,,0,0
2015-09-04,North Bullitt,Jeffersontown,42,6,0,,0,0
2015-09-04,North Laurel,West Jessamine,49,13,0,,0,0
2015-09-04,Ohio County,Hancock County,13,7,1,OT,0,0
2015-09-04,Owensboro,Owensboro Catholic,35,28,1,,0,0
2015-09-04,Paintsville,Pikeville,23,22,1,OT,0,0
2015-09-04,Paris,Ludlow,28,0,1,,0,0
2015-09-04,Pineville,Middlesboro,40,31,0,,0,0
2015-09-04,Pleasure Ridge Park,Doss,40,14,0,,0,0
2015-09-04,Rockcastle County,South Laurel,40,6,0,,0,0
2015-09-04,Rowan County,Mason County,22,21,1,,0,0
2015-09-04,Russellville,Butler County,52,42,0,,0,0
2015-09-04,Scott County,Highlands,54,28,1,,0,0
2015-09-04,Shelby County,Oldham County,43,7,0,,0,0
2015-09-04,Shelby Valley,Magoffin County,42,7,1,,0,0
2015-09-04,Sheldon Clark,Betsy Layne,61,6,0,,0,0
2015-09-04,South Warren,Greenwood,43,7,1,,0,0
2015-09-04,Spencer County,East Jessamine,40,8,1,,0,0
2015-09-04,St. Xavier,Bowling Green,45,19,1,,0,0
2015-09-04,Tates Creek,Paul Laurence Dunbar,42,29,1,,0,0
2015-09-04,Trigg County,Caverna,48,18,1,,0,0
2015-09-04,Trinity (Louisville),Lafayette,70,14,1,,0,0
2015-09-04,Union County,Webster County,50,6,0,,0,0
2015-09-04,Valley,Iroquois,34,20,1,,0,0
2015-09-04,Washington County,Kentucky Country Day,40,36,1,,0,0
2015-09-04,Wayne County,Perry County Central,56,8,1,,0,0
2015-09-05,Bishop Brossart,Bellevue,24,21,0,,0,0
2015-09-05,Corbin,Clay County,40,7,0,,0,0
2015-09-05,Dayton,Pendleton County,19,14,1,,0,0
2015-09-05,Franklin County,Woodford County,56,35,0,,0,0
2015-09-05,Gallatin County,Bracken County,38,7,0,,0,0
2015-09-05,Holmes,Walton-Verona,15,14,1,,0,0
2015-09-05,Lloyd Memorial,Grant County,36,33,0,(overtime),1,0
2015-09-05,Newport Central Catholic,Campbell County,28,19,0,,0,0
2015-09-05,Raceland,East Carter,42,12,0,,0,0
2015-09-05,Ryle,Boone County,52,7,1,,0,0
