date,win_team,lose_team,win_score,lose_score,location,date_comments,overtime,cross_region,win_id,lose_id
2002-08-23,Allen Central,Betsy Layne,40,14,0,,0,0,45,59
2002-08-23,Atherton,Shawnee,41,6,1,,0,0,181,73
2002-08-23,Ballard,Waggener,44,14,1,,0,0,160,108
2002-08-23,Barren County,Allen County-Scottsville,20,12,1,,0,0,191,135
2002-08-23,Boyle County,Bardstown,60,0,0,,0,0,102,63
2002-08-23,Bullitt East,Fern Creek,33,25,1,,0,0,103,168
2002-08-23,Butler County,Caverna,50,0,1,,0,0,81,212
2002-08-23,Carroll County,Ludlow,27,0,0,,0,0,91,21
2002-08-23,Conner,Corbin,20,6,1,,0,0,161,61
2002-08-23,Covington Catholic,Boone County,14,0,1,,0,0,147,159
2002-08-23,Cumberland,Cawood,30,22,1,,0,0,36,125
2002-08-23,Daviess County,Owensboro,14,10,1,,0,0,187,192
2002-08-23,Eastern,Butler,28,7,0,,0,0,157,178
2002-08-23,Estill County,Adair County,38,16,0,,0,0,54,71
2002-08-23,Fairdale,Moore,34,20,1,,0,0,104,72
2002-08-23,Frankfort,Dayton,28,18,1,,0,0,28,18
2002-08-23,Garrard County,Marion County,53,41,1,,0,0,98,109
2002-08-23,Grant County,Henry County,29,0,0,,0,0,155,101
2002-08-23,Graves County,Muhlenberg South,33,12,0,,0,0,189,85
2002-08-23,Grayson County,Edmonson County,36,0,0,,0,0,186,83
2002-08-23,Greenup County,East Carter,48,15,0,,0,0,124,96
2002-08-23,Henderson County,Union County,73,0,1,,0,0,183,143
2002-08-23,Henry Clay,Highlands,18,13,0,,0,0,199,144
2002-08-23,Holmes,Simon Kenton,28,17,0,,0,0,153,166
2002-08-23,Holy Cross (Louisville),Holy Cross (Covington),21,0,1,,0,0,23,15
2002-08-23,Hopkins County Central,Madisonville-North Hopkins,33,12,0,,0,0,134,193
2002-08-23,Jeffersontown,Iroquois,33,16,1,,0,0,167,213
2002-08-23,John Hardin,Bullitt Central,44,14,0,,0,0,136,182
2002-08-23,Knott County Central,Jenkins,44,2,1,,0,0,128,214
2002-08-23,Lafayette,Logan County,48,14,0,,0,0,201,142
2002-08-23,Lincoln County,Franklin County,21,0,1,,0,0,113,154
2002-08-23,Madison Central,Bryan Station,20,12,1,,0,0,196,205
2002-08-23,McLean County,Todd County Central,37,7,0,,0,0,5,87
2002-08-23,Meade County,Christian County,24,18,0,,0,0,172,184
2002-08-23,Mercer County,Scott,35,14,1,,0,0,92,148
2002-08-23,Monroe County,Warren East,28,6,1,,0,0,76,141
2002-08-23,Newport Central Catholic,Lloyd Memorial,28,21,1,,0,0,11,90
2002-08-23,Nicholas County,Bath County,44,6,0,,0,0,13,100
2002-08-23,Ohio County,Hancock County,26,14,0,,0,0,185,9
2002-08-23,Owen County,Trimble County,35,13,1,,0,0,95,31
2002-08-23,Pike County Central,Phelps,48,0,2,,0,0,52,43
2002-08-23,Pulaski County,North Laurel,42,14,0,,0,0,107,204
2002-08-23,Raceland,Lewis County,37,12,1,,0,0,12,99
2002-08-23,Rowan County,Morgan County,28,14,0,,0,0,127,58
2002-08-23,Russell County,Lynn Camp,39,0,0,,0,0,65,40
2002-08-23,Russellville,Franklin-Simpson,27,23,1,,0,0,6,137
2002-08-23,Scott County,George Rogers Clark,44,13,0,,0,0,195,202
2002-08-23,Shelby County,Central Hardin,28,0,1,,0,0,162,180
2002-08-23,Shelby Valley,East Ridge,27,22,1,,0,0,55,56
2002-08-23,Somerset,Bourbon County,59,12,2,,0,0,29,145
2002-08-23,South Laurel,Knox Central,13,12,1,,0,0,206,129
2002-08-23,Taylor County,Hart County,51,16,0,,0,0,70,84
2002-08-23,Trinity (Louisville),North Hardin,43,0,1,,0,0,156,174
2002-08-23,West Carter,Paintsville,28,0,1,,0,0,97,37
2002-08-23,West Jessamine,Berea,58,13,0,,0,0,106,19
2002-08-23,Williamsburg,McCreary Central,44,13,0,,0,0,39,116
2002-08-23,Woodford County,Anderson County,24,14,0,,0,0,198,152
2002-08-24,Ashland Blazer,Johnson Central,43,0,1,,0,0,119,126
2002-08-24,Belfry,Tates Creek,14,13,2,,0,0,49,207
2002-08-24,Bellevue,Harrodsburg,33,28,0,,0,0,16,30
2002-08-24,Breathitt County,Fleming County,67,0,2,,0,0,47,94
2002-08-24,Casey County,Bethlehem,27,22,0,,0,0,62,209
2002-08-24,Christian Academy-Louisville,Lexington Christian,48,7,0,,0,0,24,20
2002-08-24,Danville,Washington County,64,0,1,,0,0,22,69
2002-08-24,DuPont Manual,South Oldham,42,14,0,,0,0,173,165
2002-08-24,East Jessamine,Bell County,13,6,2,,0,0,105,118
2002-08-24,Evarts,Fleming-Neon,40,24,2,,0,0,35,44
2002-08-24,Glasgow,Ballard Memorial,32,26,2,,0,0,78,4
2002-08-24,Green County,Middlesboro,40,14,0,,0,0,25,34
2002-08-24,Harlan,South Floyd,33,0,1,,0,0,42,41
2002-08-24,Hazard,Pineville,49,20,0,,0,0,38,46
2002-08-24,LaRue County,Bowling Green,28,9,0,,0,0,60,138
2002-08-24,Lawrence County,Prestonsburg,30,14,2,,0,0,122,51
2002-08-24,Leslie County,Montgomery County,35,7,2,,0,0,53,150
2002-08-24,Madison Southern,Elizabethtown,32,28,2,,0,0,48,64
2002-08-24,Male,Hopkinsville,42,20,2,,0,0,170,133
2002-08-24,Mason County,Rockcastle County,19,12,2,,0,0,88,117
2002-08-24,Pikeville,Campbellsville,31,8,1,,0,0,33,32
2002-08-24,Pleasure Ridge Park,Warren Central,26,13,2,,0,0,175,131
2002-08-24,Sheldon Clark,Clay County,46,0,0,,0,0,121,208
2002-08-24,Southwestern,Ryle,24,22,2,,0,0,200,163
2002-08-24,St. Xavier,Oldham County,24,13,2,,0,0,171,164
2002-08-24,Trigg County,Calloway County,42,21,1,,0,0,77,139
2002-08-24,Whitesburg,Magoffin County,56,14,1,,0,0,50,130
2002-08-30,Adair County,Clay County,33,13,0,,0,0,71,208
2002-08-30,Apollo,Hancock County,61,27,0,,0,0,188,9
2002-08-30,Ashland Blazer,Pikeville,49,14,1,,0,0,119,33
2002-08-30,Bell County,Middlesboro,49,14,1,,0,0,118,34
2002-08-30,Bellevue,Dayton,13,7,0,,0,0,16,18
2002-08-30,Bourbon County,Johnson Central,36,14,0,,0,0,145,126
2002-08-30,Boyle County,Henry Clay,35,0,0,,0,0,102,199
2002-08-30,Breathitt County,North Hardin,48,12,1,,0,0,47,174
2002-08-30,Bullitt East,Shelby County,27,19,0,,0,0,103,162
2002-08-30,Carroll County,Kentucky Country Day,50,34,1,,0,0,91,210
2002-08-30,Casey County,Knox Central,12,7,0,,0,0,62,129
2002-08-30,Christian Academy-Louisville,Western Hills,14,13,1,,0,0,24,151
