name,region,id,rating,massey,colley,elo,wins,losses,games_played
Trinity (Louisville),6,202,100.24,108.39,99.08,93.23,10,0,9
Boyle County,4,24,94.91,97.31,94.75,92.68,11,0,10
Bowling Green,5,22,92.06,92.81,94.71,88.66,10,2,12
Ashland Blazer,3,5,90.58,86.86,94.36,90.54,11,0,11
Johnson Central,4,106,89.73,90.34,89.81,89.03,10,1,11
Lexington Christian,2,117,85.52,83.95,89.31,83.3,10,2,12
Beechwood,2,12,84.36,82.23,87.73,83.11,10,2,12
Male,6,127,83.15,88.62,80.04,80.8,8,2,10
South Warren,5,191,82.92,87.74,85.1,75.92,6,1,7
Frederick Douglass,5,75,82.41,86.56,80.45,80.21,7,2,9
Covington Catholic,5,50,82.33,86.05,79.32,81.62,10,2,11
Owensboro,5,157,81.61,76.98,85.03,82.83,12,1,12
North Hardin,6,151,81.44,82.33,83.63,78.34,9,1,10
Franklin County,4,73,81.41,87.87,78.23,78.15,9,2,11
Corbin,4,49,80.99,86.25,83.56,73.15,8,2,10
St. Xavier,6,195,79.36,86.99,77.98,73.12,6,3,9
Elizabethtown,3,64,79.35,74.68,84.26,79.12,12,1,13
Somerset,2,188,75.72,81.48,73.22,72.45,6,3,9
Central,4,40,75.15,78.95,76.63,69.87,6,1,7
Belfry,3,13,74.76,80.27,72.01,72.01,8,4,11
Scott County,5,182,74.58,78.8,76.03,68.92,7,1,8
Paintsville,1,160,73.29,70.49,72.98,76.4,10,2,12
Christian Academy-Louisville,3,42,72.68,74.13,74.32,69.59,7,3,10
Henderson County,6,94,72.46,70.79,78.59,67.99,7,2,8
Southwestern,5,193,72.13,72.34,73.51,70.54,10,2,12
West Carter,2,212,70.47,69.4,73.71,68.32,10,2,12
Russell,3,176,69.34,72.81,69.43,65.78,7,3,10
McCracken County,6,133,69.21,77.47,70.48,59.67,6,3,8
Lexington Catholic,4,116,69.01,77.8,64.83,64.39,5,3,8
Letcher County Central,4,114,68.73,71.3,76.63,58.26,6,2,8
Pulaski County,5,172,68.49,69.24,69.51,66.7,8,2,10
Mayfield,2,132,68.08,63.65,68.02,72.56,7,2,9
DuPont Manual,6,58,67.88,79.53,62.42,61.69,3,2,4
Bryan Station,6,28,66.89,71.44,70.26,58.95,10,2,12
Pikeville,1,167,66.53,69.36,61.92,68.32,6,3,9
Dixie Heights,6,56,66.34,74.22,67.7,57.11,6,4,10
Mercer County,3,137,66.14,67.3,68.09,63.03,7,2,9
Madison Southern,5,124,65.52,72.07,66.86,57.65,6,4,9
Glasgow,3,80,65.42,63.97,65.68,66.62,7,3,10
Bardstown,3,9,65.36,66.75,67.52,61.79,7,2,9
North Bullitt,5,150,65.36,66.82,67.15,62.11,8,3,11
Kentucky Country Day,1,107,65.08,58.05,65.79,71.39,10,2,12
Hopkinsville,4,102,64.49,64.84,67.13,61.49,7,3,10
Ryle,6,179,64.11,75.47,61.18,55.68,6,4,10
Taylor County,3,197,63.95,62.4,63.56,65.89,7,2,9
Graves County,5,82,63.79,64.78,65.94,60.64,7,3,10
Fairdale,5,67,63.7,63.28,66.59,61.21,7,1,7
Murray,2,145,63.51,62.9,62.88,64.75,8,4,12
Paul Laurence Dunbar,6,162,63.04,68.68,64.8,55.63,7,3,10
DeSales,3,55,62.74,75.03,55.59,57.6,3,3,6
Ballard,6,7,62,75.24,58.29,52.48,2,2,4
Newport Central Catholic,1,148,61.77,56.31,65.89,63.13,8,3,11
Greenwood,5,87,61.69,64.94,68.36,51.78,6,3,9
Knox Central,4,109,61.32,67.59,63.48,52.9,5,3,8
Wayne County,4,210,60.72,70.31,55.3,56.55,4,4,8
Crittenden County,1,51,60.49,62.39,61.24,57.84,7,3,10
Danville,2,52,60.09,63.04,63.13,54.1,4,3,7
Lawrence County,3,112,60.08,58.58,69.25,52.41,4,2,5
Holy Cross (Louisville),1,100,60,53.44,63.12,63.43,7,2,8
Breathitt County,2,26,59.59,52.75,64.84,61.16,6,2,8
Williamsburg,1,217,59.42,56.51,60.9,60.86,6,3,8
Highlands,5,97,59.34,67.25,54.31,56.46,5,6,10
Bell County,3,14,59.28,55.76,59.42,62.65,6,4,10
Russell County,4,177,58.81,60.54,64.18,51.71,6,1,7
Woodford County,5,218,58.78,74.16,58.92,43.26,4,3,7
Holmes,4,98,58.3,52.29,66.25,56.35,7,3,9
Owensboro Catholic,2,158,56.91,61.52,57.94,51.27,7,4,10
Apollo,6,4,55.81,61.72,59.04,46.66,4,4,8
Allen County-Scottsville,4,2,55.56,63.71,53.32,49.66,5,4,9
John Hardin,4,105,55.17,61.84,54.33,49.33,5,3,8
Collins,5,46,55.1,66.51,58.6,40.19,6,3,9
Hancock County,2,88,54.91,58.21,62.22,44.29,6,2,8
Middlesboro,2,139,54.81,46.34,65.11,52.98,6,1,6
Lincoln County,4,118,54.54,67.14,53.32,43.15,5,4,9
Bethlehem,1,17,54.35,50.89,57.77,54.39,6,3,9
Logan County,4,120,53.36,58.01,53.58,48.48,5,4,9
Rockcastle County,3,174,53.34,57.42,54.11,48.48,4,3,7
Oldham County,6,155,53.27,60.24,49.98,49.6,5,4,9
Shelby Valley,2,186,53.27,46.76,56.28,56.76,8,3,11
Union County,3,203,53.19,59.73,50.64,49.2,5,5,10
Fern Creek,6,69,53.06,61.49,45.75,51.94,2,3,5
Sayre,NaN,180,52.94,46.49,61.72,50.62,8,1,9
South Oldham,5,190,52.54,55.33,48.49,53.8,5,4,9
Raceland,1,173,52.48,59.92,49.42,48.1,4,6,10
Simon Kenton,6,187,52.39,65.15,48.13,43.89,3,7,10
George Rogers Clark,6,79,51.53,67.43,43.33,43.85,3,5,8
Conner,5,47,51.51,59.98,44.9,49.63,3,4,7
Caldwell County,2,33,51.37,59.19,47.07,47.86,3,4,7
Rowan County,4,175,51.11,51.36,55.19,46.78,4,4,7
Paducah Tilghman,3,159,51.07,56.49,48.87,47.86,4,4,8
Daviess County,6,53,50.87,64.19,47.74,40.68,3,5,8
LaRue County,3,110,50.8,49.29,56.42,46.68,4,3,7
Grayson County,5,83,50.74,51.69,54.26,46.28,5,3,8
Meade County,6,136,50.72,54.73,50.88,46.57,4,6,10
Bullitt East,6,30,50.61,53.94,53.29,44.62,4,6,10
