name,region,id,rating,massey,colley,elo,wins,losses,games_played
Male,6,130,99.23,99.32,99,99.36,15,0,14
Bowling Green,5,23,95.2,91.38,97.39,96.83,14,1,15
Belfry,3,14,92.47,85.9,97.53,93.99,14,1,13
Simon Kenton,6,189,92.32,94.44,95.62,86.91,13,1,14
South Warren,4,194,91.85,89.99,95.22,90.35,15,0,14
Scott County,6,183,89.89,95.38,92.26,82.02,11,2,12
Trinity (Louisville),6,205,88.55,96.86,86.35,82.43,11,2,11
Mayfield,2,134,86.36,77.23,87.24,94.62,14,1,15
Lafayette,6,114,84.39,85.75,87.4,80.03,12,3,15
Lexington Catholic,3,119,81.77,81.4,82.94,80.96,11,4,15
Pulaski County,5,174,81.39,80.04,80.4,83.72,13,2,14
St. Xavier,6,198,81.06,93.28,79.58,70.32,7,5,11
Owensboro,5,159,80.95,80.98,83.43,78.45,11,2,13
Boyle County,3,25,80.34,83.75,82.98,74.3,10,2,12
Cooper,6,49,79.91,83.99,81.97,73.77,10,3,13
Johnson Central,4,109,78.3,74.56,83.43,76.93,12,2,13
Paintsville,1,162,77.7,68.01,85.02,80.07,13,1,13
Elizabethtown,3,65,77.68,76.68,80.26,76.1,13,1,14
Central,3,41,76.49,78.23,76.36,74.89,10,3,13
DuPont Manual,6,59,76.44,78.51,79.2,71.61,9,3,12
Central Hardin,6,42,76.36,75.84,77.75,75.49,10,4,14
Shelby County,4,186,76.3,77.67,80.28,70.93,12,2,14
DeSales,2,56,76.16,80.59,72.35,75.54,11,3,14
Caldwell County,3,34,75.75,78.42,76.35,72.49,10,3,13
Pikeville,1,169,75.68,65.19,77.22,84.63,13,2,15
Fern Creek,5,70,75.67,77.31,76.55,73.14,12,2,14
Ryle,6,181,75.12,84.23,77.04,64.08,9,3,12
McCracken County,6,135,74.34,78.56,75.47,68.98,10,3,12
Danville,2,53,74.19,73.11,76.12,73.33,12,2,14
Bryan Station,6,29,73.9,89.37,73.43,58.9,7,5,12
Christian Academy-Louisville,2,43,73.21,77.06,69.64,72.92,10,3,13
Spencer County,4,197,72.12,76.67,75.7,63.99,10,2,12
Beechwood,1,13,71.07,66.43,71.39,75.4,13,2,14
