name,region,id,rating,massey,colley,elo,wins,losses,games_played
St. Xavier,6,185,100.64,105.67,102.36,93.9,12,1,13
Highlands,5,147,100.4,96.83,102.92,101.46,14,1,14
Trinity (Louisville),6,184,100,100.29,100.39,99.33,14,1,14
Bell County,4,112,85.99,79.1,89.79,89.08,15,0,14
Newport Central Catholic,2,42,83.42,78.24,86.45,85.59,13,2,15
Boyle County,4,113,82.34,83.18,84.66,79.17,13,1,14
Beechwood,1,3,81.92,74.57,83.72,87.46,14,1,15
Christian County,5,148,81.79,75.74,86.4,83.23,13,2,14
Fort Campbell,2,40,81.15,76.44,79.98,87.04,14,1,15
Johnson Central,5,151,81.15,81.8,83.83,77.83,11,2,12
Owensboro,5,152,79.95,79.04,82.89,77.93,11,2,12
DuPont Manual,6,188,79.81,80.45,83.86,75.11,10,3,13
Central,3,76,79.76,77.56,81.86,79.85,11,3,13
Belfry,3,73,77.86,69.43,79.07,85.09,13,1,14
John Hardin,5,150,77.74,77.2,78.9,77.12,12,2,14
Whitley County,5,149,77.54,76.2,84.41,72,12,2,14
Breathitt County,3,74,76.43,71.04,79.34,78.91,12,3,15
Bowling Green,5,156,75.72,79.84,74.01,73.32,9,3,12
Corbin,2,41,75.65,65.45,80.73,80.78,13,1,13
Eastern,6,186,75.31,73.67,80.71,71.56,11,2,13
Male,6,193,73.9,80.11,74.41,67.16,9,5,14
Simon Kenton,6,189,73.83,76.01,73.01,72.48,10,5,15
Scott County,6,187,73.71,76.17,73.4,71.55,10,3,13
Boone County,6,192,72.8,78.4,72.86,67.13,9,4,13
Lexington Catholic,4,122,72.48,76,70.45,70.99,8,5,12
Daviess County,6,190,72.13,73.45,77,65.92,9,2,10
Madison Central,6,191,71.87,76.56,74.92,64.13,9,3,12
Doss,5,153,71.58,72.62,74.73,67.39,10,3,13
Raceland,1,36,71.27,66.93,76.16,70.72,12,1,13
Henry Clay,6,201,70.26,76.41,65.87,68.5,6,5,10
Lexington Christian,1,26,70.25,69.23,71.57,69.94,10,4,14
Ballard,6,203,69.4,78.09,71.78,58.32,6,6,12
Monroe County,2,43,68.88,66.36,73.55,66.73,12,2,14
Henderson County,6,196,68.63,75.43,72,58.46,7,4,10
Prestonsburg,2,44,68.04,60.54,74.03,69.56,11,2,13
Frankfort,1,17,67.89,61.1,71.47,71.11,11,2,13
Green County,2,45,67.69,69.82,68.72,64.52,10,3,13
Oldham County,5,155,67.34,70.99,70.36,60.66,9,3,12
Fern Creek,6,195,67.28,74.05,69.52,58.28,7,4,11
Calloway County,4,114,66.99,65.25,71.56,64.17,11,3,14
Pleasure Ridge Park,6,205,66.97,77.44,68.75,54.71,5,5,10
Covington Catholic,5,169,66.93,72.59,68.87,59.33,5,7,10
Lafayette,6,197,65.99,69.58,67.84,60.55,7,4,11
DeSales,2,46,65.68,61.2,70.37,65.48,10,3,12
Bullitt East,4,119,65.46,67.57,66.71,62.09,9,6,15
Estill County,3,75,65.28,62.39,69.72,63.72,11,2,13
Ashland Blazer,5,162,65.19,69.14,69.35,57.09,7,5,11
Franklin-Simpson,4,120,64.54,70.26,65.49,57.88,8,4,12
Knox Central,4,118,64.43,66.96,67.47,58.88,9,4,13
Lone Oak,4,115,64.04,65.86,64.9,61.36,10,2,11
Marion County,4,116,63.75,63.81,66.56,60.86,9,3,12
Hazard,1,22,63.7,58.84,63.09,69.18,11,4,14
Letcher County Central,5,154,63.54,64.33,65.67,60.61,10,3,13
Elizabethtown,3,80,63.25,63.57,65.34,60.83,10,3,13
Hopkinsville,5,160,63.07,68.37,62.27,58.56,7,5,12
Bullitt Central,6,194,62.18,63.82,69.64,53.08,8,3,11
Rockcastle County,4,121,62.1,61.18,65.89,59.25,8,4,12
Madisonville-North Hopkins,6,198,62.07,67.59,63.21,55.39,7,4,11
Ryle,6,208,61.47,72.76,60.19,51.46,5,6,11
Danville,2,48,61.19,63.37,60.57,59.62,8,4,12
Sheldon Clark,3,79,61.15,54.3,64.17,64.97,10,3,12
Allen County-Scottsville,4,117,60.97,64.15,65.49,53.27,9,4,12
Bryan Station,5,163,60.91,75.12,56.92,50.69,6,5,11
Pulaski County,5,157,60.6,59.91,61.39,60.49,8,4,12
Mercer County,5,165,59.99,68.79,57.71,53.45,6,6,11
Middlesboro,2,50,59.45,62.43,59.94,55.98,8,4,11
Hopkins County Central,4,125,59.2,65.74,62.53,49.32,7,4,10
North Oldham,3,78,59.02,57.86,64.71,54.48,10,2,12
Williamsburg,1,39,58.99,56.06,62.18,58.71,10,2,12
Conner,6,199,58.8,72.46,58.81,45.12,7,5,11
Seneca,6,204,58.8,70.93,58.06,47.43,6,6,12
Mason County,3,81,58.64,57.47,59.7,58.73,9,3,12
Greenwood,6,200,58.37,62.74,61.38,50.99,7,5,12
Butler County,3,77,57.94,55.48,66.46,51.88,10,2,12
Harlan County,3,84,57.45,58.77,60.77,52.82,8,4,10
Campbell County,6,206,57.28,69.04,54.93,47.87,5,5,10
Dixie Heights,5,172,57.11,71.61,52.89,46.84,4,7,11
Crittenden County,1,13,56.85,55.81,59.38,55.36,10,4,13
North Bullitt,4,123,56.83,61.06,56.98,52.44,8,5,13
